TIME,Base,Minor,Rssi
33:12.4,53,53,-53
33:12.4,53,30,-64
33:12.4,53,52,-65
33:12.4,53,55,-51
33:12.4,53,54,-50
33:12.4,53,39,-58
33:12.4,53,38,-65
33:12.4,53,35,-56
33:12.4,53,34,-54
33:12.4,53,56,-55
33:12.4,53,59,-57
33:12.4,53,37,-53
33:12.4,53,58,-57
33:12.4,53,22,-67
33:12.4,53,21,-69
33:12.4,53,28,-69
33:12.4,53,27,-64
33:12.4,53,49,-57
33:12.4,53,29,-64
33:12.4,53,23,-69
33:12.4,53,26,-60
33:12.4,53,25,-70
33:12.6,53,53,-53
33:12.6,53,31,-46
33:12.6,53,30,-67
33:12.6,53,52,-62
33:12.6,53,32,-58
33:12.6,53,54,-43
33:12.6,53,50,-58
33:12.6,53,39,-59
33:12.6,53,35,-50
33:12.6,53,57,-58
33:12.6,53,56,-58
33:12.6,53,36,-52
33:12.6,53,42,-62
33:12.6,53,43,-77
33:12.6,53,21,-67
33:12.6,53,60,-53
33:12.6,53,40,-72
33:12.6,53,28,-69
33:12.6,53,27,-64
33:12.6,53,49,-55
33:12.6,53,26,-60
33:12.6,53,47,-53
33:12.6,53,25,-68
33:12.8,53,53,-54
33:12.8,53,30,-63
33:12.8,53,55,-55
33:12.8,53,54,-48
33:12.8,53,51,-53
33:12.8,53,50,-64
33:12.8,53,38,-64
33:12.8,53,57,-60
33:12.8,53,34,-54
33:12.8,53,36,-51
33:12.8,53,44,-60
33:12.8,53,22,-69
33:12.8,53,21,-73
33:12.8,53,49,-55
33:12.8,53,29,-61
33:12.8,53,46,-55
33:12.8,53,24,-66
33:12.8,53,45,-69
33:12.8,53,25,-66
33:13.0,53,31,-53
33:13.0,53,30,-62
33:13.0,53,52,-73
33:13.0,53,55,-55
33:13.0,53,33,-69
33:13.0,53,54,-44
33:13.0,53,51,-53
33:13.0,53,50,-61
33:13.0,53,34,-53
33:13.0,53,56,-54
33:13.0,53,59,-57
33:13.0,53,58,-55
33:13.0,53,36,-53
33:13.0,53,42,-65
33:13.0,53,43,-61
33:13.0,53,21,-73
33:13.0,53,60,-53
33:13.0,53,40,-62
33:13.0,53,28,-67
33:13.0,53,27,-65
33:13.0,53,29,-57
33:13.0,53,48,-66
33:13.0,53,47,-54
33:13.3,53,53,-57
33:13.3,53,31,-51
33:13.3,53,52,-64
33:13.3,53,51,-53
33:13.3,53,50,-64
33:13.3,53,39,-67
33:13.3,53,38,-71
33:13.3,53,35,-55
33:13.3,53,57,-62
33:13.3,53,56,-52
33:13.3,53,59,-62
33:13.3,53,36,-57
33:13.3,53,44,-65
33:13.3,53,22,-64
33:13.3,53,60,-66
33:13.3,53,40,-65
33:13.3,53,29,-62
33:13.3,53,46,-60
33:13.3,53,23,-60
33:13.3,53,45,-58
33:13.3,53,47,-55
33:13.5,53,53,-56
33:13.5,53,30,-60
33:13.5,53,33,-66
33:13.5,53,54,-48
33:13.5,53,51,-56
33:13.5,53,39,-68
33:13.5,53,35,-53
33:13.5,53,57,-59
33:13.5,53,34,-54
33:13.5,53,56,-53
33:13.5,53,59,-62
33:13.5,53,37,-67
33:13.5,53,58,-63
33:13.5,53,36,-55
33:13.5,53,42,-63
33:13.5,53,22,-67
33:13.5,53,21,-76
33:13.5,53,28,-66
33:13.5,53,27,-68
33:13.5,53,49,-58
33:13.5,53,24,-67
33:13.5,53,45,-58
33:13.5,53,47,-55
33:13.5,53,25,-73
33:13.7,53,53,-57
33:13.7,53,30,-60
33:13.7,53,55,-54
33:13.7,53,33,-66
33:13.7,53,32,-62
33:13.7,53,54,-50
33:13.7,53,39,-71
33:13.7,53,38,-75
33:13.7,53,35,-53
33:13.7,53,56,-53
33:13.7,53,59,-64
33:13.7,53,37,-65
33:13.7,53,58,-65
33:13.7,53,36,-57
33:13.7,53,22,-66
33:13.7,53,43,-60
33:13.7,53,21,-69
33:13.7,53,40,-64
33:13.7,53,28,-68
33:13.7,53,27,-68
33:13.7,53,49,-58
33:13.7,53,46,-61
33:13.7,53,23,-61
33:13.7,53,45,-57
33:13.9,53,53,-56
33:13.9,53,31,-52
33:13.9,53,52,-65
33:13.9,53,55,-56
33:13.9,53,33,-65
33:13.9,53,54,-47
33:13.9,53,51,-52
33:13.9,53,50,-63
33:13.9,53,39,-70
33:13.9,53,35,-53
33:13.9,53,56,-54
33:13.9,53,36,-56
33:13.9,53,44,-64
33:13.9,53,43,-61
33:13.9,53,21,-68
33:13.9,53,27,-64
33:13.9,53,49,-58
33:13.9,53,29,-63
33:13.9,53,46,-60
33:13.9,53,23,-60
33:13.9,53,26,-67
33:13.9,53,25,-68
33:14.1,53,53,-55
33:14.1,53,31,-52
33:14.1,53,30,-62
33:14.1,53,55,-57
33:14.1,53,54,-46
33:14.1,53,51,-56
33:14.1,53,50,-64
33:14.1,53,39,-69
33:14.1,53,35,-53
33:14.1,53,37,-66
33:14.1,53,58,-63
33:14.1,53,36,-56
33:14.1,53,44,-65
33:14.1,53,22,-68
33:14.1,53,43,-60
33:14.1,53,27,-64
33:14.1,53,46,-60
33:14.1,53,24,-67
33:14.1,53,45,-58
33:14.1,53,48,-64
33:14.1,53,47,-58
33:14.1,53,25,-67
33:14.3,53,53,-56
33:14.3,53,31,-52
33:14.3,53,30,-63
