TIME,Base,Minor,Rssi
38:50.3,29,30,-49
38:50.3,29,52,-55
38:50.3,29,33,-68
38:50.3,29,55,-62
38:50.3,29,32,-59
38:50.3,29,39,-65
38:50.3,29,35,-62
38:50.3,29,57,-62
38:50.3,29,34,-68
38:50.3,29,56,-62
38:50.3,29,59,-70
38:50.3,29,36,-67
38:50.3,29,42,-67
38:50.3,29,41,-56
38:50.3,29,60,-66
38:50.3,29,40,-78
38:50.3,29,28,-50
38:50.3,29,27,-53
38:50.3,29,23,-57
38:50.3,29,26,-61
38:50.3,29,25,-60
38:50.3,29,47,-62
38:50.5,29,31,-55
38:50.5,29,52,-55
38:50.5,29,33,-67
38:50.5,29,55,-62
38:50.5,29,32,-59
38:50.5,29,50,-63
38:50.5,29,39,-64
38:50.5,29,38,-68
38:50.5,29,57,-62
38:50.5,29,59,-71
38:50.5,29,36,-66
38:50.5,29,41,-58
38:50.5,29,43,-64
38:50.5,29,27,-54
38:50.5,29,49,-54
38:50.5,29,29,-46
38:50.5,29,23,-60
38:50.5,29,25,-55
38:50.7,29,53,-67
38:50.7,29,30,-49
38:50.7,29,55,-62
38:50.7,29,32,-60
38:50.7,29,38,-65
38:50.7,29,57,-60
38:50.7,29,34,-67
38:50.7,29,56,-64
38:50.7,29,36,-65
38:50.7,29,58,-68
38:50.7,29,41,-58
38:50.7,29,44,-73
38:50.7,29,22,-63
38:50.7,29,43,-64
38:50.7,29,21,-84
38:50.7,29,60,-68
38:50.7,29,40,-72
38:50.7,29,28,-47
38:50.7,29,27,-52
38:50.7,29,23,-58
38:50.7,29,26,-64
38:50.7,29,48,-60
38:50.7,29,25,-57
38:50.7,29,47,-62
38:50.9,29,31,-55
38:50.9,29,30,-49
38:50.9,29,55,-63
38:50.9,29,32,-61
38:50.9,29,54,-64
38:50.9,29,51,-55
38:50.9,29,50,-65
38:50.9,29,39,-67
38:50.9,29,38,-67
38:50.9,29,35,-64
38:50.9,29,34,-71
38:50.9,29,37,-62
38:50.9,29,59,-69
38:50.9,29,22,-64
38:50.9,29,43,-65
38:50.9,29,40,-75
38:50.9,29,28,-48
38:50.9,29,29,-45
38:50.9,29,24,-66
38:50.9,29,48,-62
38:50.9,29,25,-56
38:50.9,29,47,-64
38:51.1,29,30,-48
38:51.1,29,52,-53
38:51.1,29,33,-60
38:51.1,29,55,-62
38:51.1,29,32,-62
38:51.1,29,50,-64
38:51.1,29,39,-67
38:51.1,29,35,-62
38:51.1,29,57,-60
38:51.1,29,58,-68
38:51.1,29,41,-58
38:51.1,29,44,-79
38:51.1,29,43,-69
38:51.1,29,21,-80
38:51.1,29,40,-73
38:51.1,29,28,-50
38:51.1,29,27,-52
38:51.1,29,29,-46
38:51.1,29,46,-68
38:51.1,29,24,-65
38:51.1,29,23,-58
38:51.1,29,48,-64
38:51.1,29,25,-57
38:51.3,29,53,-68
38:51.3,29,30,-48
38:51.3,29,52,-55
38:51.3,29,33,-61
38:51.3,29,55,-62
38:51.3,29,32,-63
38:51.3,29,54,-61
38:51.3,29,51,-58
38:51.3,29,39,-64
38:51.3,29,38,-62
38:51.3,29,57,-60
38:51.3,29,56,-63
38:51.3,29,37,-60
38:51.3,29,58,-71
38:51.3,29,42,-64
38:51.3,29,21,-72
38:51.3,29,28,-49
38:51.3,29,27,-52
38:51.3,29,29,-46
38:51.3,29,45,-68
38:51.3,29,23,-60
38:51.3,29,48,-66
38:51.3,29,47,-63
38:51.5,29,53,-68
38:51.5,29,30,-49
38:51.5,29,33,-60
38:51.5,29,55,-64
38:51.5,29,32,-61
38:51.5,29,38,-66
38:51.5,29,57,-68
38:51.5,29,37,-60
38:51.5,29,58,-65
38:51.5,29,42,-64
38:51.5,29,41,-58
38:51.5,29,43,-66
38:51.5,29,60,-67
38:51.5,29,28,-50
38:51.5,29,27,-53
38:51.5,29,49,-57
38:51.5,29,45,-66
38:51.5,29,23,-58
38:51.5,29,48,-60
38:51.5,29,25,-56
38:51.5,29,47,-64
38:51.7,29,53,-73
38:51.7,29,30,-49
38:51.7,29,52,-55
38:51.7,29,55,-66
38:51.7,29,39,-65
38:51.7,29,35,-65
38:51.7,29,57,-65
38:51.7,29,34,-76
38:51.7,29,37,-64
38:51.7,29,59,-75
38:51.7,29,36,-66
38:51.7,29,58,-68
38:51.7,29,42,-65
38:51.7,29,41,-60
38:51.7,29,22,-66
38:51.7,29,21,-70
38:51.7,29,60,-67
38:51.7,29,27,-51
38:51.7,29,49,-56
38:51.7,29,29,-44
38:51.7,29,46,-80
38:51.7,29,23,-58
38:51.7,29,48,-63
38:51.9,29,31,-55
38:51.9,29,30,-48
38:51.9,29,33,-60
38:51.9,29,32,-60
38:51.9,29,39,-65
38:51.9,29,38,-66
38:51.9,29,34,-73
38:51.9,29,56,-63
38:51.9,29,59,-73
38:51.9,29,36,-63
38:51.9,29,22,-63
38:51.9,29,60,-71
38:51.9,29,27,-51
38:51.9,29,24,-61
38:51.9,29,23,-58
38:51.9,29,48,-60
38:51.9,29,25,-56
38:52.1,29,31,-54
38:52.1,29,30,-48
38:52.1,29,32,-58
38:52.1,29,51,-58
38:52.1,29,50,-66
38:52.1,29,39,-64
38:52.1,29,34,-70
38:52.1,29,37,-63
38:52.1,29,59,-67
38:52.1,29,42,-66
38:52.1,29,22,-65
38:52.1,29,43,-66
38:52.1,29,21,-68
38:52.1,29,27,-52
38:52.1,29,49,-55
38:52.1,29,29,-45
38:52.1,29,46,-79
38:52.1,29,24,-66
38:52.1,29,23,-58
38:52.1,29,26,-63
38:52.1,29,25,-57
38:52.1,29,47,-65
38:52.3,29,53,-68
38:52.3,29,31,-53
38:52.3,29,30,-49
38:52.3,29,52,-54
38:52.3,29,33,-60
38:52.3,29,55,-65
38:52.3,29,32,-58
38:52.3,29,50,-62
38:52.3,29,39,-64
38:52.3,29,34,-72
38:52.3,29,59,-68
38:52.3,29,58,-66
38:52.3,29,42,-64
38:52.3,29,43,-64
38:52.3,29,21,-67
38:52.3,29,60,-70
38:52.3,29,28,-49
38:52.3,29,27,-52
38:52.3,29,49,-55
38:52.3,29,23,-59
38:52.3,29,26,-59
38:52.3,29,48,-63
38:52.3,29,25,-57
38:52.3,29,47,-68
38:52.5,29,30,-49
38:52.5,29,52,-55
38:52.5,29,32,-69
38:52.5,29,54,-67
38:52.5,29,51,-58
38:52.5,29,50,-66
38:52.5,29,39,-67
38:52.5,29,38,-73
38:52.5,29,57,-64
38:52.5,29,34,-75
38:52.5,29,56,-63
38:52.5,29,59,-70
38:52.5,29,58,-80
38:52.5,29,42,-65
38:52.5,29,41,-71
38:52.5,29,44,-64
38:52.5,29,43,-64
38:52.5,29,28,-48
38:52.5,29,27,-51
38:52.5,29,29,-47
38:52.5,29,46,-67
38:52.5,29,24,-61
38:52.5,29,45,-66
38:52.5,29,48,-66
38:52.5,29,25,-55
38:52.5,29,47,-57
38:52.7,29,31,-60
38:52.7,29,30,-54
38:52.7,29,33,-60
38:52.7,29,55,-61
38:52.7,29,32,-73
38:52.7,29,54,-67
38:52.7,29,51,-63
38:52.7,29,35,-67
38:52.7,29,57,-63
38:52.7,29,34,-65
38:52.7,29,59,-66
38:52.7,29,42,-65
38:52.7,29,44,-63
38:52.7,29,40,-63
38:52.7,29,28,-48
38:52.7,29,49,-51
38:52.7,29,29,-47
38:52.7,29,23,-58
38:52.7,29,25,-54
38:52.9,29,31,-58
38:52.9,29,30,-54
38:52.9,29,55,-61
38:52.9,29,32,-70
38:52.9,29,51,-63
38:52.9,29,57,-63
38:52.9,29,34,-65
38:52.9,29,36,-70
38:52.9,29,58,-82
38:52.9,29,41,-67
38:52.9,29,44,-63
38:52.9,29,43,-66
38:52.9,29,28,-48
38:52.9,29,29,-45
38:52.9,29,24,-63
38:52.9,29,45,-71
38:52.9,29,23,-60
38:52.9,29,48,-66
38:53.1,29,31,-57
38:53.1,29,55,-62
38:53.1,29,32,-74
38:53.1,29,51,-63
38:53.1,29,50,-66
38:53.1,29,39,-67
38:53.1,29,35,-65
38:53.1,29,56,-62
38:53.1,29,59,-65
38:53.1,29,58,-78
38:53.1,29,22,-60
38:53.1,29,43,-66
38:53.1,29,60,-66
38:53.1,29,28,-49
38:53.1,29,49,-50
38:53.1,29,45,-75
38:53.1,29,23,-60
38:53.1,29,26,-57
38:53.1,29,25,-56
38:53.4,29,53,-66
38:53.4,29,33,-60
38:53.4,29,32,-69
38:53.4,29,51,-62
38:53.4,29,50,-67
38:53.4,29,38,-71
38:53.4,29,34,-65
38:53.4,29,56,-63
38:53.4,29,37,-65
38:53.4,29,42,-65
38:53.4,29,41,-65
38:53.4,29,44,-64
38:53.4,29,43,-65
38:53.4,29,21,-69
38:53.4,29,60,-68
38:53.4,29,28,-48
38:53.4,29,29,-47
38:53.4,29,46,-66
38:53.4,29,24,-64
38:53.4,29,23,-60
38:53.4,29,48,-67
38:53.6,29,31,-58
38:53.6,29,33,-60
38:53.6,29,55,-62
38:53.6,29,32,-71
38:53.6,29,51,-62
38:53.6,29,39,-67
38:53.6,29,37,-67
38:53.6,29,59,-66
38:53.6,29,58,-86
38:53.6,29,44,-63
38:53.6,29,21,-67
38:53.6,29,40,-62
38:53.6,29,28,-49
38:53.6,29,27,-53
38:53.6,29,29,-47
38:53.6,29,24,-60
38:53.6,29,45,-69
38:53.6,29,23,-61
38:53.6,29,26,-57
38:53.6,29,48,-67
38:53.6,29,25,-55
38:53.6,29,47,-56
38:53.8,29,53,-66
38:53.8,29,31,-58
38:53.8,29,52,-56
38:53.8,29,55,-60
38:53.8,29,32,-69
38:53.8,29,51,-63
38:53.8,29,50,-67
38:53.8,29,39,-67
38:53.8,29,34,-65
38:53.8,29,56,-62
38:53.8,29,37,-67
38:53.8,29,41,-66
38:53.8,29,44,-63
38:53.8,29,43,-66
38:53.8,29,60,-67
38:53.8,29,28,-48
38:53.8,29,49,-50
38:53.8,29,45,-70
38:53.8,29,23,-61
38:53.8,29,26,-56
38:53.8,29,48,-64
38:53.8,29,25,-55
38:53.8,29,47,-56
38:54.0,29,53,-66
38:54.0,29,31,-57
38:54.0,29,30,-54
38:54.0,29,55,-61
38:54.0,29,32,-69
38:54.0,29,51,-62
38:54.0,29,35,-67
38:54.0,29,37,-66
38:54.0,29,59,-66
38:54.0,29,58,-82
38:54.0,29,44,-63
38:54.0,29,22,-60
38:54.0,29,43,-65
38:54.0,29,60,-66
38:54.0,29,40,-63
38:54.0,29,28,-48
38:54.0,29,45,-72
38:54.0,29,48,-66
38:54.0,29,25,-55
38:54.0,29,47,-56
38:54.2,29,30,-54
38:54.2,29,52,-56
38:54.2,29,33,-60
38:54.2,29,55,-62
38:54.2,29,32,-71
38:54.2,29,54,-66
38:54.2,29,51,-62
38:54.2,29,50,-66
38:54.2,29,35,-67
38:54.2,29,57,-63
38:54.2,29,34,-66
38:54.2,29,56,-62
38:54.2,29,36,-72
38:54.2,29,58,-88
38:54.2,29,42,-66
38:54.2,29,41,-69
38:54.2,29,44,-64
38:54.2,29,22,-59
38:54.2,29,28,-48
38:54.2,29,27,-53
38:54.2,29,49,-50
38:54.2,29,46,-68
38:54.2,29,23,-60
38:54.2,29,26,-57
38:54.2,29,48,-66
38:54.2,29,25,-55
38:54.4,29,53,-66
38:54.4,29,31,-57
38:54.4,29,55,-61
38:54.4,29,32,-71
38:54.4,29,54,-67
38:54.4,29,51,-62
38:54.4,29,50,-66
38:54.4,29,35,-67
38:54.4,29,57,-63
38:54.4,29,34,-66
38:54.4,29,56,-62
38:54.4,29,37,-66
38:54.4,29,59,-66
38:54.4,29,58,-85
38:54.4,29,41,-68
38:54.4,29,44,-63
38:54.4,29,22,-60
38:54.4,29,21,-68
38:54.4,29,49,-51
38:54.4,29,46,-67
38:54.4,29,23,-60
38:54.4,29,26,-57
38:54.4,29,48,-65
38:54.6,29,53,-66
38:54.6,29,31,-58
38:54.6,29,30,-54
38:54.6,29,55,-61
38:54.6,29,51,-63
38:54.6,29,50,-67
38:54.6,29,35,-66
38:54.6,29,57,-63
38:54.6,29,34,-65
38:54.6,29,56,-62
38:54.6,29,36,-71
38:54.6,29,58,-89
38:54.6,29,44,-63
38:54.6,29,22,-60
38:54.6,29,43,-64
38:54.6,29,21,-70
38:54.6,29,60,-67
38:54.6,29,40,-62
38:54.6,29,28,-48
38:54.6,29,27,-53
38:54.6,29,29,-47
38:54.6,29,24,-60
38:54.6,29,45,-73
38:54.6,29,23,-60
38:54.6,29,26,-57
38:54.6,29,25,-55
38:54.6,29,47,-57
38:54.8,29,53,-66
38:54.8,29,30,-54
38:54.8,29,52,-56
38:54.8,29,55,-60
38:54.8,29,54,-66
38:54.8,29,51,-62
38:54.8,29,50,-66
38:54.8,29,39,-67
38:54.8,29,35,-65
38:54.8,29,57,-63
38:54.8,29,34,-66
38:54.8,29,56,-62
38:54.8,29,59,-66
38:54.8,29,42,-65
38:54.8,29,44,-64
38:54.8,29,22,-59
38:54.8,29,43,-65
38:54.8,29,40,-61
38:54.8,29,28,-48
38:54.8,29,27,-53
38:54.8,29,29,-47
38:54.8,29,24,-60
38:54.8,29,23,-60
38:54.8,29,26,-57
38:55.0,29,31,-58
38:55.0,29,52,-56
38:55.0,29,55,-62
38:55.0,29,32,-71
38:55.0,29,51,-63
38:55.0,29,57,-63
38:55.0,29,37,-67
38:55.0,29,58,-84
38:55.0,29,42,-66
38:55.0,29,22,-59
38:55.0,29,43,-65
38:55.0,29,21,-69
38:55.0,29,40,-63
38:55.0,29,28,-49
38:55.0,29,49,-50
38:55.0,29,29,-47
38:55.0,29,24,-59
38:55.0,29,23,-59
38:55.0,29,26,-56
38:55.0,29,25,-55
38:55.0,29,47,-57
38:55.2,29,53,-66
38:55.2,29,31,-58
38:55.2,29,30,-54
38:55.2,29,52,-57
