TIME,Base,Minor,Rssi
05:01.7,35,53,-52
05:01.7,35,55,-64
05:01.7,35,33,-54
05:01.7,35,32,-76
05:01.7,35,54,-54
05:01.7,35,51,-65
05:01.7,35,50,-68
05:01.7,35,39,-62
05:01.7,35,38,-52
05:01.7,35,57,-55
05:01.7,35,35,-45
05:01.7,35,56,-50
05:01.7,35,34,-58
05:01.7,35,59,-56
05:01.7,35,58,-71
05:01.7,35,36,-53
05:01.7,35,42,-69
05:01.7,35,22,-71
05:01.7,35,40,-66
05:01.7,35,28,-71
05:01.7,35,27,-60
05:01.7,35,49,-66
05:01.7,35,29,-58
05:01.7,35,24,-72
05:01.7,35,46,-65
05:01.7,35,23,-72
05:01.7,35,45,-76
05:01.7,35,26,-71
05:01.7,35,48,-65
05:01.7,35,25,-73
05:01.9,35,55,-63
05:01.9,35,54,-56
05:01.9,35,50,-66
05:01.9,35,39,-64
05:01.9,35,57,-55
05:01.9,35,35,-45
05:01.9,35,34,-60
05:01.9,35,58,-68
05:01.9,35,36,-55
05:01.9,35,42,-70
05:01.9,35,43,-69
05:01.9,35,27,-65
05:01.9,35,49,-58
05:01.9,35,29,-66
05:01.9,35,24,-70
05:01.9,35,45,-64
05:01.9,35,48,-65
05:01.9,35,47,-67
05:02.2,35,30,-62
05:02.2,35,55,-63
05:02.2,35,33,-64
05:02.2,35,32,-66
05:02.2,35,51,-67
05:02.2,35,50,-65
05:02.2,35,39,-60
05:02.2,35,57,-56
05:02.2,35,35,-44
05:02.2,35,56,-51
05:02.2,35,34,-57
05:02.2,35,59,-53
05:02.2,35,37,-62
05:02.2,35,58,-66
05:02.2,35,42,-72
05:02.2,35,49,-58
05:02.2,35,29,-62
05:02.2,35,24,-68
05:02.2,35,45,-66
05:02.2,35,26,-69
05:02.2,35,25,-69
05:02.4,35,31,-64
05:02.4,35,53,-56
05:02.4,35,52,-68
05:02.4,35,32,-68
05:02.4,35,51,-58
05:02.4,35,50,-66
05:02.4,35,39,-68
05:02.4,35,38,-52
05:02.4,35,34,-57
05:02.4,35,58,-66
05:02.4,35,36,-58
05:02.4,35,42,-69
05:02.4,35,43,-77
05:02.4,35,60,-60
05:02.4,35,49,-64
05:02.4,35,24,-67
05:02.4,35,45,-67
05:02.4,35,25,-74
05:02.6,35,53,-53
05:02.6,35,52,-71
05:02.6,35,33,-70
05:02.6,35,51,-57
05:02.6,35,39,-64
05:02.6,35,38,-52
05:02.6,35,57,-53
05:02.6,35,35,-46
05:02.6,35,58,-74
05:02.6,35,36,-54
05:02.6,35,42,-67
05:02.6,35,44,-75
05:02.6,35,22,-65
05:02.6,35,60,-62
05:02.6,35,24,-68
05:02.6,35,46,-62
05:02.6,35,23,-73
05:02.6,35,45,-67
05:02.6,35,48,-59
05:02.8,35,31,-58
05:02.8,35,30,-63
05:02.8,35,33,-60
05:02.8,35,32,-59
05:02.8,35,54,-55
05:02.8,35,50,-68
05:02.8,35,39,-66
05:02.8,35,57,-54
05:02.8,35,35,-44
05:02.8,35,56,-53
05:02.8,35,34,-51
05:02.8,35,58,-68
05:02.8,35,41,-67
05:02.8,35,21,-66
05:02.8,35,43,-66
05:02.8,35,40,-67
05:02.8,35,28,-63
05:02.8,35,49,-60
05:02.8,35,24,-67
05:02.8,35,46,-61
05:02.8,35,23,-78
05:02.8,35,45,-65
05:02.8,35,26,-77
05:02.8,35,48,-55
05:02.8,35,25,-62
05:03.0,35,31,-57
05:03.0,35,53,-53
05:03.0,35,52,-68
05:03.0,35,32,-60
05:03.0,35,54,-54
05:03.0,35,51,-56
05:03.0,35,50,-67
05:03.0,35,39,-66
05:03.0,35,38,-52
05:03.0,35,57,-53
05:03.0,35,35,-45
05:03.0,35,56,-53
05:03.0,35,34,-53
05:03.0,35,59,-66
05:03.0,35,37,-62
05:03.0,35,36,-54
05:03.0,35,42,-67
05:03.0,35,41,-66
05:03.0,35,22,-65
05:03.0,35,43,-68
05:03.0,35,60,-60
05:03.0,35,24,-66
05:03.0,35,46,-59
05:03.0,35,23,-80
05:03.0,35,45,-65
05:03.0,35,48,-59
05:03.2,35,31,-57
05:03.2,35,52,-69
05:03.2,35,55,-69
05:03.2,35,32,-60
05:03.2,35,50,-77
05:03.2,35,38,-52
05:03.2,35,56,-56
05:03.2,35,34,-53
05:03.2,35,37,-58
05:03.2,35,58,-71
05:03.2,35,36,-54
05:03.2,35,42,-68
05:03.2,35,41,-66
05:03.2,35,21,-65
05:03.2,35,40,-66
05:03.2,35,27,-62
05:03.2,35,49,-59
05:03.2,35,29,-60
05:03.2,35,24,-67
05:03.2,35,46,-58
05:03.2,35,23,-74
05:03.2,35,45,-65
05:03.2,35,48,-58
05:03.2,35,47,-60
05:03.2,35,25,-59
05:03.4,35,53,-53
05:03.4,35,55,-75
05:03.4,35,50,-70
05:03.4,35,57,-55
05:03.4,35,34,-53
05:03.4,35,58,-69
05:03.4,35,36,-55
05:03.4,35,41,-67
05:03.4,35,44,-79
05:03.4,35,22,-65
05:03.4,35,29,-52
05:03.4,35,24,-64
05:03.4,35,46,-59
05:03.4,35,26,-70
05:03.4,35,47,-60
05:03.6,35,31,-57
05:03.6,35,53,-53
05:03.6,35,30,-59
05:03.6,35,55,-73
05:03.6,35,33,-65
05:03.6,35,51,-56
05:03.6,35,50,-73
05:03.6,35,39,-65
05:03.6,35,38,-52
05:03.6,35,35,-45
05:03.6,35,56,-54
05:03.6,35,58,-70
05:03.6,35,22,-65
05:03.6,35,21,-62
05:03.6,35,43,-66
05:03.6,35,27,-60
05:03.6,35,49,-62
05:03.6,35,24,-65
05:03.6,35,46,-58
05:03.6,35,23,-79
05:03.6,35,45,-65
05:03.6,35,48,-57
05:03.6,35,47,-61
05:03.6,35,25,-60
05:03.8,35,31,-58
05:03.8,35,30,-58
05:03.8,35,33,-66
05:03.8,35,32,-62
05:03.8,35,54,-54
05:03.8,35,50,-73
05:03.8,35,39,-65
05:03.8,35,57,-55
05:03.8,35,35,-45
05:03.8,35,56,-53
05:03.8,35,59,-66
05:03.8,35,37,-61
05:03.8,35,58,-71
05:03.8,35,36,-55
05:03.8,35,42,-68
05:03.8,35,41,-65
05:03.8,35,22,-65
05:03.8,35,43,-66
05:03.8,35,60,-60
05:03.8,35,40,-68
05:03.8,35,29,-52
05:03.8,35,24,-64
05:03.8,35,46,-58
05:03.8,35,48,-58
05:03.8,35,47,-61
05:03.8,35,25,-60
05:04.0,35,53,-53
05:04.0,35,52,-70
05:04.0,35,55,-74
05:04.0,35,33,-66
05:04.0,35,54,-54
05:04.0,35,51,-56
05:04.0,35,39,-66
05:04.0,35,38,-52
05:04.0,35,35,-44
05:04.0,35,56,-54
05:04.0,35,34,-53
05:04.0,35,58,-71
05:04.0,35,36,-54
05:04.0,35,44,-80
05:04.0,35,43,-66
