TIME,Base,Minor,Rssi
00:02.7,58,31,-62
00:02.7,58,52,-74
00:02.7,58,30,-66
00:02.7,58,55,-56
00:02.7,58,33,-55
00:02.7,58,54,-57
00:02.7,58,32,-64
00:02.7,58,51,-68
00:02.7,58,35,-55
00:02.7,58,34,-69
00:02.7,58,56,-59
00:02.7,58,59,-67
00:02.7,58,58,-53
00:02.7,58,41,-65
00:02.7,58,44,-68
00:02.7,58,43,-66
00:02.7,58,21,-68
00:02.7,58,27,-67
00:02.7,58,49,-71
00:02.7,58,29,-64
00:02.7,58,24,-69
00:02.7,58,46,-66
00:02.7,58,23,-84
00:02.7,58,48,-83
00:02.7,58,26,-69
00:02.7,58,25,-67
00:02.9,58,52,-77
00:02.9,58,30,-65
00:02.9,58,33,-55
00:02.9,58,51,-68
00:02.9,58,57,-60
00:02.9,58,35,-54
00:02.9,58,56,-58
00:02.9,58,59,-69
00:02.9,58,58,-55
00:02.9,58,42,-70
00:02.9,58,41,-64
00:02.9,58,44,-67
00:02.9,58,22,-77
00:02.9,58,21,-68
00:02.9,58,60,-70
00:02.9,58,40,-67
00:02.9,58,28,-70
00:02.9,58,27,-67
00:02.9,58,49,-70
00:02.9,58,29,-63
00:02.9,58,24,-67
00:02.9,58,46,-66
00:02.9,58,48,-88
00:02.9,58,47,-66
00:03.1,58,31,-64
00:03.1,58,30,-65
00:03.1,58,54,-56
00:03.1,58,50,-64
00:03.1,58,38,-56
00:03.1,58,56,-59
00:03.1,58,37,-60
00:03.1,58,59,-84
00:03.1,58,36,-64
00:03.1,58,58,-55
00:03.1,58,42,-77
00:03.1,58,41,-65
00:03.1,58,44,-68
00:03.1,58,43,-68
00:03.1,58,21,-66
00:03.1,58,60,-66
00:03.1,58,40,-67
00:03.1,58,27,-66
00:03.1,58,49,-71
00:03.1,58,24,-67
00:03.1,58,23,-72
00:03.1,58,45,-67
00:03.1,58,26,-67
00:03.1,58,25,-67
00:03.1,58,47,-67
00:03.3,58,53,-57
00:03.3,58,31,-66
00:03.3,58,30,-68
00:03.3,58,55,-57
00:03.3,58,51,-66
00:03.3,58,39,-61
00:03.3,58,38,-56
00:03.3,58,34,-63
00:03.3,58,56,-67
00:03.3,58,36,-65
00:03.3,58,58,-53
00:03.3,58,22,-69
00:03.3,58,21,-67
00:03.3,58,40,-70
00:03.3,58,27,-66
00:03.3,58,49,-67
00:03.3,58,46,-66
00:03.3,58,23,-69
00:03.3,58,45,-64
00:03.3,58,48,-67
00:03.3,58,47,-66
00:03.5,58,53,-60
00:03.5,58,30,-66
00:03.5,58,55,-65
00:03.5,58,33,-62
00:03.5,58,54,-55
00:03.5,58,32,-62
00:03.5,58,51,-64
00:03.5,58,50,-64
00:03.5,58,38,-58
00:03.5,58,35,-55
00:03.5,58,34,-73
00:03.5,58,56,-62
00:03.5,58,37,-60
00:03.5,58,36,-65
00:03.5,58,44,-71
00:03.5,58,43,-73
00:03.5,58,27,-66
00:03.5,58,23,-78
00:03.5,58,48,-69
00:03.5,58,25,-66
00:03.7,58,53,-57
00:03.7,58,31,-66
00:03.7,58,30,-72
00:03.7,58,55,-54
00:03.7,58,54,-54
00:03.7,58,32,-61
00:03.7,58,51,-62
00:03.7,58,50,-63
00:03.7,58,39,-61
00:03.7,58,57,-57
00:03.7,58,35,-56
00:03.7,58,56,-63
00:03.7,58,59,-64
00:03.7,58,44,-67
00:03.7,58,43,-71
00:03.7,58,60,-63
00:03.7,58,40,-73
00:03.7,58,28,-74
00:03.7,58,27,-66
00:03.7,58,49,-79
00:03.7,58,29,-63
00:03.7,58,24,-68
00:03.7,58,46,-67
00:03.7,58,23,-69
00:03.7,58,45,-65
00:03.7,58,48,-67
