TIME,Base,Minor,Rssi
09:42.9,48,31,-66
09:42.9,48,30,-61
09:42.9,48,52,-71
09:42.9,48,55,-63
09:42.9,48,32,-55
09:42.9,48,51,-64
09:42.9,48,39,-71
09:42.9,48,35,-63
09:42.9,48,57,-70
09:42.9,48,56,-69
09:42.9,48,34,-60
09:42.9,48,59,-68
09:42.9,48,42,-71
09:42.9,48,21,-64
09:42.9,48,60,-66
09:42.9,48,49,-64
09:42.9,48,46,-50
09:42.9,48,24,-58
09:42.9,48,48,-52
09:42.9,48,26,-51
09:42.9,48,25,-52
09:42.9,48,47,-44
09:43.1,48,30,-61
09:43.1,48,55,-64
09:43.1,48,32,-56
09:43.1,48,51,-62
09:43.1,48,50,-51
09:43.1,48,56,-67
09:43.1,48,59,-67
09:43.1,48,37,-78
09:43.1,48,58,-69
09:43.1,48,36,-68
09:43.1,48,42,-68
09:43.1,48,44,-58
09:43.1,48,28,-67
09:43.1,48,29,-66
09:43.1,48,46,-51
09:43.1,48,24,-58
09:43.1,48,45,-59
09:43.1,48,23,-61
09:43.1,48,48,-52
09:43.1,48,26,-51
09:43.1,48,25,-51
09:43.1,48,47,-46
09:43.3,48,31,-64
09:43.3,48,30,-65
09:43.3,48,55,-62
09:43.3,48,32,-55
09:43.3,48,54,-66
09:43.3,48,51,-59
09:43.3,48,50,-55
09:43.3,48,39,-68
09:43.3,48,35,-67
09:43.3,48,56,-69
09:43.3,48,37,-72
09:43.3,48,58,-67
09:43.3,48,36,-67
09:43.3,48,42,-69
09:43.3,48,21,-63
09:43.3,48,28,-65
09:43.3,48,27,-56
09:43.3,48,46,-52
09:43.3,48,45,-61
09:43.3,48,23,-62
09:43.3,48,48,-49
09:43.3,48,26,-51
09:43.5,48,53,-83
09:43.5,48,30,-67
09:43.5,48,33,-68
09:43.5,48,55,-62
09:43.5,48,51,-59
09:43.5,48,50,-55
09:43.5,48,38,-67
09:43.5,48,57,-73
09:43.5,48,56,-68
09:43.5,48,59,-67
09:43.5,48,37,-67
09:43.5,48,58,-69
09:43.5,48,42,-70
09:43.5,48,44,-60
09:43.5,48,43,-60
09:43.5,48,60,-67
09:43.5,48,28,-67
09:43.5,48,49,-68
09:43.5,48,24,-58
09:43.5,48,45,-60
09:43.5,48,23,-60
09:43.5,48,48,-51
09:43.5,48,25,-53
09:43.5,48,47,-43
09:43.7,48,31,-66
09:43.7,48,52,-79
09:43.7,48,33,-67
09:43.7,48,55,-63
09:43.7,48,32,-55
09:43.7,48,51,-60
09:43.7,48,50,-56
09:43.7,48,39,-71
09:43.7,48,57,-69
09:43.7,48,56,-67
09:43.7,48,34,-60
09:43.7,48,59,-68
09:43.7,48,37,-68
09:43.7,48,58,-67
09:43.7,48,36,-67
09:43.7,48,44,-59
09:43.7,48,43,-60
09:43.7,48,60,-65
09:43.7,48,28,-65
09:43.7,48,49,-68
09:43.7,48,27,-56
09:43.7,48,45,-62
09:43.7,48,23,-59
09:43.7,48,26,-51
09:43.7,48,25,-52
09:43.7,48,47,-43
09:43.9,48,33,-68
09:43.9,48,55,-62
09:43.9,48,32,-56
09:43.9,48,54,-65
09:43.9,48,51,-59
09:43.9,48,39,-71
09:43.9,48,35,-65
09:43.9,48,57,-70
09:43.9,48,34,-60
09:43.9,48,59,-67
09:43.9,48,22,-70
09:43.9,48,44,-60
09:43.9,48,21,-60
09:43.9,48,60,-65
09:43.9,48,40,-68
09:43.9,48,28,-67
09:43.9,48,27,-56
09:43.9,48,46,-56
09:43.9,48,24,-58
09:43.9,48,45,-62
09:43.9,48,23,-62
09:43.9,48,48,-50
09:43.9,48,25,-52
09:44.1,48,33,-68
09:44.1,48,55,-62
09:44.1,48,51,-59
09:44.1,48,50,-55
09:44.1,48,39,-69
09:44.1,48,35,-66
