TIME,Base,Minor,Rssi,,,,,Base,21,,
28:11.2,21,22,-50,,,,,,,,
28:11.3,21,39,-66,,,,,,,,
28:11.3,21,38,-78,,,,,,,,
28:11.3,21,34,-77,,,,,,,,
28:11.3,21,42,-66,,,,,,,,
28:11.3,21,27,-78,,,,,,,,
28:11.3,21,26,-58,,,,,,,,
28:11.4,21,30,-72,,,,,,,,
28:11.4,21,33,-68,,,,,,,,
28:11.4,21,54,-71,,,,,,,,
28:11.4,21,38,-79,,,,,,,,
28:11.4,21,56,-61,,,,,,,,
28:11.4,21,42,-65,,,,,,,,
28:11.4,21,64,-72,,,,,,,,
28:11.4,21,41,-54,,,,,,,,
28:11.4,21,60,-70,,,,,,,,
28:11.4,21,62,-73,,,,,,,,
28:11.4,21,40,-67,,,,,,,,
28:11.4,21,29,-77,,,,,,,,
28:11.4,21,46,-64,,,,,,,,
28:11.4,21,48,-61,,,,,,,,
28:11.4,21,26,-58,,,,,,,,
28:11.5,21,53,-66,,,,,,,,
28:11.5,21,33,-67,,,,,,,,
28:11.5,21,39,-67,,,,,,,,
28:11.5,21,57,-68,,,,,,,,
28:11.5,21,56,-62,,,,,,,,
28:11.5,21,64,-73,,,,,,,,
28:11.5,21,63,-68,,,,,,,,
28:11.5,21,60,-70,,,,,,,,
28:11.5,21,62,-73,,,,,,,,
28:11.5,21,40,-68,,,,,,,,
28:11.5,21,24,-52,,,,,,,,
28:11.7,21,33,-67,,,,,,,,
28:11.7,21,57,-67,,,,,,,,
28:11.7,21,34,-79,,,,,,,,
28:11.7,21,56,-61,,,,,,,,
28:11.7,21,37,-77,,,,,,,,
28:11.7,21,42,-65,,,,,,,,
28:11.7,21,62,-72,,,,,,,,
28:11.7,21,61,-66,,,,,,,,
28:11.7,21,27,-80,,,,,,,,
28:11.7,21,24,-52,,,,,,,,
28:11.7,21,46,-64,,,,,,,,
28:11.7,21,48,-62,,,,,,,,
28:11.8,21,53,-66,,,,,,,,
28:11.8,21,33,-67,,,,,,,,
28:11.8,21,39,-67,,,,,,,,
28:11.8,21,34,-78,,,,,,,,
28:11.8,21,56,-62,,,,,,,,
28:11.8,21,36,-76,,,,,,,,
28:11.8,21,42,-65,,,,,,,,
28:11.8,21,64,-75,,,,,,,,
28:11.8,21,41,-53,,,,,,,,
28:11.8,21,22,-50,,,,,,,,
28:11.8,21,43,-70,,,,,,,,
28:11.8,21,60,-71,,,,,,,,
28:11.8,21,61,-64,,,,,,,,
28:11.8,21,46,-64,,,,,,,,
28:11.8,21,23,-59,,,,,,,,
28:11.8,21,47,-64,,,,,,,,
28:11.9,21,30,-71,,,,,,,,
28:11.9,21,32,-73,,,,,,,,
28:11.9,21,39,-66,,,,,,,,
28:11.9,21,38,-79,,,,,,,,
28:11.9,21,57,-69,,,,,,,,
28:11.9,21,56,-62,,,,,,,,
28:11.9,21,42,-65,,,,,,,,
28:11.9,21,41,-53,,,,,,,,
28:11.9,21,63,-69,,,,,,,,
28:11.9,21,21,-59,,,,,,,,
28:11.9,21,62,-71,,,,,,,,
28:11.9,21,40,-67,,,,,,,,
28:11.9,21,27,-79,,,,,,,,
28:11.9,21,24,-52,,,,,,,,
28:11.9,21,45,-78,,,,,,,,
28:11.9,21,48,-62,,,,,,,,
28:12.0,21,39,-67,,,,,,,,
28:12.0,21,56,-62,,,,,,,,
28:12.0,21,64,-79,,,,,,,,
28:12.0,21,44,-70,,,,,,,,
28:12.0,21,40,-67,,,,,,,,
28:12.0,21,61,-66,,,,,,,,
28:12.0,21,28,-71,,,,,,,,
28:12.0,21,46,-64,,,,,,,,
28:12.1,21,53,-67,,,,,,,,
28:12.1,21,31,-70,,,,,,,,
28:12.1,21,33,-69,,,,,,,,
28:12.1,21,39,-67,,,,,,,,
28:12.1,21,34,-76,,,,,,,,
28:12.1,21,56,-62,,,,,,,,
28:12.1,21,59,-71,,,,,,,,
28:12.1,21,41,-54,,,,,,,,
28:12.1,21,22,-50,,,,,,,,
28:12.1,21,44,-69,,,,,,,,
28:12.1,21,21,-60,,,,,,,,
28:12.1,21,60,-73,,,,,,,,
28:12.1,21,62,-69,,,,,,,,
28:12.1,21,24,-52,,,,,,,,
28:12.1,21,25,-60,,,,,,,,
28:12.2,21,30,-69,,,,,,,,
28:12.2,21,54,-69,,,,,,,,
28:12.2,21,38,-78,,,,,,,,
28:12.2,21,35,-76,,,,,,,,
28:12.2,21,37,-74,,,,,,,,
28:12.2,21,36,-75,,,,,,,,
28:12.2,21,64,-85,,,,,,,,
28:12.2,21,63,-71,,,,,,,,
28:12.2,21,22,-50,,,,,,,,
28:12.2,21,60,-74,,,,,,,,
28:12.2,21,28,-69,,,,,,,,
28:12.2,21,27,-75,,,,,,,,
28:12.2,21,24,-52,,,,,,,,
28:12.2,21,45,-79,,,,,,,,
28:12.2,21,48,-63,,,,,,,,
28:12.2,21,26,-57,,,,,,,,
28:12.2,21,47,-66,,,,,,,,
28:12.3,21,31,-71,,,,,,,,
28:12.3,21,55,-80,,,,,,,,
28:12.3,21,54,-69,,,,,,,,
28:12.3,21,38,-79,,,,,,,,
28:12.3,21,35,-77,,,,,,,,
28:12.3,21,34,-76,,,,,,,,
28:12.3,21,56,-63,,,,,,,,
28:12.3,21,44,-69,,,,,,,,
28:12.3,21,21,-60,,,,,,,,
