TIME,Base,Minor,Rssi,,,,,Base,55
35:06.5,55,53,-69,,,59,60,39,40
35:06.5,55,55,-55,,,-58.25,-67.8,-71.79,-65.38
35:06.5,55,54,-67,,,58,57,38,37
35:06.5,55,38,-67,,,-51.95,-57.05,-67.4,-62.75
35:06.5,55,35,-57,,,55,56,35,36
35:06.5,55,34,-64,,,-46.82,-56.5,-57.85,-62.82
35:06.5,55,59,-63,,,54,53,34,33
35:06.5,55,42,-82,,,-62.31,-68.33,-63.75,-63.19
35:06.5,55,41,-82,,,51,52,31,32
35:06.5,55,21,-83,,,-63.87,-71.97,-66.77,-68.11
35:06.5,55,40,-65,,,50,49,30,29
35:06.5,55,28,-80,,,-74.28,-71.05,-67.9,-71.66
35:06.5,55,24,-78,,,47,48,27,28
35:06.5,55,46,-71,,,-74.82,-69.48,-76.42,-71.74
35:06.5,55,23,-82,,,46,45,26,25
35:06.5,55,25,-74,,,-73.43,-69.57,-70.59,-72.43
35:06.6,55,30,-75,,,43,44,23,24
35:06.6,55,55,-54,,,-72.8,-76.09,-72.68,-71.48
35:06.6,55,33,-63,,,42,41,22,21
35:06.6,55,39,-70,,,-70.08,-74.83,-74.46,-70.37
35:06.6,55,56,-54,,,,,,
35:06.6,55,37,-62,,,,,,
35:06.6,55,64,-80,,,,,,
35:06.6,55,41,-79,,,,,,
35:06.6,55,44,-79,,,,,,
35:06.6,55,43,-78,,,,,,
35:06.6,55,21,-89,,,,,,
35:06.6,55,62,-69,,,,,,
35:06.6,55,28,-80,,,,,,
35:06.6,55,29,-73,,,,,,
35:06.6,55,47,-77,,,,,,
35:06.7,55,53,-69,,,,,,
35:06.7,55,33,-63,,,,,,
35:06.7,55,54,-66,,,,,,
35:06.7,55,38,-71,,,,,,
35:06.7,55,57,-65,,,,,,
35:06.7,55,34,-62,,,,,,
35:06.7,55,56,-55,,,,,,
35:06.7,55,59,-62,,,,,,
35:06.7,55,36,-68,,,,,,
35:06.7,55,21,-86,,,,,,
35:06.7,55,62,-69,,,,,,
35:06.7,55,28,-79,,,,,,
35:06.7,55,29,-73,,,,,,
35:06.7,55,46,-74,,,,,,
35:06.7,55,48,-75,,,,,,
35:06.7,55,26,-78,,,,,,
35:06.7,55,47,-76,,,,,,
35:06.8,55,55,-51,,,,,,
35:06.8,55,54,-66,,,,,,
35:06.8,55,32,-75,,,,,,
35:06.8,55,39,-72,,,,,,
35:06.8,55,38,-69,,,,,,
35:06.8,55,35,-58,,,,,,
35:06.8,55,34,-62,,,,,,
35:06.8,55,37,-65,,,,,,
35:06.8,55,36,-68,,,,,,
35:06.8,55,21,-73,,,,,,
35:06.8,55,60,-73,,,,,,
35:06.8,55,46,-74,,,,,,
35:06.8,55,48,-71,,,,,,
35:06.8,55,25,-78,,,,,,
35:06.8,55,47,-78,,,,,,
35:06.9,55,38,-66,,,,,,
35:06.9,55,57,-61,,,,,,
35:06.9,55,56,-55,,,,,,
35:06.9,55,37,-66,,,,,,
35:06.9,55,42,-71,,,,,,
35:06.9,55,60,-76,,,,,,
35:06.9,55,61,-80,,,,,,
35:06.9,55,28,-71,,,,,,
35:06.9,55,29,-76,,,,,,
35:06.9,55,46,-72,,,,,,
35:06.9,55,48,-69,,,,,,
35:06.9,55,26,-82,,,,,,
35:06.9,55,47,-82,,,,,,
35:07.0,55,31,-64,,,,,,
35:07.0,55,55,-48,,,,,,
35:07.0,55,54,-65,,,,,,
35:07.0,55,32,-72,,,,,,
35:07.0,55,34,-63,,,,,,
35:07.0,55,59,-63,,,,,,
35:07.0,55,58,-55,,,,,,
35:07.0,55,41,-73,,,,,,
35:07.0,55,44,-74,,,,,,
35:07.0,55,43,-67,,,,,,
35:07.0,55,60,-67,,,,,,
35:07.0,55,62,-74,,,,,,
35:07.0,55,40,-65,,,,,,
35:07.0,55,46,-75,,,,,,
35:07.0,55,23,-70,,,,,,
35:07.0,55,48,-70,,,,,,
35:07.0,55,26,-67,,,,,,
35:07.1,55,55,-49,,,,,,
35:07.1,55,54,-60,,,,,,
35:07.1,55,35,-53,,,,,,
35:07.1,55,37,-65,,,,,,
35:07.1,55,58,-56,,,,,,
35:07.1,55,42,-68,,,,,,
35:07.1,55,64,-80,,,,,,
35:07.1,55,60,-71,,,,,,
35:07.1,55,62,-85,,,,,,
35:07.1,55,29,-76,,,,,,
35:07.1,55,45,-76,,,,,,
35:07.1,55,26,-67,,,,,,
35:07.1,55,47,-71,,,,,,
35:07.2,55,53,-68,,,,,,
35:07.2,55,31,-62,,,,,,
35:07.2,55,30,-70,,,,,,
35:07.2,55,54,-63,,,,,,
35:07.2,55,38,-65,,,,,,
35:07.2,55,57,-56,,,,,,
35:07.2,55,59,-68,,,,,,
35:07.2,55,37,-65,,,,,,
35:07.2,55,41,-72,,,,,,
35:07.2,55,44,-73,,,,,,
35:07.2,55,22,-74,,,,,,
35:07.2,55,21,-64,,,,,,
35:07.2,55,60,-67,,,,,,
35:07.2,55,40,-64,,,,,,
35:07.2,55,61,-77,,,,,,
35:07.2,55,23,-72,,,,,,
35:07.2,55,45,-75,,,,,,
35:07.2,55,25,-68,,,,,,
35:07.3,55,33,-66,,,,,,
35:07.3,55,54,-61,,,,,,
35:07.3,55,32,-70,,,,,,
35:07.3,55,39,-66,,,,,,
35:07.3,55,38,-66,,,,,,
35:07.3,55,44,-76,,,,,,
35:07.3,55,22,-71,,,,,,
35:07.3,55,43,-69,,,,,,
35:07.3,55,40,-64,,,,,,
35:07.3,55,23,-71,,,,,,
35:07.3,55,25,-69,,,,,,
35:07.3,55,47,-71,,,,,,
35:07.4,55,31,-68,,,,,,
35:07.4,55,30,-67,,,,,,
35:07.4,55,35,-56,,,,,,
35:07.4,55,34,-62,,,,,,
35:07.4,55,59,-56,,,,,,
35:07.4,55,58,-51,,,,,,
35:07.4,55,42,-69,,,,,,
35:07.4,55,63,-64,,,,,,
35:07.4,55,22,-70,,,,,,
35:07.4,55,43,-71,,,,,,
35:07.4,55,40,-64,,,,,,
35:07.4,55,48,-68,,,,,,
35:07.4,55,47,-72,,,,,,
35:07.5,55,53,-70,,,,,,
35:07.5,55,55,-45,,,,,,
35:07.5,55,33,-57,,,,,,
35:07.5,55,54,-60,,,,,,
35:07.5,55,38,-67,,,,,,
35:07.5,55,35,-56,,,,,,
35:07.5,55,34,-62,,,,,,
35:07.5,55,58,-51,,,,,,
35:07.5,55,36,-60,,,,,,
35:07.5,55,42,-69,,,,,,
35:07.5,55,41,-83,,,,,,
35:07.5,55,63,-64,,,,,,
35:07.5,55,60,-73,,,,,,
35:07.5,55,62,-71,,,,,,
35:07.5,55,40,-64,,,,,,
35:07.5,55,61,-70,,,,,,
35:07.5,55,26,-68,,,,,,
35:07.5,55,47,-69,,,,,,
35:07.6,55,55,-45,,,,,,
35:07.6,55,33,-57,,,,,,
35:07.6,55,34,-62,,,,,,
35:07.6,55,59,-55,,,,,,
35:07.6,55,37,-64,,,,,,
35:07.6,55,58,-51,,,,,,
35:07.6,55,36,-61,,,,,,
35:07.6,55,41,-84,,,,,,
35:07.6,55,63,-64,,,,,,
35:07.6,55,27,-80,,,,,,
35:07.6,55,24,-68,,,,,,
35:07.6,55,45,-70,,,,,,
35:07.6,55,48,-66,,,,,,
35:07.7,55,31,-69,,,,,,
35:07.7,55,33,-58,,,,,,
35:07.7,55,54,-60,,,,,,
35:07.7,55,35,-55,,,,,,
35:07.7,55,59,-55,,,,,,
35:07.7,55,58,-51,,,,,,
35:07.7,55,64,-69,,,,,,
35:07.7,55,22,-71,,,,,,
35:07.7,55,43,-71,,,,,,
35:07.7,55,21,-68,,,,,,
35:07.7,55,60,-76,,,,,,
35:07.7,55,27,-77,,,,,,
35:07.7,55,29,-64,,,,,,
35:07.7,55,48,-66,,,,,,
35:07.7,55,26,-68,,,,,,
35:07.7,55,47,-68,,,,,,
35:07.8,55,31,-69,,,,,,
