TIME,Base,Minor,Rssi,,,,,Base,50
36:22.6,50,31,-62,,,59,60,39,40
36:22.6,50,54,-60,,,-68.65,-71.23,-73.96,-69.69
36:22.6,50,39,-78,,,58,57,38,37
36:22.6,50,38,-73,,,-68.77,-67.81,-69.21,-72.28
36:22.6,50,56,-64,,,55,56,35,36
36:22.6,50,37,-68,,,-65.66,-67.58,-64.35,-69.39
36:22.6,50,59,-64,,,54,53,34,33
36:22.6,50,36,-68,,,-59.81,-67,-68.62,-63.24
36:22.6,50,42,-79,,,51,52,31,32
36:22.6,50,22,-76,,,-53.22,-55.29,-67.5,-60.56
36:22.6,50,21,-78,,,50,49,30,29
36:22.6,50,43,-76,,,-51.87,-59.78,-67.39,-65.78
36:22.6,50,60,-69,,,47,48,27,28
36:22.6,50,40,-74,,,-69.5,-68.3,-65.19,-70.3
36:22.6,50,62,-64,,,46,45,26,25
36:22.6,50,27,-66,,,-70.32,-73.04,-69.85,-68.73
36:22.6,50,29,-68,,,43,44,23,24
36:22.7,50,31,-58,,,-70.92,-75.44,-73.21,-71.65
36:22.7,50,33,-69,,,42,41,22,21
36:22.7,50,54,-63,,,-73.19,-67.81,-70.69,-72.55
36:22.7,50,38,-74,,,,,,
36:22.7,50,37,-68,,,,,,
36:22.7,50,59,-63,,,,,,
36:22.7,50,64,-56,,,,,,
36:22.7,50,63,-65,,,,,,
36:22.7,50,22,-77,,,,,,
36:22.7,50,21,-78,,,,,,
36:22.7,50,40,-72,,,,,,
36:22.7,50,62,-54,,,,,,
36:22.7,50,61,-68,,,,,,
36:22.7,50,23,-76,,,,,,
36:22.7,50,48,-68,,,,,,
36:22.8,50,33,-75,,,,,,
36:22.8,50,54,-61,,,,,,
36:22.8,50,39,-69,,,,,,
36:22.8,50,35,-67,,,,,,
36:22.8,50,56,-61,,,,,,
36:22.8,50,42,-70,,,,,,
36:22.8,50,63,-53,,,,,,
36:22.8,50,41,-68,,,,,,
36:22.8,50,21,-73,,,,,,
36:22.8,50,60,-69,,,,,,
36:22.8,50,62,-53,,,,,,
36:22.8,50,27,-60,,,,,,
36:22.8,50,29,-60,,,,,,
36:22.9,50,31,-58,,,,,,
36:22.9,50,54,-62,,,,,,
36:22.9,50,38,-68,,,,,,
36:22.9,50,64,-54,,,,,,
36:22.9,50,63,-51,,,,,,
36:22.9,50,22,-77,,,,,,
36:22.9,50,21,-71,,,,,,
36:22.9,50,40,-72,,,,,,
36:22.9,50,62,-54,,,,,,
36:22.9,50,23,-75,,,,,,
36:22.9,50,45,-73,,,,,,
36:22.9,50,48,-64,,,,,,
36:22.9,50,26,-66,,,,,,
36:23.0,50,55,-67,,,,,,
36:23.0,50,39,-78,,,,,,
36:23.0,50,38,-68,,,,,,
36:23.0,50,57,-69,,,,,,
36:23.0,50,59,-68,,,,,,
36:23.0,50,36,-79,,,,,,
36:23.0,50,64,-55,,,,,,
36:23.0,50,63,-52,,,,,,
36:23.0,50,41,-68,,,,,,
36:23.0,50,22,-85,,,,,,
36:23.0,50,21,-68,,,,,,
36:23.0,50,62,-54,,,,,,
36:23.0,50,61,-57,,,,,,
36:23.0,50,27,-62,,,,,,
36:23.0,50,24,-72,,,,,,
36:23.1,50,30,-60,,,,,,
36:23.1,50,33,-68,,,,,,
36:23.1,50,54,-60,,,,,,
36:23.1,50,32,-68,,,,,,
36:23.1,50,57,-65,,,,,,
36:23.1,50,63,-51,,,,,,
36:23.1,50,60,-77,,,,,,
36:23.1,50,29,-60,,,,,,
36:23.1,50,24,-74,,,,,,
36:23.1,50,46,-68,,,,,,
36:23.1,50,23,-72,,,,,,
36:23.1,50,47,-67,,,,,,
36:23.1,50,25,-65,,,,,,
36:23.2,50,31,-58,,,,,,
36:23.2,50,38,-68,,,,,,
36:23.2,50,35,-68,,,,,,
36:23.2,50,56,-61,,,,,,
36:23.2,50,59,-67,,,,,,
36:23.2,50,41,-67,,,,,,
36:23.2,50,60,-69,,,,,,
36:23.2,50,62,-51,,,,,,
36:23.2,50,28,-79,,,,,,
36:23.2,50,45,-76,,,,,,
36:23.2,50,25,-64,,,,,,
36:23.3,50,31,-58,,,,,,
36:23.3,50,53,-64,,,,,,
36:23.3,50,30,-62,,,,,,
36:23.3,50,39,-76,,,,,,
36:23.3,50,37,-68,,,,,,
36:23.3,50,59,-69,,,,,,
36:23.3,50,58,-66,,,,,,
36:23.3,50,63,-52,,,,,,
36:23.3,50,43,-68,,,,,,
36:23.3,50,40,-71,,,,,,
36:23.3,50,62,-51,,,,,,
36:23.3,50,27,-67,,,,,,
36:23.3,50,29,-63,,,,,,
36:23.3,50,45,-78,,,,,,
36:23.3,50,26,-67,,,,,,
36:23.3,50,25,-63,,,,,,
36:23.4,50,54,-61,,,,,,
36:23.4,50,38,-67,,,,,,
36:23.4,50,57,-63,,,,,,
36:23.4,50,35,-68,,,,,,
36:23.4,50,34,-67,,,,,,
36:23.4,50,37,-70,,,,,,
36:23.4,50,59,-71,,,,,,
36:23.4,50,58,-66,,,,,,
36:23.4,50,42,-69,,,,,,
36:23.4,50,64,-55,,,,,,
36:23.4,50,63,-53,,,,,,
36:23.4,50,41,-67,,,,,,
36:23.4,50,61,-58,,,,,,
36:23.4,50,26,-68,,,,,,
36:23.5,50,31,-61,,,,,,
36:23.5,50,30,-64,,,,,,
36:23.5,50,55,-67,,,,,,
36:23.5,50,33,-65,,,,,,
36:23.5,50,54,-59,,,,,,
36:23.5,50,38,-66,,,,,,
36:23.5,50,42,-71,,,,,,
36:23.5,50,22,-68,,,,,,
36:23.5,50,62,-50,,,,,,
36:23.5,50,28,-71,,,,,,
36:23.5,50,29,-68,,,,,,
36:23.5,50,24,-78,,,,,,
36:23.5,50,48,-71,,,,,,
36:23.6,50,31,-61,,,,,,
