TIME,Base,Minor,Rssi,,,,,Base,46
37:18.3,46,33,-77,,,59,60,39,40
37:18.3,46,54,-68,,,-69.08,-70.68,-70.46,-68.9
37:18.3,46,32,-70,,,58,57,38,37
37:18.3,46,38,-77,,,-68.46,-69.11,-70.27,-69.3
37:18.3,46,35,-68,,,55,56,35,36
37:18.3,46,34,-71,,,-67.39,-72.54,-71.21,-73.04
37:18.3,46,59,-64,,,54,53,34,33
37:18.3,46,41,-70,,,-68.63,-74.41,-74.51,-68.73
37:18.3,46,40,-69,,,51,52,31,32
37:18.3,46,61,-74,,,-66.38,-66.55,-70.77,-69.92
37:18.3,46,23,-67,,,50,49,30,29
37:18.3,46,48,-53,,,-64.26,-65.19,-67.27,-70.89
37:18.3,46,26,-63,,,47,48,27,28
37:18.4,46,31,-70,,,-53.3,-55.17,-68.95,-62.56
37:18.4,46,53,-80,,,46,45,26,25
37:18.4,46,32,-74,,,-52.8,-52.77,-65.83,-62.59
37:18.4,46,38,-74,,,43,44,23,24
37:18.4,46,56,-68,,,-67.03,-68,-70.67,-76.31
37:18.4,46,34,-73,,,42,41,22,21
37:18.4,46,44,-67,,,-67.74,-67.61,-68.15,-66.66
37:18.4,46,21,-67,,,,,,
37:18.4,46,62,-65,,,,,,
37:18.4,46,61,-71,,,,,,
37:18.4,46,28,-63,,,,,,
37:18.4,46,29,-67,,,,,,
37:18.4,46,45,-58,,,,,,
37:18.4,46,26,-64,,,,,,
37:18.4,46,47,-51,,,,,,
37:18.4,46,25,-69,,,,,,
37:18.5,46,55,-69,,,,,,
37:18.5,46,32,-72,,,,,,
37:18.5,46,39,-68,,,,,,
37:18.5,46,34,-80,,,,,,
37:18.5,46,41,-66,,,,,,
37:18.5,46,60,-69,,,,,,
37:18.5,46,27,-65,,,,,,
37:18.5,46,24,-78,,,,,,
37:18.5,46,46,-60,,,,,,
37:18.5,46,48,-59,,,,,,
37:18.6,46,53,-70,,,,,,
37:18.6,46,55,-65,,,,,,
37:18.6,46,54,-68,,,,,,
37:18.6,46,32,-67,,,,,,
37:18.6,46,35,-67,,,,,,
37:18.6,46,56,-65,,,,,,
37:18.6,46,42,-68,,,,,,
37:18.6,46,41,-64,,,,,,
37:18.6,46,22,-69,,,,,,
37:18.6,46,60,-69,,,,,,
37:18.6,46,24,-79,,,,,,
37:18.6,46,46,-56,,,,,,
37:18.6,46,23,-67,,,,,,
37:18.6,46,48,-64,,,,,,
37:18.6,46,26,-60,,,,,,
37:18.6,46,25,-66,,,,,,
37:18.7,46,39,-67,,,,,,
37:18.7,46,38,-82,,,,,,
37:18.7,46,56,-67,,,,,,
37:18.7,46,34,-80,,,,,,
37:18.7,46,58,-65,,,,,,
37:18.7,46,42,-66,,,,,,
37:18.7,46,41,-62,,,,,,
37:18.7,46,22,-69,,,,,,
37:18.7,46,21,-64,,,,,,
37:18.7,46,43,-73,,,,,,
37:18.7,46,60,-67,,,,,,
37:18.7,46,40,-79,,,,,,
37:18.7,46,24,-82,,,,,,
37:18.7,46,23,-67,,,,,,
37:18.7,46,45,-51,,,,,,
37:18.8,46,54,-66,,,,,,
37:18.8,46,32,-68,,,,,,
37:18.8,46,39,-69,,,,,,
37:18.8,46,57,-75,,,,,,
37:18.8,46,56,-66,,,,,,
37:18.8,46,34,-72,,,,,,
37:18.8,46,58,-67,,,,,,
37:18.8,46,63,-69,,,,,,
37:18.8,46,41,-60,,,,,,
37:18.8,46,22,-69,,,,,,
37:18.8,46,43,-71,,,,,,
37:18.8,46,40,-74,,,,,,
37:18.8,46,61,-69,,,,,,
37:18.8,46,48,-62,,,,,,
37:18.8,46,26,-61,,,,,,
37:18.8,46,25,-62,,,,,,
37:18.9,46,55,-66,,,,,,
37:18.9,46,54,-68,,,,,,
37:18.9,46,39,-67,,,,,,
37:18.9,46,34,-73,,,,,,
37:18.9,46,42,-64,,,,,,
37:18.9,46,64,-66,,,,,,
37:18.9,46,41,-62,,,,,,
37:18.9,46,60,-67,,,,,,
37:18.9,46,29,-65,,,,,,
37:18.9,46,48,-62,,,,,,
37:19.0,46,33,-71,,,,,,
37:19.0,46,32,-64,,,,,,
37:19.0,46,58,-66,,,,,,
37:19.0,46,41,-66,,,,,,
37:19.0,46,44,-67,,,,,,
37:19.0,46,21,-67,,,,,,
37:19.0,46,43,-67,,,,,,
37:19.0,46,61,-67,,,,,,
37:19.0,46,29,-64,,,,,,
37:19.0,46,24,-74,,,,,,
37:19.0,46,45,-51,,,,,,
37:19.0,46,26,-68,,,,,,
37:19.0,46,25,-60,,,,,,
37:19.1,46,39,-67,,,,,,
37:19.1,46,58,-69,,,,,,
37:19.1,46,42,-66,,,,,,
37:19.1,46,41,-68,,,,,,
37:19.1,46,22,-75,,,,,,
37:19.1,46,21,-69,,,,,,
37:19.1,46,43,-65,,,,,,
37:19.1,46,27,-70,,,,,,
37:19.1,46,29,-66,,,,,,
37:19.1,46,46,-51,,,,,,
37:19.1,46,23,-64,,,,,,
37:19.1,46,48,-56,,,,,,
37:19.1,46,47,-51,,,,,,
37:19.1,46,25,-58,,,,,,
37:19.2,46,30,-70,,,,,,
37:19.2,46,35,-67,,,,,,
37:19.2,46,59,-69,,,,,,
37:19.2,46,58,-68,,,,,,
37:19.2,46,60,-71,,,,,,
37:19.2,46,61,-68,,,,,,
37:19.2,46,24,-74,,,,,,
37:19.2,46,45,-51,,,,,,
37:19.2,46,25,-59,,,,,,
37:19.3,46,54,-69,,,,,,
37:19.3,46,35,-68,,,,,,
37:19.3,46,59,-67,,,,,,
37:19.3,46,58,-66,,,,,,
37:19.3,46,63,-69,,,,,,
37:19.3,46,43,-65,,,,,,
37:19.3,46,62,-66,,,,,,
37:19.3,46,28,-62,,,,,,
37:19.3,46,46,-53,,,,,,
37:19.3,46,23,-67,,,,,,
37:19.3,46,45,-51,,,,,,
37:19.3,46,48,-54,,,,,,
37:19.3,46,47,-51,,,,,,
37:19.3,46,25,-61,,,,,,
37:19.4,46,53,-70,,,,,,
37:19.4,46,30,-68,,,,,,
37:19.4,46,54,-67,,,,,,
37:19.4,46,32,-65,,,,,,
37:19.4,46,38,-73,,,,,,
37:19.4,46,64,-64,,,,,,
37:19.4,46,41,-68,,,,,,
37:19.4,46,43,-64,,,,,,
37:19.4,46,28,-61,,,,,,
37:19.4,46,46,-52,,,,,,
37:19.4,46,48,-54,,,,,,
37:19.4,46,47,-52,,,,,,
37:19.4,46,25,-62,,,,,,
37:19.5,46,31,-80,,,,,,
37:19.5,46,53,-70,,,,,,
37:19.5,46,54,-67,,,,,,
37:19.5,46,32,-65,,,,,,
37:19.5,46,35,-67,,,,,,
37:19.5,46,56,-69,,,,,,
37:19.5,46,37,-67,,,,,,
37:19.5,46,22,-67,,,,,,
37:19.5,46,40,-69,,,,,,
37:19.5,46,28,-60,,,,,,
37:19.5,46,24,-75,,,,,,
37:19.5,46,25,-63,,,,,,
37:19.6,46,30,-67,,,,,,
37:19.6,46,32,-64,,,,,,
37:19.6,46,64,-64,,,,,,
37:19.6,46,41,-68,,,,,,
37:19.6,46,44,-68,,,,,,
37:19.6,46,43,-66,,,,,,
37:19.6,46,40,-68,,,,,,
37:19.6,46,28,-60,,,,,,
37:19.6,46,46,-52,,,,,,
37:19.6,46,23,-71,,,,,,
37:19.6,46,48,-53,,,,,,
37:19.7,46,54,-68,,,,,,
37:19.7,46,38,-78,,,,,,
37:19.7,46,56,-67,,,,,,
37:19.7,46,59,-68,,,,,,
37:19.7,46,36,-80,,,,,,
37:19.7,46,64,-65,,,,,,
37:19.7,46,22,-67,,,,,,
37:19.7,46,44,-68,,,,,,
37:19.7,46,21,-69,,,,,,
37:19.7,46,43,-65,,,,,,
37:19.7,46,28,-60,,,,,,
37:19.7,46,23,-69,,,,,,
37:19.7,46,45,-52,,,,,,
37:19.7,46,48,-53,,,,,,
37:19.8,46,31,-81,,,,,,
37:19.8,46,53,-70,,,,,,
37:19.8,46,30,-68,,,,,,
37:19.8,46,54,-69,,,,,,
37:19.8,46,32,-64,,,,,,
37:19.8,46,38,-75,,,,,,
37:19.8,46,35,-67,,,,,,
37:19.8,46,56,-69,,,,,,
37:19.8,46,34,-70,,,,,,
37:19.8,46,37,-66,,,,,,
37:19.8,46,58,-69,,,,,,
37:19.8,46,22,-68,,,,,,
37:19.8,46,21,-69,,,,,,
37:19.8,46,40,-69,,,,,,
37:19.8,46,28,-60,,,,,,
37:19.8,46,24,-82,,,,,,
37:19.8,46,46,-51,,,,,,
37:19.8,46,45,-52,,,,,,
37:19.8,46,48,-53,,,,,,
37:19.8,46,26,-70,,,,,,
37:19.8,46,25,-63,,,,,,
37:19.9,46,53,-70,,,,,,
37:19.9,46,30,-68,,,,,,
37:19.9,46,56,-68,,,,,,
37:19.9,46,34,-70,,,,,,
37:19.9,46,58,-70,,,,,,
37:19.9,46,44,-72,,,,,,
37:19.9,46,43,-64,,,,,,
37:19.9,46,60,-77,,,,,,
37:19.9,46,40,-70,,,,,,
37:19.9,46,28,-60,,,,,,
37:19.9,46,27,-75,,,,,,
37:19.9,46,46,-51,,,,,,
37:19.9,46,45,-51,,,,,,
37:19.9,46,48,-53,,,,,,
37:19.9,46,26,-69,,,,,,
37:19.9,46,25,-64,,,,,,
37:20.0,46,53,-71,,,,,,
37:20.0,46,57,-69,,,,,,
37:20.0,46,56,-69,,,,,,
37:20.0,46,36,-80,,,,,,
37:20.0,46,64,-63,,,,,,
37:20.0,46,63,-67,,,,,,
37:20.0,46,41,-69,,,,,,
37:20.0,46,44,-68,,,,,,
37:20.0,46,40,-67,,,,,,
37:20.0,46,62,-67,,,,,,
37:20.0,46,28,-60,,,,,,
37:20.0,46,29,-66,,,,,,
37:20.0,46,48,-53,,,,,,
37:20.0,46,25,-64,,,,,,
37:20.1,46,31,-79,,,,,,
37:20.1,46,55,-73,,,,,,
37:20.1,46,37,-66,,,,,,
37:20.1,46,59,-69,,,,,,
37:20.1,46,42,-67,,,,,,
37:20.1,46,43,-65,,,,,,
37:20.1,46,40,-66,,,,,,
37:20.1,46,62,-66,,,,,,
37:20.1,46,28,-59,,,,,,
37:20.1,46,45,-52,,,,,,
37:20.1,46,26,-68,,,,,,
37:20.1,46,25,-64,,,,,,
37:20.3,46,53,-71,,,,,,
37:20.3,46,55,-73,,,,,,
37:20.3,46,57,-69,,,,,,
37:20.3,46,37,-66,,,,,,
37:20.3,46,42,-67,,,,,,
37:20.3,46,40,-65,,,,,,
37:20.3,46,62,-66,,,,,,
37:20.3,46,28,-61,,,,,,
37:20.3,46,48,-53,,,,,,
37:20.3,46,26,-67,,,,,,
37:20.3,46,25,-65,,,,,,
37:20.4,46,53,-70,,,,,,
37:20.4,46,37,-66,,,,,,
37:20.4,46,36,-78,,,,,,
37:20.4,46,58,-72,,,,,,
37:20.4,46,41,-67,,,,,,
37:20.4,46,44,-69,,,,,,
37:20.4,46,21,-68,,,,,,
37:20.4,46,60,-74,,,,,,
37:20.4,46,40,-69,,,,,,
37:20.4,46,62,-67,,,,,,
37:20.4,46,28,-60,,,,,,
37:20.4,46,29,-67,,,,,,
37:20.4,46,46,-52,,,,,,
37:20.4,46,45,-51,,,,,,
37:20.4,46,48,-53,,,,,,
37:20.4,46,26,-68,,,,,,
37:20.5,46,59,-68,,,,,,
37:20.5,46,41,-66,,,,,,
37:20.5,46,22,-67,,,,,,
37:20.5,46,21,-69,,,,,,
37:20.5,46,43,-64,,,,,,
37:20.5,46,29,-67,,,,,,
37:20.5,46,24,-76,,,,,,
37:20.5,46,46,-52,,,,,,
37:20.5,46,45,-51,,,,,,
37:20.5,46,48,-54,,,,,,
37:20.5,46,25,-64,,,,,,
37:20.6,46,53,-70,,,,,,
37:20.6,46,30,-67,,,,,,
37:20.6,46,55,-71,,,,,,
37:20.6,46,59,-68,,,,,,
37:20.6,46,42,-70,,,,,,
