TIME,Base,Minor,Rssi,,,,,Base,23
28:46.1,23,30,-71,,,59,60,39,40
28:46.1,23,39,-67,,,-71.76,-67.66,-72.13,-69.51
28:46.1,23,38,-69,,,58,57,38,37
28:46.1,23,57,-63,,,-69.8,-68.13,-69.55,-71.25
28:46.1,23,35,-65,,,55,56,35,36
28:46.1,23,64,-71,,,-72.1,-64.15,-69.54,-78.57
28:46.1,23,63,-63,,,54,53,34,33
28:46.1,23,44,-57,,,-67.97,-74.69,-72.86,-72.38
28:46.1,23,40,-73,,,51,52,31,32
28:46.1,23,24,-50,,,-66.5,-68.03,-69,-69.57
28:46.1,23,45,-53,,,50,49,30,29
28:46.1,23,48,-62,,,-72.33,-62.56,-72,-63.14
28:46.1,23,26,-53,,,47,48,27,28
28:46.1,23,25,-51,,,-62.6,-54.39,-59.36,-63.19
28:46.2,23,53,-67,,,46,45,26,25
28:46.2,23,30,-77,,,-58.19,-52.83,-55.57,-54.35
28:46.2,23,32,-60,,,43,44,23,24
28:46.2,23,54,-65,,,-59.74,-55.54,-57.84,-57.18
28:46.2,23,57,-69,,,42,41,22,21
28:46.2,23,21,-55,,,-60.04,-53.36,-66.75,-67.13
28:46.2,23,43,-58,,,,,,
28:46.2,23,45,-53,,,,,,
28:46.2,23,48,-58,,,,,,
28:46.3,23,31,-77,,,,,,
28:46.3,23,33,-69,,,,,,
28:46.3,23,32,-62,,,,,,
28:46.3,23,54,-69,,,,,,
28:46.3,23,39,-65,,,,,,
28:46.3,23,57,-75,,,,,,
28:46.3,23,56,-62,,,,,,
28:46.3,23,37,-70,,,,,,
28:46.3,23,64,-66,,,,,,
28:46.3,23,22,-65,,,,,,
28:46.3,23,44,-57,,,,,,
28:46.3,23,21,-59,,,,,,
28:46.3,23,43,-56,,,,,,
28:46.3,23,60,-68,,,,,,
28:46.3,23,61,-65,,,,,,
28:46.3,23,27,-61,,,,,,
28:46.3,23,46,-65,,,,,,
28:46.3,23,45,-52,,,,,,
28:46.4,23,31,-62,,,,,,
28:46.4,23,33,-68,,,,,,
28:46.4,23,59,-68,,,,,,
28:46.4,23,36,-80,,,,,,
28:46.4,23,58,-67,,,,,,
28:46.4,23,42,-60,,,,,,
28:46.4,23,64,-65,,,,,,
28:46.4,23,41,-54,,,,,,
28:46.4,23,63,-74,,,,,,
28:46.4,23,21,-61,,,,,,
28:46.4,23,43,-55,,,,,,
28:46.4,23,60,-64,,,,,,
28:46.4,23,40,-70,,,,,,
28:46.4,23,24,-57,,,,,,
28:46.4,23,48,-55,,,,,,
28:46.4,23,26,-51,,,,,,
28:46.4,23,47,-65,,,,,,
28:46.4,23,25,-48,,,,,,
28:46.5,23,53,-73,,,,,,
28:46.5,23,31,-63,,,,,,
28:46.5,23,30,-67,,,,,,
28:46.5,23,33,-70,,,,,,
28:46.5,23,54,-64,,,,,,
28:46.5,23,56,-66,,,,,,
28:46.5,23,59,-79,,,,,,
28:46.5,23,63,-66,,,,,,
28:46.5,23,44,-57,,,,,,
28:46.5,23,43,-53,,,,,,
28:46.5,23,27,-63,,,,,,
28:46.5,23,29,-55,,,,,,
28:46.5,23,23,-53,,,,,,
28:46.5,23,48,-53,,,,,,
28:46.5,23,26,-51,,,,,,
28:46.5,23,25,-50,,,,,,
28:46.6,23,53,-72,,,,,,
28:46.6,23,33,-73,,,,,,
28:46.6,23,54,-66,,,,,,
28:46.6,23,34,-77,,,,,,
28:46.6,23,56,-64,,,,,,
