TIME,Base,Minor,Rssi,,,,,Base,54
35:21.5,54,53,-59,,,59,60,39,40
35:21.5,54,31,-67,,,-62.75,-71.31,-71.74,-68.47
35:21.5,54,30,-68,,,58,57,38,37
35:21.5,54,55,-50,,,-61.87,-60.11,-71.36,-65.88
35:21.5,54,54,-49,,,55,56,35,36
35:21.5,54,39,-71,,,-49.18,-55.41,-60.25,-61.77
35:21.5,54,34,-71,,,54,53,34,33
35:21.5,54,59,-72,,,-47.6,-58.48,-65.75,-60.44
35:21.5,54,41,-75,,,51,52,31,32
35:21.5,54,63,-66,,,-69.05,-69.96,-66.78,-65.06
35:21.5,54,40,-67,,,50,49,30,29
35:21.5,54,27,-66,,,-70.38,-73.9,-71.69,-72.8
35:21.5,54,46,-71,,,47,48,27,28
35:21.5,54,23,-80,,,-68.05,-67.38,-69.25,-68.77
35:21.5,54,25,-69,,,46,45,26,25
35:21.5,54,47,-68,,,-71.45,-69.64,-71.68,-73.26
35:21.6,54,53,-58,,,43,44,23,24
35:21.6,54,31,-66,,,-75.33,-73.24,-72.89,-75.79
35:21.6,54,55,-50,,,42,41,22,21
35:21.6,54,38,-77,,,-72.06,-74.04,-72.76,-67.89
35:21.6,54,35,-60,,,,,,
35:21.6,54,34,-68,,,,,,
35:21.6,54,56,-57,,,,,,
35:21.6,54,63,-67,,,,,,
35:21.6,54,21,-68,,,,,,
35:21.6,54,60,-62,,,,,,
35:21.6,54,45,-74,,,,,,
35:21.7,54,53,-57,,,,,,
35:21.7,54,55,-48,,,,,,
35:21.7,54,54,-49,,,,,,
35:21.7,54,57,-62,,,,,,
35:21.7,54,34,-71,,,,,,
35:21.7,54,59,-62,,,,,,
35:21.7,54,37,-72,,,,,,
35:21.7,54,29,-66,,,,,,
35:21.7,54,48,-70,,,,,,
35:21.7,54,26,-75,,,,,,
35:21.7,54,25,-78,,,,,,
35:21.8,54,53,-58,,,,,,
35:21.8,54,33,-62,,,,,,
35:21.8,54,57,-60,,,,,,
35:21.8,54,56,-58,,,,,,
35:21.8,54,59,-60,,,,,,
35:21.8,54,37,-66,,,,,,
35:21.8,54,62,-69,,,,,,
35:21.8,54,29,-66,,,,,,
35:21.8,54,24,-75,,,,,,
35:21.8,54,46,-69,,,,,,
35:21.9,54,53,-58,,,,,,
35:21.9,54,31,-71,,,,,,
35:21.9,54,55,-48,,,,,,
35:21.9,54,57,-59,,,,,,
35:21.9,54,37,-65,,,,,,
35:21.9,54,29,-68,,,,,,
35:21.9,54,46,-72,,,,,,
35:22.0,54,53,-58,,,,,,
35:22.0,54,55,-49,,,,,,
35:22.0,54,57,-58,,,,,,
35:22.0,54,34,-66,,,,,,
35:22.0,54,59,-58,,,,,,
35:22.0,54,37,-64,,,,,,
35:22.0,54,58,-60,,,,,,
35:22.0,54,42,-70,,,,,,
35:22.0,54,48,-68,,,,,,
35:22.0,54,26,-69,,,,,,
35:22.1,54,53,-58,,,,,,
35:22.1,54,31,-78,,,,,,
35:22.1,54,55,-48,,,,,,
35:22.1,54,33,-60,,,,,,
35:22.1,54,32,-67,,,,,,
35:22.1,54,57,-59,,,,,,
35:22.1,54,34,-66,,,,,,
35:22.1,54,56,-58,,,,,,
35:22.1,54,59,-58,,,,,,
35:22.1,54,42,-73,,,,,,
35:22.1,54,27,-68,,,,,,
35:22.1,54,24,-78,,,,,,
35:22.1,54,48,-67,,,,,,
35:22.1,54,47,-69,,,,,,
35:22.2,54,53,-58,,,,,,
35:22.2,54,31,-79,,,,,,
35:22.2,54,32,-68,,,,,,
35:22.2,54,57,-58,,,,,,
35:22.2,54,56,-58,,,,,,
35:22.2,54,37,-63,,,,,,
35:22.2,54,36,-59,,,,,,
35:22.2,54,60,-59,,,,,,
35:22.2,54,27,-68,,,,,,
35:22.2,54,47,-69,,,,,,
35:22.3,54,53,-57,,,,,,
35:22.3,54,31,-76,,,,,,
35:22.3,54,55,-49,,,,,,
35:22.3,54,33,-58,,,,,,
35:22.3,54,32,-67,,,,,,
35:22.3,54,57,-58,,,,,,
35:22.3,54,34,-66,,,,,,
35:22.3,54,56,-58,,,,,,
35:22.3,54,37,-63,,,,,,
35:22.3,54,64,-71,,,,,,
35:22.3,54,41,-67,,,,,,
35:22.3,54,63,-68,,,,,,
35:22.3,54,44,-82,,,,,,
35:22.3,54,62,-76,,,,,,
35:22.3,54,40,-72,,,,,,
35:22.3,54,61,-77,,,,,,
35:22.3,54,28,-72,,,,,,
35:22.3,54,27,-68,,,,,,
35:22.4,54,30,-82,,,,,,
35:22.4,54,55,-49,,,,,,
35:22.4,54,33,-58,,,,,,
35:22.4,54,54,-49,,,,,,
35:22.4,54,32,-67,,,,,,
35:22.4,54,39,-75,,,,,,
35:22.4,54,35,-63,,,,,,
35:22.4,54,57,-58,,,,,,
35:22.4,54,34,-66,,,,,,
35:22.4,54,42,-70,,,,,,
35:22.4,54,41,-67,,,,,,
35:22.4,54,44,-82,,,,,,
35:22.4,54,22,-79,,,,,,
35:22.4,54,62,-76,,,,,,
35:22.4,54,40,-72,,,,,,
35:22.4,54,61,-78,,,,,,
35:22.4,54,27,-67,,,,,,
35:22.4,54,46,-69,,,,,,
35:22.4,54,23,-72,,,,,,
35:22.5,54,53,-58,,,,,,
35:22.5,54,33,-59,,,,,,
35:22.5,54,32,-67,,,,,,
35:22.5,54,57,-59,,,,,,
35:22.5,54,56,-58,,,,,,
35:22.5,54,59,-58,,,,,,
35:22.5,54,58,-60,,,,,,
35:22.5,54,43,-86,,,,,,
35:22.5,54,21,-72,,,,,,
35:22.5,54,61,-76,,,,,,
35:22.5,54,46,-69,,,,,,
35:22.5,54,47,-70,,,,,,
35:22.6,54,53,-58,,,,,,
35:22.6,54,31,-76,,,,,,
35:22.6,54,30,-90,,,,,,
35:22.6,54,55,-49,,,,,,
35:22.6,54,33,-59,,,,,,
35:22.6,54,32,-67,,,,,,
35:22.6,54,39,-80,,,,,,
35:22.6,54,56,-57,,,,,,
35:22.6,54,59,-58,,,,,,
35:22.6,54,37,-64,,,,,,
35:22.6,54,41,-67,,,,,,
35:22.6,54,63,-70,,,,,,
35:22.6,54,44,-81,,,,,,
35:22.6,54,60,-59,,,,,,
35:22.6,54,24,-82,,,,,,
35:22.6,54,25,-76,,,,,,
35:22.6,54,47,-70,,,,,,
35:22.7,54,53,-58,,,,,,
35:22.7,54,55,-49,,,,,,
35:22.7,54,33,-59,,,,,,
35:22.7,54,35,-64,,,,,,
35:22.7,54,34,-68,,,,,,
35:22.7,54,56,-57,,,,,,
35:22.7,54,36,-58,,,,,,
35:22.7,54,64,-75,,,,,,
35:22.7,54,41,-67,,,,,,
35:22.7,54,43,-80,,,,,,
35:22.7,54,28,-72,,,,,,
35:22.7,54,24,-81,,,,,,
35:22.8,54,53,-58,,,,,,
35:22.8,54,31,-72,,,,,,
35:22.8,54,55,-49,,,,,,
35:22.8,54,33,-59,,,,,,
35:22.8,54,57,-59,,,,,,
35:22.8,54,34,-69,,,,,,
35:22.8,54,56,-57,,,,,,
35:22.8,54,59,-59,,,,,,
35:22.8,54,37,-65,,,,,,
35:22.8,54,41,-67,,,,,,
35:22.8,54,22,-77,,,,,,
35:22.8,54,62,-71,,,,,,
35:22.8,54,61,-81,,,,,,
35:22.8,54,46,-69,,,,,,
35:22.8,54,45,-70,,,,,,
35:22.8,54,48,-70,,,,,,
35:22.8,54,25,-76,,,,,,
35:22.8,54,47,-73,,,,,,
35:22.9,54,39,-76,,,,,,
35:22.9,54,56,-57,,,,,,
35:22.9,54,59,-58,,,,,,
35:22.9,54,58,-59,,,,,,
35:22.9,54,22,-78,,,,,,
35:22.9,54,21,-71,,,,,,
35:22.9,54,28,-71,,,,,,
35:22.9,54,27,-67,,,,,,
35:22.9,54,47,-71,,,,,,
35:23.0,54,53,-58,,,,,,
35:23.0,54,30,-78,,,,,,
35:23.0,54,55,-49,,,,,,
35:23.0,54,54,-48,,,,,,
35:23.0,54,32,-68,,,,,,
35:23.0,54,35,-64,,,,,,
35:23.0,54,57,-60,,,,,,
35:23.0,54,56,-57,,,,,,
35:23.0,54,59,-58,,,,,,
35:23.0,54,37,-67,,,,,,
35:23.0,54,58,-59,,,,,,
35:23.0,54,36,-59,,,,,,
35:23.0,54,41,-68,,,,,,
