TIME,Base,Minor,Rssi,,,,,Base,25
29:47.0,25,23,-57,,,,,,
29:47.0,25,48,-61,,,,,,
29:47.0,25,26,-63,,,,,,
29:47.0,25,25,-51,,,,,,
29:47.1,25,53,-68,,,,,,
29:47.1,25,31,-63,,,,,,
29:47.1,25,32,-60,,,,,,
29:47.1,25,38,-76,,,,,,
29:47.1,25,59,-69,,,,,,
29:47.1,25,58,-67,,,,,,
29:47.1,25,42,-64,,,,,,
29:47.1,25,64,-69,,,,,,
29:47.1,25,41,-60,,,,,,
29:47.1,25,63,-68,,,,,,
29:47.1,25,44,-65,,,,,,
29:47.1,25,21,-54,,,,,,
29:47.1,25,43,-60,,,,,,
29:47.1,25,40,-73,,,,,,
29:47.1,25,61,-65,,,,,,
29:47.1,25,29,-58,,,,,,
29:47.1,25,24,-51,,,,,,
29:47.1,25,23,-56,,,,,,
29:47.1,25,48,-58,,,,,,
29:47.1,25,25,-51,,,,,,
29:47.2,25,55,-75,,,,,,
29:47.2,25,54,-69,,,,,,
29:47.2,25,38,-73,,,,,,
29:47.2,25,56,-71,,,,,,
29:47.2,25,42,-65,,,,,,
29:47.2,25,63,-66,,,,,,
29:47.2,25,61,-67,,,,,,
29:47.2,25,24,-51,,,,,,
29:47.2,25,46,-67,,,,,,
29:47.2,25,23,-55,,,,,,
29:47.2,25,45,-59,,,,,,
29:47.2,25,25,-52,,,,,,
29:47.4,25,54,-68,,,,,,
29:47.4,25,39,-75,,,,,,
29:47.4,25,57,-80,,,,,,
29:47.4,25,36,-67,,,,,,
29:47.4,25,42,-67,,,,,,
29:47.4,25,41,-61,,,,,,
29:47.4,25,63,-66,,,,,,
29:47.4,25,61,-66,,,,,,
29:47.4,25,28,-57,,,,,,
29:47.4,25,46,-69,,,,,,
29:47.4,25,23,-57,,,,,,
29:47.4,25,45,-58,,,,,,
29:47.5,25,53,-68,,,,,,
29:47.5,25,55,-75,,,,,,
29:47.5,25,32,-61,,,,,,
29:47.5,25,39,-77,,,,,,
29:47.5,25,59,-71,,,,,,
29:47.5,25,64,-68,,,,,,
29:47.5,25,41,-62,,,,,,
29:47.5,25,62,-71,,,,,,
29:47.5,25,40,-68,,,,,,
29:47.5,25,61,-68,,,,,,
29:47.5,25,28,-58,,,,,,
29:47.5,25,29,-58,,,,,,
29:47.5,25,24,-52,,,,,,
29:47.5,25,46,-79,,,,,,
29:47.5,25,23,-60,,,,,,
29:47.5,25,45,-55,,,,,,
29:47.5,25,26,-62,,,,,,
29:47.5,25,47,-63,,,,,,
29:47.6,25,53,-68,,,,,,
29:47.6,25,55,-80,,,,,,
29:47.6,25,39,-81,,,,,,
29:47.6,25,38,-77,,,,,,
29:47.6,25,34,-75,,,,,,
29:47.6,25,56,-73,,,,,,
29:47.6,25,37,-72,,,,,,
29:47.6,25,41,-62,,,,,,
29:47.6,25,63,-69,,,,,,
29:47.6,25,44,-68,,,,,,
29:47.6,25,28,-61,,,,,,
29:47.6,25,27,-55,,,,,,
29:47.6,25,24,-60,,,,,,
29:47.6,25,26,-64,,,,,,
29:47.7,25,53,-69,,,,,,
29:47.7,25,38,-79,,,,,,
29:47.7,25,36,-67,,,,,,
29:47.7,25,44,-69,,,,,,
29:47.7,25,21,-63,,,,,,
