TIME,Base,Minor,Rssi,,,,,Base,31
31:11.5,31,31,-64,,,59,60,39,40
31:11.5,31,55,-69,,,-73.15,-71.38,-71.6,-76.34
31:11.5,31,54,-64,,,58,57,38,37
31:11.5,31,38,-72,,,-62.89,-62.56,-71.89,-70.08
31:11.5,31,35,-67,,,55,56,35,36
31:11.5,31,34,-64,,,-61.25,-58.94,-63.22,-71.67
31:11.5,31,56,-65,,,54,53,34,33
31:11.5,31,58,-66,,,-58.96,-64.65,-63.36,-67.28
31:11.5,31,36,-75,,,51,52,31,32
31:11.5,31,64,-53,,,-62.16,-54.3,-52.73,-56.76
31:11.5,31,41,-63,,,50,49,30,29
31:11.5,31,22,-68,,,-69.76,-57.42,-54.58,-49
31:11.5,31,60,-71,,,47,48,27,28
31:11.5,31,61,-56,,,-62.26,-61.03,-61.06,-57.26
31:11.5,31,28,-58,,,46,45,26,25
31:11.5,31,27,-54,,,-65.05,-64.47,-67.41,-66.69
31:11.5,31,29,-64,,,43,44,23,24
31:11.5,31,24,-69,,,-70.55,-66.61,-69.06,-64.88
31:11.5,31,46,-62,,,42,41,22,21
31:11.5,31,23,-63,,,-68.31,-64.56,-68.95,-66.88
31:11.5,31,26,-60,,,,,,
31:11.5,31,25,-63,,,,,,
31:11.6,31,30,-58,,,,,,
31:11.6,31,57,-64,,,,,,
31:11.6,31,34,-63,,,,,,
31:11.6,31,56,-58,,,,,,
31:11.6,31,36,-70,,,,,,
31:11.6,31,64,-54,,,,,,
31:11.6,31,41,-68,,,,,,
31:11.6,31,22,-72,,,,,,
31:11.6,31,27,-70,,,,,,
31:11.6,31,24,-64,,,,,,
31:11.6,31,46,-65,,,,,,
31:11.6,31,48,-59,,,,,,
31:11.6,31,26,-64,,,,,,
31:11.7,31,53,-58,,,,,,
31:11.7,31,31,-56,,,,,,
31:11.7,31,30,-55,,,,,,
31:11.7,31,38,-69,,,,,,
31:11.7,31,57,-67,,,,,,
31:11.7,31,34,-62,,,,,,
31:11.7,31,56,-58,,,,,,
31:11.7,31,64,-52,,,,,,
31:11.7,31,43,-65,,,,,,
31:11.7,31,21,-68,,,,,,
31:11.7,31,40,-81,,,,,,
31:11.7,31,27,-60,,,,,,
31:11.7,31,29,-58,,,,,,
31:11.7,31,25,-76,,,,,,
31:11.8,31,30,-55,,,,,,
31:11.8,31,33,-71,,,,,,
31:11.8,31,35,-59,,,,,,
31:11.8,31,59,-68,,,,,,
31:11.8,31,64,-52,,,,,,
31:11.8,31,63,-57,,,,,,
31:11.8,31,22,-68,,,,,,
31:11.8,31,21,-66,,,,,,
31:11.9,31,53,-58,,,,,,
31:11.9,31,54,-60,,,,,,
31:11.9,31,64,-53,,,,,,
31:11.9,31,21,-64,,,,,,
31:11.9,31,60,-67,,,,,,
31:11.9,31,40,-72,,,,,,
31:11.9,31,27,-55,,,,,,
31:11.9,31,23,-72,,,,,,
31:11.9,31,45,-71,,,,,,
