TIME,Base,Minor,Rssi,,,,,Base,32
31:54.1,32,53,-68,,,59,60,39,40
31:54.1,32,54,-60,,,-66.33,-69.27,-71.64,-68.16
31:54.1,32,32,-52,,,58,57,38,37
31:54.1,32,57,-64,,,-70.37,-65.09,-61.88,-63.39
31:54.1,32,34,-62,,,55,56,35,36
31:54.1,32,56,-61,,,-63.02,-62.41,-61.49,-69.64
31:54.1,32,59,-64,,,54,53,34,33
31:54.1,32,58,-67,,,-66.88,-68.23,-63.27,-56.69
31:54.1,32,64,-69,,,51,52,31,32
31:54.1,32,41,-65,,,-63.83,-59.12,-54.53,-52.89
31:54.1,32,63,-60,,,50,49,30,29
31:54.1,32,22,-70,,,-72.69,-61.15,-57.9,-56.23
31:54.1,32,40,-69,,,47,48,27,28
31:54.1,32,29,-51,,,-67.52,-59.09,-58.78,-55.38
31:54.1,32,24,-66,,,46,45,26,25
31:54.1,32,46,-66,,,-70.27,-64.21,-64.43,-65.81
31:54.1,32,26,-68,,,43,44,23,24
31:54.1,32,25,-67,,,-69.39,-69.69,-67.69,-62.29
31:54.2,32,32,-53,,,42,41,22,21
31:54.2,32,39,-65,,,-65.46,-63.03,-69.63,-70.95
31:54.2,32,35,-63,,,,,,
31:54.2,32,56,-62,,,,,,
31:54.2,32,36,-64,,,,,,
31:54.2,32,42,-62,,,,,,
31:54.2,32,41,-64,,,,,,
31:54.2,32,40,-67,,,,,,
31:54.2,32,24,-66,,,,,,
31:54.2,32,46,-66,,,,,,
31:54.2,32,48,-62,,,,,,
31:54.2,32,47,-61,,,,,,
31:54.3,32,35,-63,,,,,,
31:54.3,32,59,-64,,,,,,
31:54.3,32,37,-69,,,,,,
31:54.3,32,44,-72,,,,,,
31:54.3,32,22,-69,,,,,,
31:54.3,32,60,-66,,,,,,
31:54.3,32,40,-68,,,,,,
31:54.3,32,27,-64,,,,,,
31:54.3,32,29,-52,,,,,,
31:54.3,32,46,-67,,,,,,
31:54.4,32,53,-68,,,,,,
31:54.4,32,31,-57,,,,,,
31:54.4,32,55,-64,,,,,,
31:54.4,32,35,-64,,,,,,
31:54.4,32,34,-62,,,,,,
31:54.4,32,59,-64,,,,,,
31:54.4,32,37,-66,,,,,,
31:54.4,32,43,-68,,,,,,
31:54.4,32,29,-53,,,,,,
31:54.4,32,24,-65,,,,,,
31:54.4,32,45,-61,,,,,,
31:54.4,32,25,-68,,,,,,
31:54.5,32,53,-67,,,,,,
31:54.5,32,31,-57,,,,,,
31:54.5,32,59,-64,,,,,,
31:54.5,32,41,-65,,,,,,
31:54.5,32,63,-66,,,,,,
31:54.5,32,22,-69,,,,,,
31:54.5,32,21,-68,,,,,,
31:54.5,32,27,-63,,,,,,
31:54.5,32,29,-54,,,,,,
31:54.5,32,23,-61,,,,,,
