TIME,Base,Minor,Rssi,,,,,Base,42
38:18.0,42,55,-70,,,59,60,39,40
38:18.0,42,38,-70,,,-71.86,-70.63,-69.59,-72.15
38:18.0,42,34,-71,,,58,57,38,37
38:18.0,42,58,-75,,,-67.44,-69.79,-71.09,-70.96
38:18.0,42,43,-56,,,55,56,35,36
38:18.0,42,62,-64,,,-69.47,-72.44,-67.76,-78.13
38:18.0,42,23,-69,,,54,53,34,33
38:18.0,42,45,-66,,,-74.67,-76.68,-71,-68.78
38:18.0,42,48,-65,,,51,52,31,32
38:18.0,42,26,-64,,,-74.41,-74.81,-70.9,-73.91
38:18.0,42,47,-62,,,50,49,30,29
38:18.0,42,25,-65,,,-68.91,-72.52,-69.64,-70.1
38:18.2,42,53,-78,,,47,48,27,28
38:18.2,42,30,-67,,,-66.36,-61.38,-66.84,-66.56
38:18.2,42,55,-73,,,46,45,26,25
38:18.2,42,33,-69,,,-59.86,-67.5,-63.83,-66.75
38:18.2,42,32,-68,,,43,44,23,24
38:18.2,42,57,-71,,,-54.39,-58.76,-60.15,-63.4
38:18.2,42,58,-67,,,42,41,22,21
38:18.2,42,63,-72,,,-47.59,-51.9,-63.88,-67.84
38:18.2,42,41,-52,,,,,,
38:18.2,42,44,-65,,,,,,
38:18.2,42,21,-67,,,,,,
38:18.2,42,62,-65,,,,,,
38:18.2,42,28,-73,,,,,,
38:18.2,42,46,-63,,,,,,
38:18.2,42,23,-65,,,,,,
38:18.3,42,31,-75,,,,,,
38:18.3,42,54,-69,,,,,,
38:18.3,42,38,-69,,,,,,
38:18.3,42,57,-73,,,,,,
38:18.3,42,56,-66,,,,,,
38:18.3,42,59,-77,,,,,,
38:18.3,42,36,-69,,,,,,
38:18.3,42,58,-67,,,,,,
38:18.3,42,41,-48,,,,,,
38:18.3,42,44,-62,,,,,,
38:18.3,42,21,-66,,,,,,
38:18.3,42,43,-55,,,,,,
38:18.3,42,60,-73,,,,,,
38:18.3,42,62,-66,,,,,,
38:18.3,42,23,-57,,,,,,
38:18.3,42,47,-77,,,,,,
38:18.4,42,31,-68,,,,,,
38:18.4,42,53,-77,,,,,,
38:18.4,42,33,-67,,,,,,
38:18.4,42,38,-67,,,,,,
38:18.4,42,57,-74,,,,,,
38:18.4,42,34,-71,,,,,,
38:18.4,42,36,-70,,,,,,
38:18.4,42,42,-48,,,,,,
38:18.4,42,64,-71,,,,,,
38:18.4,42,22,-62,,,,,,
38:18.4,42,21,-67,,,,,,
38:18.4,42,43,-55,,,,,,
38:18.4,42,62,-66,,,,,,
38:18.4,42,28,-70,,,,,,
38:18.4,42,46,-59,,,,,,
38:18.4,42,23,-60,,,,,,
38:18.4,42,45,-64,,,,,,
38:18.4,42,48,-67,,,,,,
38:18.4,42,47,-71,,,,,,
38:18.5,42,53,-79,,,,,,
38:18.5,42,54,-69,,,,,,
38:18.5,42,32,-68,,,,,,
38:18.5,42,38,-67,,,,,,
38:18.5,42,35,-71,,,,,,
38:18.5,42,56,-67,,,,,,
38:18.5,42,37,-79,,,,,,
38:18.5,42,36,-69,,,,,,
38:18.5,42,58,-68,,,,,,
38:18.5,42,42,-47,,,,,,
38:18.5,42,41,-50,,,,,,
38:18.5,42,22,-62,,,,,,
38:18.5,42,44,-62,,,,,,
38:18.5,42,43,-54,,,,,,
38:18.5,42,60,-79,,,,,,
38:18.5,42,61,-70,,,,,,
38:18.5,42,27,-80,,,,,,
38:18.5,42,46,-60,,,,,,
38:18.5,42,23,-58,,,,,,
38:18.5,42,48,-68,,,,,,
38:18.5,42,47,-73,,,,,,
38:18.6,42,30,-69,,,,,,
38:18.6,42,55,-72,,,,,,
38:18.6,42,32,-68,,,,,,
38:18.6,42,38,-68,,,,,,
38:18.6,42,57,-70,,,,,,
38:18.6,42,56,-68,,,,,,
38:18.6,42,37,-77,,,,,,
38:18.6,42,36,-69,,,,,,
38:18.6,42,42,-47,,,,,,
38:18.6,42,22,-61,,,,,,
38:18.6,42,60,-79,,,,,,
38:18.6,42,40,-77,,,,,,
38:18.6,42,28,-68,,,,,,
38:18.6,42,46,-60,,,,,,
38:18.6,42,23,-57,,,,,,
38:18.6,42,45,-64,,,,,,
38:18.6,42,47,-73,,,,,,
38:18.7,42,41,-50,,,,,,
38:18.7,42,44,-62,,,,,,
38:18.7,42,60,-76,,,,,,
38:18.7,42,40,-75,,,,,,
38:18.7,42,61,-69,,,,,,
38:18.7,42,28,-69,,,,,,
38:18.7,42,23,-58,,,,,,
38:18.7,42,45,-64,,,,,,
38:18.7,42,48,-65,,,,,,
38:18.7,42,26,-66,,,,,,
38:18.7,42,47,-72,,,,,,
38:18.8,42,33,-69,,,,,,
38:18.8,42,57,-70,,,,,,
38:18.8,42,34,-80,,,,,,
38:18.8,42,37,-79,,,,,,
38:18.8,42,59,-74,,,,,,
38:18.8,42,36,-70,,,,,,
38:18.8,42,44,-63,,,,,,
38:18.8,42,43,-55,,,,,,
38:18.8,42,40,-74,,,,,,
38:18.8,42,27,-72,,,,,,
38:18.8,42,24,-66,,,,,,
38:18.8,42,23,-58,,,,,,
38:18.8,42,48,-66,,,,,,
38:18.8,42,47,-74,,,,,,
38:18.9,42,31,-71,,,,,,
38:18.9,42,53,-82,,,,,,
38:18.9,42,39,-70,,,,,,
38:18.9,42,38,-67,,,,,,
38:18.9,42,57,-70,,,,,,
38:18.9,42,56,-67,,,,,,
38:18.9,42,41,-51,,,,,,
38:18.9,42,43,-54,,,,,,
38:18.9,42,28,-67,,,,,,
38:18.9,42,27,-72,,,,,,
38:18.9,42,48,-67,,,,,,
38:18.9,42,47,-71,,,,,,
38:18.9,42,25,-62,,,,,,
38:19.0,42,33,-70,,,,,,
38:19.0,42,56,-67,,,,,,
38:19.0,42,37,-78,,,,,,
38:19.0,42,59,-73,,,,,,
38:19.0,42,41,-51,,,,,,
38:19.0,42,40,-77,,,,,,
38:19.0,42,48,-65,,,,,,
38:19.0,42,26,-68,,,,,,
38:19.0,42,25,-63,,,,,,
38:19.1,42,30,-68,,,,,,
38:19.1,42,37,-80,,,,,,
38:19.1,42,36,-70,,,,,,
38:19.1,42,42,-48,,,,,,
38:19.1,42,44,-63,,,,,,
38:19.1,42,43,-55,,,,,,
38:19.1,42,28,-68,,,,,,
38:19.1,42,24,-66,,,,,,
38:19.1,42,23,-60,,,,,,
38:19.1,42,47,-68,,,,,,
38:19.1,42,25,-64,,,,,,
38:19.2,42,31,-72,,,,,,
38:19.2,42,33,-70,,,,,,
38:19.2,42,32,-68,,,,,,
38:19.2,42,59,-70,,,,,,
38:19.2,42,36,-70,,,,,,
38:19.2,42,42,-48,,,,,,
38:19.2,42,60,-77,,,,,,
38:19.2,42,28,-67,,,,,,
38:19.2,42,29,-67,,,,,,
38:19.2,42,23,-60,,,,,,
38:19.2,42,45,-64,,,,,,
38:19.2,42,47,-68,,,,,,
38:19.3,42,57,-69,,,,,,
38:19.3,42,35,-71,,,,,,
38:19.3,42,56,-67,,,,,,
38:19.3,42,36,-71,,,,,,
38:19.3,42,21,-68,,,,,,
38:19.3,42,43,-55,,,,,,
38:19.3,42,40,-78,,,,,,
38:19.3,42,46,-62,,,,,,
38:19.3,42,23,-60,,,,,,
38:19.3,42,48,-66,,,,,,
38:19.3,42,47,-69,,,,,,
