TIME,Base,Minor,Rssi,,,,,Base,48
36:50.5,48,39,-65,,,59,60,39,40
36:50.5,48,35,-68,,,-69.73,-68.11,-72.13,-72.4
36:50.5,48,59,-83,,,58,57,38,37
36:50.5,48,64,-65,,,-68.21,-75.43,-70.96,-69.13
36:50.5,48,44,-64,,,55,56,35,36
36:50.5,48,43,-63,,,-70.45,-69.38,-68,-70.74
36:50.5,48,45,-65,,,54,53,34,33
36:50.5,48,48,-48,,,-64.4,-64.71,-68.55,-66.4
36:50.5,48,47,-54,,,51,52,31,32
36:50.6,48,53,-72,,,-58.47,-68.97,-66.29,-58.46
36:50.6,48,55,-67,,,50,49,30,29
36:50.6,48,32,-60,,,-55.3,-57.3,-65.8,-63.98
36:50.6,48,39,-67,,,47,48,27,28
36:50.6,48,35,-67,,,-57.97,-48.89,-61.93,-65.2
36:50.6,48,34,-67,,,46,45,26,25
36:50.6,48,64,-66,,,-63.74,-66.62,-69.42,-68.82
36:50.6,48,63,-64,,,43,44,23,24
36:50.6,48,60,-73,,,-66.44,-63.77,-69.1,-71.31
36:50.6,48,62,-60,,,42,41,22,21
36:50.6,48,28,-75,,,-62.76,-68.05,-72.75,-70.27
36:50.6,48,24,-69,,,,,,
36:50.6,48,46,-64,,,,,,
36:50.6,48,45,-64,,,,,,
36:50.6,48,48,-49,,,,,,
36:50.6,48,26,-66,,,,,,
36:50.7,48,56,-69,,,,,,
36:50.7,48,37,-68,,,,,,
36:50.7,48,42,-62,,,,,,
36:50.7,48,63,-64,,,,,,
36:50.7,48,21,-66,,,,,,
36:50.7,48,60,-72,,,,,,
36:50.7,48,24,-71,,,,,,
36:50.7,48,23,-66,,,,,,
36:50.7,48,45,-64,,,,,,
36:50.7,48,48,-48,,,,,,
36:50.7,48,47,-53,,,,,,
36:50.8,48,64,-66,,,,,,
36:50.8,48,22,-72,,,,,,
36:50.8,48,40,-76,,,,,,
36:50.8,48,27,-60,,,,,,
36:50.8,48,46,-61,,,,,,
36:50.8,48,45,-64,,,,,,
36:51.2,48,43,-64,,,,,,
36:51.4,48,60,-71,,,,,,
36:51.5,48,23,-67,,,,,,
36:51.7,48,35,-68,,,,,,
36:51.8,48,64,-67,,,,,,
36:51.8,48,21,-74,,,,,,
36:52.0,48,53,-64,,,,,,
36:52.0,48,33,-64,,,,,,
36:52.0,48,38,-70,,,,,,
36:52.0,48,56,-69,,,,,,
36:52.0,48,34,-79,,,,,,
36:52.0,48,59,-67,,,,,,
36:52.0,48,36,-75,,,,,,
36:52.0,48,42,-64,,,,,,
