TIME,Base,Minor,Rssi,,,,,Base,27
30:15.6,27,53,-66,,,59,60,39,40
30:15.6,27,31,-63,,,-72.88,-69.47,-69.1,-71.66
30:15.6,27,55,-73,,,58,57,38,37
30:15.6,27,32,-70,,,-70.47,-71.07,-68.73,-69.71
30:15.6,27,35,-77,,,55,56,35,36
30:15.6,27,34,-68,,,-67.41,-61.84,-67.33,-72.15
30:15.6,27,36,-67,,,54,53,34,33
30:15.6,27,58,-73,,,-67.41,-69.7,-69.76,-71.28
30:15.6,27,41,-61,,,51,52,31,32
30:15.6,27,44,-64,,,-64.77,-68.33,-63.1,-69.12
30:15.6,27,43,-63,,,50,49,30,29
30:15.6,27,60,-75,,,-61.03,-55.96,-59.49,-66.97
30:15.6,27,61,-55,,,47,48,27,28
30:15.6,27,28,-66,,,-62.54,-50.18,-53.8,-62.4
30:15.6,27,27,-59,,,46,45,26,25
30:15.6,27,29,-67,,,-66.39,-61.53,-55.46,-56.16
30:15.6,27,48,-56,,,43,44,23,24
30:15.6,27,26,-62,,,-70.68,-64.08,-57.19,-58.12
30:15.6,27,25,-63,,,42,41,22,21
30:15.7,27,55,-76,,,-68.43,-62.6,-63.93,-61.41
30:15.7,27,32,-70,,,,,,
30:15.7,27,39,-68,,,,,,
30:15.7,27,38,-65,,,,,,
30:15.7,27,56,-70,,,,,,
30:15.7,27,58,-76,,,,,,
30:15.7,27,42,-64,,,,,,
30:15.7,27,41,-62,,,,,,
30:15.7,27,21,-75,,,,,,
30:15.7,27,60,-75,,,,,,
30:15.7,27,27,-64,,,,,,
30:15.7,27,29,-68,,,,,,
30:15.7,27,23,-61,,,,,,
30:15.7,27,26,-66,,,,,,
30:15.7,27,47,-57,,,,,,
30:15.8,27,53,-68,,,,,,
30:15.8,27,31,-66,,,,,,
30:15.8,27,30,-70,,,,,,
30:15.8,27,54,-68,,,,,,
30:15.8,27,39,-70,,,,,,
30:15.8,27,35,-77,,,,,,
30:15.8,27,56,-65,,,,,,
30:15.8,27,42,-60,,,,,,
30:15.8,27,41,-62,,,,,,
30:15.8,27,63,-69,,,,,,
30:15.8,27,22,-63,,,,,,
30:15.8,27,43,-64,,,,,,
30:15.8,27,62,-68,,,,,,
30:15.8,27,28,-72,,,,,,
30:15.8,27,27,-68,,,,,,
30:15.8,27,24,-65,,,,,,
30:15.8,27,47,-58,,,,,,
30:15.8,27,25,-66,,,,,,
30:15.9,27,32,-69,,,,,,
30:15.9,27,57,-69,,,,,,
30:15.9,27,34,-69,,,,,,
30:15.9,27,56,-67,,,,,,
30:15.9,27,59,-76,,,,,,
30:15.9,27,36,-73,,,,,,
30:15.9,27,64,-67,,,,,,
30:15.9,27,62,-68,,,,,,
30:15.9,27,40,-74,,,,,,
30:15.9,27,61,-56,,,,,,
30:15.9,27,28,-67,,,,,,
30:15.9,27,45,-62,,,,,,
30:15.9,27,25,-62,,,,,,
30:16.0,27,31,-64,,,,,,
30:16.0,27,30,-65,,,,,,
30:16.0,27,55,-75,,,,,,
30:16.0,27,39,-69,,,,,,
30:16.0,27,56,-67,,,,,,
30:16.0,27,58,-77,,,,,,
30:16.0,27,41,-72,,,,,,
30:16.0,27,44,-70,,,,,,
30:16.0,27,40,-73,,,,,,
30:16.0,27,24,-62,,,,,,
30:16.0,27,45,-65,,,,,,
30:16.0,27,48,-52,,,,,,
30:16.0,27,26,-68,,,,,,
30:16.0,27,47,-57,,,,,,
30:16.1,27,32,-73,,,,,,
30:16.1,27,39,-68,,,,,,
30:16.1,27,59,-67,,,,,,
30:16.1,27,36,-83,,,,,,
30:16.1,27,58,-79,,,,,,
30:16.1,27,42,-65,,,,,,
30:16.1,27,44,-69,,,,,,
30:16.1,27,21,-65,,,,,,
30:16.1,27,62,-64,,,,,,
30:16.1,27,40,-71,,,,,,
30:16.1,27,28,-64,,,,,,
30:16.1,27,27,-60,,,,,,
30:16.1,27,48,-52,,,,,,
30:16.1,27,26,-69,,,,,,
30:16.1,27,25,-64,,,,,,
30:16.2,27,53,-67,,,,,,
30:16.2,27,30,-62,,,,,,
30:16.2,27,54,-67,,,,,,
30:16.2,27,34,-66,,,,,,
30:16.2,27,22,-62,,,,,,
30:16.2,27,44,-65,,,,,,
30:16.2,27,28,-61,,,,,,
30:16.2,27,47,-64,,,,,,
30:16.2,27,25,-58,,,,,,
30:16.3,27,30,-62,,,,,,
30:16.3,27,32,-69,,,,,,
30:16.3,27,54,-67,,,,,,
30:16.3,27,58,-75,,,,,,
30:16.3,27,42,-67,,,,,,
30:16.3,27,22,-71,,,,,,
30:16.3,27,21,-64,,,,,,
30:16.3,27,28,-62,,,,,,
30:16.3,27,46,-69,,,,,,
30:16.3,27,48,-51,,,,,,
30:16.3,27,26,-59,,,,,,
30:16.3,27,25,-56,,,,,,
30:16.4,27,30,-62,,,,,,
30:16.4,27,54,-67,,,,,,
30:16.4,27,56,-65,,,,,,
30:16.4,27,42,-65,,,,,,
30:16.4,27,64,-68,,,,,,
30:16.4,27,28,-63,,,,,,
30:16.4,27,27,-53,,,,,,
30:16.4,27,29,-66,,,,,,
30:16.4,27,26,-57,,,,,,
30:16.4,27,25,-57,,,,,,
30:16.5,27,53,-79,,,,,,
30:16.5,27,39,-69,,,,,,
30:16.5,27,38,-71,,,,,,
30:16.5,27,57,-79,,,,,,
30:16.5,27,59,-77,,,,,,
30:16.5,27,42,-66,,,,,,
30:16.5,27,64,-65,,,,,,
30:16.5,27,63,-63,,,,,,
30:16.5,27,22,-67,,,,,,
30:16.5,27,44,-64,,,,,,
30:16.5,27,62,-64,,,,,,
30:16.5,27,61,-56,,,,,,
30:16.5,27,26,-56,,,,,,
30:16.5,27,47,-59,,,,,,
30:16.5,27,25,-57,,,,,,
30:16.6,27,31,-67,,,,,,
30:16.6,27,33,-67,,,,,,
30:16.6,27,32,-69,,,,,,
30:16.6,27,57,-75,,,,,,
30:16.6,27,56,-62,,,,,,
30:16.6,27,59,-77,,,,,,
30:16.6,27,22,-66,,,,,,
30:16.6,27,44,-63,,,,,,
30:16.6,27,62,-64,,,,,,
