reg_dt,minor,rssi,lc1,lc2,lc3,lc4,
26:12.3,21,0,0,0,0,0,
26:12.3,22,0,0,0,0,0,
26:12.3,23,0,0,0,0,0,
26:12.3,24,0,0,0,0,0,
26:12.3,25,0,0,0,0,0,
26:12.3,26,0,0,0,0,0,
26:12.3,27,0,0,0,0,0,
26:12.3,28,0,0,0,0,0,
26:12.3,29,0,0,0,0,0,
26:12.3,30,0,0,0,0,0,
26:12.3,31,0,0,0,0,0,
26:12.3,32,0,0,0,0,0,
26:12.3,33,0,0,0,0,0,
26:12.3,34,0,0,0,0,0,
26:12.3,35,0,0,0,0,0,
26:12.3,36,0,0,0,0,0,
26:12.3,37,0,0,0,0,0,
26:12.3,38,0,0,0,0,0,
26:12.3,39,0,0,0,0,0,
26:12.3,40,0,0,0,0,0,
26:12.3,41,0,0,0,0,0,
26:12.3,42,0,0,0,0,0,
26:12.3,43,0,0,0,0,0,
26:12.3,44,0,0,0,0,0,
26:12.3,45,0,0,0,0,0,
26:12.3,46,0,0,0,0,0,
26:12.3,47,0,0,0,0,0,
26:12.3,48,0,0,0,0,0,
26:12.3,49,0,0,0,0,0,
26:12.3,50,0,0,0,0,0,
26:12.3,51,0,0,0,0,0,
26:12.3,52,0,0,0,0,0,
26:12.3,53,0,0,0,0,69,
26:12.3,54,0,0,0,0,0,
26:12.3,55,0,0,0,0,0,
26:12.3,56,0,0,0,0,0,
26:12.3,57,0,0,0,0,0,
26:12.3,58,0,0,0,0,0,
26:12.3,59,0,0,0,0,0,
26:12.3,60,0,0,0,0,0,
26:12.6,21,0,0,0,0,0,
26:12.6,22,0,0,0,0,0,
26:12.6,23,0,0,0,0,0,
26:12.6,24,0,0,0,0,0,
26:12.6,25,0,0,0,0,0,
26:12.6,26,0,0,0,0,0,
26:12.6,27,0,0,0,0,0,
26:12.6,28,0,0,0,0,0,
26:12.6,29,0,0,0,0,0,
26:12.6,30,0,0,0,0,0,
26:12.6,31,0,0,0,0,0,
26:12.6,32,0,0,0,0,0,
26:12.6,33,0,0,0,0,0,
26:12.6,34,0,0,0,0,0,
26:12.6,35,0,0,0,0,0,
26:12.6,36,0,0,0,0,0,
26:12.6,37,0,0,0,0,0,
26:12.6,38,0,0,0,0,0,
26:12.6,39,0,0,0,0,0,
26:12.6,40,0,0,0,0,0,
26:12.6,41,0,0,0,0,0,
26:12.6,42,0,0,0,0,0,
26:12.6,43,0,0,0,0,0,
26:12.6,44,0,0,0,0,0,
26:12.6,45,0,0,0,0,0,
26:12.6,46,0,0,0,0,0,
26:12.6,47,0,0,0,0,0,
26:12.6,48,0,0,0,0,0,
26:12.6,49,0,0,0,0,0,
26:12.6,50,0,0,0,0,0,
26:12.6,51,0,0,0,0,0,
26:12.6,52,0,0,0,0,0,
26:12.6,53,0,0,0,0,69,
26:12.6,54,0,0,0,0,0,
26:12.6,55,0,0,0,0,0,
26:12.6,56,0,0,0,0,0,
