"board_id","block_id","reg_dt","major","minor","lc1","lc2","lc3","lc4","etc","insert_dt"
"K006","1","2021-08-27 15:25:29.244000","1","21","78","62","0","86",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:29.244000","1","24","0","0","97","0",\N,"2021-08-27 15:25:30.331"
"K009","1","2021-08-27 15:25:29.265000","1","33","0","0","114","142",\N,"2021-08-27 15:25:30.331"
"K009","4","2021-08-27 15:25:29.265000","1","36","265","0","999","999",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:29.410000","1","25","0","65","0","0",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:29.550000","1","21","78","63","0","86",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:29.550000","1","24","0","0","97","0",\N,"2021-08-27 15:25:30.331"
"K009","4","2021-08-27 15:25:29.574000","1","36","0","0","457","999",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:29.714000","1","25","0","65","0","0",\N,"2021-08-27 15:25:30.331"
"K010","3","2021-08-27 15:25:29.813000","1","39","157","130","138","127",\N,"2021-08-27 15:25:30.331"
"K010","4","2021-08-27 15:25:29.813000","1","40","999","999","836","262",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:29.852000","1","21","78","63","0","86",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:29.852000","1","24","0","0","97","0",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:30.020000","1","25","0","65","0","0",\N,"2021-08-27 15:25:30.331"
"K010","3","2021-08-27 15:25:30.138000","1","39","171","176","145","192",\N,"2021-08-27 15:25:30.331"
"K010","4","2021-08-27 15:25:30.138000","1","40","999","999","999","445",\N,"2021-08-27 15:25:30.331"
"K006","1","2021-08-27 15:25:30.159000","1","21","79","64","0","86",\N,"2021-08-27 15:25:30.331"
"K006","4","2021-08-27 15:25:30.159000","1","24","0","0","96","0",\N,"2021-08-27 15:25:30.331"
"K007","1","2021-08-27 15:25:30.325000","1","25","0","64","0","0",\N,"2021-08-27 15:25:30.331"
"K010","3","2021-08-27 15:25:30.445000","1","39","999","186","822","999",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:30.465000","1","21","79","63","0","86",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:30.465000","1","24","0","0","96","0",\N,"2021-08-27 15:25:33.451"
"K010","4","2021-08-27 15:25:30.445000","1","40","700","999","810","372",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:30.636000","1","25","0","65","0","0",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:30.772000","1","21","79","64","0","86",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:30.772000","1","24","0","0","97","0",\N,"2021-08-27 15:25:33.451"
"K010","3","2021-08-27 15:25:30.816000","1","39","999","460","999","999",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:30.940000","1","25","0","65","0","0",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:31.074000","1","21","78","62","0","85",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:31.074000","1","24","0","0","98","0",\N,"2021-08-27 15:25:33.451"
"K010","3","2021-08-27 15:25:31.128000","1","39","218","444","999","844",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:31.245000","1","25","0","66","0","0",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:31.378000","1","21","79","64","0","86",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:31.378000","1","24","0","0","97","0",\N,"2021-08-27 15:25:33.451"
"K010","3","2021-08-27 15:25:31.435000","1","39","101","110","111","132",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:31.550000","1","25","0","65","0","0",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:31.683000","1","21","79","64","0","86",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:31.683000","1","24","0","0","96","0",\N,"2021-08-27 15:25:33.451"
"K009","3","2021-08-27 15:25:31.714000","1","35","318","582","999","254",\N,"2021-08-27 15:25:33.451"
"K010","3","2021-08-27 15:25:31.744000","1","39","83","0","0","0",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:31.856000","1","25","0","64","0","0",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:31.989000","1","21","80","66","0","88",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:31.989000","1","24","0","0","95","0",\N,"2021-08-27 15:25:33.451"
"K009","3","2021-08-27 15:25:32.037000","1","35","436","999","999","255",\N,"2021-08-27 15:25:33.451"
"K014","1","2021-08-27 15:25:32.069000","1","53","0","0","0","53",\N,"2021-08-27 15:25:33.451"
"K014","4","2021-08-27 15:25:32.069000","1","56","0","81","0","0",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:32.162000","1","25","0","64","0","0",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:32.296000","1","21","79","64","0","86",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:32.296000","1","24","0","0","96","0",\N,"2021-08-27 15:25:33.451"
"K009","2","2021-08-27 15:25:32.343000","1","34","198","999","999","954",\N,"2021-08-27 15:25:33.451"
"K014","4","2021-08-27 15:25:32.374000","1","56","105","0","0","149",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:32.466000","1","25","0","65","0","0",\N,"2021-08-27 15:25:33.451"
"K009","3","2021-08-27 15:25:32.343000","1","35","416","999","999","0",\N,"2021-08-27 15:25:33.451"
"K008","3","2021-08-27 15:25:32.512000","1","31","0","0","0","58",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:32.598000","1","21","79","64","0","86",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:32.598000","1","24","0","0","96","0",\N,"2021-08-27 15:25:33.451"
"K009","2","2021-08-27 15:25:32.648000","1","34","999","999","999","813",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:32.770000","1","25","0","65","0","0",\N,"2021-08-27 15:25:33.451"
"K008","3","2021-08-27 15:25:32.816000","1","31","157","545","0","0",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:32.903000","1","21","79","64","0","86",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:32.903000","1","24","0","0","97","0",\N,"2021-08-27 15:25:33.451"
"K009","2","2021-08-27 15:25:32.960000","1","34","999","999","533","223",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:33.076000","1","25","0","65","0","0",\N,"2021-08-27 15:25:33.451"
"K008","2","2021-08-27 15:25:33.131000","1","30","159","56","999","538",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:33.207000","1","21","80","65","0","87",\N,"2021-08-27 15:25:33.451"
"K006","4","2021-08-27 15:25:33.207000","1","24","0","0","96","0",\N,"2021-08-27 15:25:33.451"
"K008","3","2021-08-27 15:25:33.131000","1","31","999","999","571","88",\N,"2021-08-27 15:25:33.451"
"K007","1","2021-08-27 15:25:33.379000","1","25","0","66","0","0",\N,"2021-08-27 15:25:33.451"
"K008","2","2021-08-27 15:25:33.438000","1","30","195","999","999","999",\N,"2021-08-27 15:25:33.451"
"K008","3","2021-08-27 15:25:33.438000","1","31","488","999","161","108",\N,"2021-08-27 15:25:33.451"
"K006","1","2021-08-27 15:25:33.513000","1","21","76","62","0","84",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:33.513000","1","24","0","0","98","0",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:33.682000","1","25","0","65","0","0",\N,"2021-08-27 15:25:36.364"
"K007","3","2021-08-27 15:25:33.682000","1","27","156","86","999","999",\N,"2021-08-27 15:25:36.364"
"K008","2","2021-08-27 15:25:33.747000","1","30","999","999","91","93",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:33.818000","1","21","76","61","0","83",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:33.818000","1","24","0","0","99","0",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:34.051000","1","25","0","66","0","0",\N,"2021-08-27 15:25:36.364"
"K007","2","2021-08-27 15:25:34.051000","1","26","0","0","942","300",\N,"2021-08-27 15:25:36.364"
"K008","2","2021-08-27 15:25:34.055000","1","30","116","409","0","0",\N,"2021-08-27 15:25:36.364"
"K008","3","2021-08-27 15:25:34.055000","1","31","0","0","0","51",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:34.123000","1","21","77","62","0","84",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:34.123000","1","24","0","0","99","0",\N,"2021-08-27 15:25:36.364"
"K007","3","2021-08-27 15:25:34.051000","1","27","715","394","999","999",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:34.415000","1","25","0","65","0","0",\N,"2021-08-27 15:25:36.364"
"K007","2","2021-08-27 15:25:34.415000","1","26","0","999","999","999",\N,"2021-08-27 15:25:36.364"
"K007","3","2021-08-27 15:25:34.415000","1","27","61","0","70","0",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:34.427000","1","21","75","62","0","82",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:34.427000","1","24","0","0","99","0",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:34.669000","1","25","0","67","0","0",\N,"2021-08-27 15:25:36.364"
"K007","2","2021-08-27 15:25:34.669000","1","26","194","999","999","999",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:34.733000","1","21","75","62","0","82",\N,"2021-08-27 15:25:36.364"
"K006","2","2021-08-27 15:25:34.733000","1","22","0","0","61","0",\N,"2021-08-27 15:25:36.364"
"K006","3","2021-08-27 15:25:34.733000","1","23","999","999","252","999",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:34.733000","1","24","0","0","99","0",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:34.968000","1","25","0","69","0","0",\N,"2021-08-27 15:25:36.364"
"K007","2","2021-08-27 15:25:34.968000","1","26","0","0","0","258",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:35.099000","1","21","77","63","0","83",\N,"2021-08-27 15:25:36.364"
"K006","2","2021-08-27 15:25:35.099000","1","22","0","0","69","0",\N,"2021-08-27 15:25:36.364"
"K006","3","2021-08-27 15:25:35.099000","1","23","999","999","111","999",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:35.099000","1","24","0","0","97","0",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:35.284000","1","25","0","64","0","0",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:35.344000","1","21","81","82","0","83",\N,"2021-08-27 15:25:36.364"
"K006","2","2021-08-27 15:25:35.344000","1","22","642","498","999","999",\N,"2021-08-27 15:25:36.364"
"K006","3","2021-08-27 15:25:35.344000","1","23","999","999","0","999",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:35.344000","1","24","0","0","96","0",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:35.587000","1","25","0","64","0","0",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:35.677000","1","21","79","79","0","81",\N,"2021-08-27 15:25:36.364"
"K006","2","2021-08-27 15:25:35.677000","1","22","999","999","999","999",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:35.677000","1","24","0","0","99","0",\N,"2021-08-27 15:25:36.364"
"K011","1","2021-08-27 15:25:35.883000","1","41","53","0","0","0",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:35.891000","1","25","0","65","0","0",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:35.986000","1","21","69","0","0","77",\N,"2021-08-27 15:25:36.364"
"K006","2","2021-08-27 15:25:35.986000","1","22","999","999","999","917",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:35.986000","1","24","0","0","101","0",\N,"2021-08-27 15:25:36.364"
"K011","1","2021-08-27 15:25:36.188000","1","41","999","999","99","0",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:36.196000","1","25","0","62","0","0",\N,"2021-08-27 15:25:36.364"
"K006","1","2021-08-27 15:25:36.309000","1","21","59","0","0","87",\N,"2021-08-27 15:25:36.364"
"K006","2","2021-08-27 15:25:36.309000","1","22","83","100","0","63",\N,"2021-08-27 15:25:36.364"
"K006","4","2021-08-27 15:25:36.309000","1","24","0","0","96","0",\N,"2021-08-27 15:25:36.364"
"K011","2","2021-08-27 15:25:36.188000","1","42","0","64","0","84",\N,"2021-08-27 15:25:36.364"
"K007","1","2021-08-27 15:25:36.501000","1","25","0","62","0","0",\N,"2021-08-27 15:25:39.172"
"K011","1","2021-08-27 15:25:36.585000","1","41","999","999","0","0",\N,"2021-08-27 15:25:39.172"
"K011","2","2021-08-27 15:25:36.585000","1","42","0","75","0","90",\N,"2021-08-27 15:25:39.172"
"K006","1","2021-08-27 15:25:36.599000","1","21","65","0","0","86",\N,"2021-08-27 15:25:39.172"
"K006","2","2021-08-27 15:25:36.599000","1","22","72","107","0","77",\N,"2021-08-27 15:25:39.172"
"K006","4","2021-08-27 15:25:36.599000","1","24","0","0","97","0",\N,"2021-08-27 15:25:39.172"
"K008","3","2021-08-27 15:25:36.803000","1","31","0","0","0","61",\N,"2021-08-27 15:25:39.172"
"K007","1","2021-08-27 15:25:36.805000","1","25","0","60","0","0",\N,"2021-08-27 15:25:39.172"
