TIME,Base,Minor,Rssi
46:38.2,44,31,-73
46:38.2,44,55,-62
46:38.2,44,33,-63
46:38.2,44,32,-69
46:38.2,44,51,-67
46:38.2,44,50,-61
46:38.2,44,39,-75
46:38.2,44,38,-71
46:38.2,44,35,-66
46:38.2,44,57,-67
46:38.2,44,56,-67
46:38.2,44,34,-65
46:38.2,44,59,-72
46:38.2,44,37,-76
46:38.2,44,42,-56
46:38.2,44,44,-60
46:38.2,44,22,-53
46:38.2,44,21,-58
46:38.2,44,43,-59
46:38.2,44,60,-62
46:38.2,44,40,-75
46:38.2,44,49,-61
46:38.2,44,29,-65
46:38.2,44,24,-71
46:38.2,44,46,-61
46:38.2,44,23,-47
46:38.2,44,45,-55
46:38.2,44,26,-62
46:38.2,44,48,-60
46:38.2,44,25,-52
46:38.2,44,47,-62
46:38.4,44,53,-67
46:38.4,44,30,-68
46:38.4,44,33,-64
46:38.4,44,51,-68
46:38.4,44,36,-68
46:38.4,44,42,-55
46:38.4,44,44,-60
46:38.4,44,43,-60
46:38.4,44,28,-55
46:38.4,44,27,-64
46:38.4,44,29,-65
46:38.4,44,23,-47
46:38.4,44,26,-62
46:38.4,44,48,-62
46:38.4,44,25,-53
46:38.4,44,47,-65
46:38.6,44,31,-80
46:38.6,44,30,-70
46:38.6,44,55,-60
46:38.6,44,32,-69
46:38.6,44,50,-64
46:38.6,44,39,-71
46:38.6,44,38,-77
46:38.6,44,35,-66
46:38.6,44,57,-67
46:38.6,44,34,-66
46:38.6,44,59,-68
46:38.6,44,44,-60
46:38.6,44,43,-58
46:38.6,44,60,-64
46:38.6,44,40,-69
46:38.6,44,28,-56
46:38.6,44,49,-62
46:38.6,44,27,-75
46:38.6,44,29,-62
46:38.6,44,24,-66
46:38.6,44,23,-47
46:38.6,44,45,-53
46:38.6,44,26,-55
46:38.6,44,48,-60
46:38.8,44,31,-72
46:38.8,44,30,-68
46:38.8,44,52,-62
46:38.8,44,55,-61
46:38.8,44,33,-64
46:38.8,44,32,-68
46:38.8,44,50,-59
46:38.8,44,39,-84
46:38.8,44,57,-67
46:38.8,44,59,-68
46:38.8,44,58,-81
46:38.8,44,41,-43
46:38.8,44,44,-61
46:38.8,44,22,-51
46:38.8,44,21,-62
46:38.8,44,60,-61
46:38.8,44,24,-65
46:38.8,44,23,-46
46:38.8,44,26,-60
46:38.8,44,48,-63
46:39.0,44,31,-65
46:39.0,44,30,-64
46:39.0,44,55,-63
46:39.0,44,32,-64
46:39.0,44,51,-63
46:39.0,44,50,-60
46:39.0,44,39,-68
46:39.0,44,38,-70
46:39.0,44,57,-66
46:39.0,44,34,-67
46:39.0,44,59,-72
46:39.0,44,36,-71
46:39.0,44,58,-77
46:39.0,44,41,-45
46:39.0,44,44,-57
46:39.0,44,22,-56
46:39.0,44,21,-62
46:39.0,44,43,-58
46:39.0,44,60,-68
46:39.0,44,40,-76
46:39.0,44,29,-66
46:39.0,44,24,-61
46:39.0,44,46,-57
46:39.0,44,23,-49
46:39.0,44,48,-59
46:39.0,44,47,-63
46:39.2,44,31,-65
46:39.2,44,30,-63
46:39.2,44,55,-62
46:39.2,44,33,-63
46:39.2,44,32,-66
46:39.2,44,54,-71
46:39.2,44,51,-62
46:39.2,44,39,-71
46:39.2,44,38,-70
46:39.2,44,57,-67
46:39.2,44,34,-66
46:39.2,44,59,-72
46:39.2,44,58,-81
46:39.2,44,42,-52
46:39.2,44,41,-45
46:39.2,44,44,-58
46:39.2,44,22,-56
46:39.2,44,43,-58
46:39.2,44,60,-71
46:39.2,44,28,-61
46:39.2,44,27,-61
46:39.2,44,29,-66
46:39.2,44,24,-62
46:39.2,44,46,-57
46:39.2,44,23,-49
46:39.2,44,45,-55
46:39.2,44,48,-58
46:39.2,44,25,-54
46:39.2,44,47,-65
46:39.4,44,31,-64
46:39.4,44,30,-62
46:39.4,44,52,-65
46:39.4,44,55,-64
46:39.4,44,33,-63
46:39.4,44,54,-74
46:39.4,44,51,-62
46:39.4,44,50,-60
46:39.4,44,38,-68
46:39.4,44,35,-67
46:39.4,44,34,-68
46:39.4,44,59,-79
46:39.4,44,37,-69
46:39.4,44,58,-81
46:39.4,44,42,-52
46:39.4,44,41,-44
46:39.4,44,22,-57
46:39.4,44,43,-55
46:39.4,44,28,-60
46:39.4,44,27,-63
46:39.4,44,24,-62
46:39.4,44,23,-49
46:39.4,44,45,-55
46:39.4,44,48,-59
46:39.4,44,47,-65
46:39.7,44,30,-63
46:39.7,44,52,-66
46:39.7,44,55,-64
46:39.7,44,33,-63
46:39.7,44,32,-65
46:39.7,44,54,-73
46:39.7,44,50,-60
46:39.7,44,38,-68
46:39.7,44,35,-67
46:39.7,44,57,-68
46:39.7,44,56,-78
46:39.7,44,59,-71
46:39.7,44,36,-70
46:39.7,44,41,-43
46:39.7,44,44,-58
46:39.7,44,21,-62
46:39.7,44,43,-57
46:39.7,44,60,-71
46:39.7,44,28,-61
46:39.7,44,49,-65
46:39.7,44,27,-62
46:39.7,44,24,-63
46:39.7,44,23,-49
46:39.7,44,48,-59
46:39.7,44,47,-66
46:39.9,44,31,-65
46:39.9,44,30,-64
46:39.9,44,52,-65
46:39.9,44,55,-64
46:39.9,44,33,-62
46:39.9,44,51,-62
46:39.9,44,50,-60
46:39.9,44,39,-69
46:39.9,44,38,-69
46:39.9,44,35,-66
46:39.9,44,34,-68
46:39.9,44,59,-71
46:39.9,44,37,-67
46:39.9,44,36,-70
46:39.9,44,42,-54
46:39.9,44,41,-44
46:39.9,44,44,-57
46:39.9,44,22,-56
46:39.9,44,60,-71
46:39.9,44,28,-61
46:39.9,44,29,-67
46:39.9,44,46,-57
46:39.9,44,23,-49
46:39.9,44,45,-54
46:39.9,44,26,-58
46:39.9,44,48,-58
46:39.9,44,25,-55
46:40.1,44,30,-64
46:40.1,44,52,-66
46:40.1,44,33,-62
46:40.1,44,51,-62
46:40.1,44,50,-60
46:40.1,44,38,-69
46:40.1,44,35,-66
46:40.1,44,34,-64
46:40.1,44,59,-71
46:40.1,44,41,-44
46:40.1,44,44,-58
46:40.1,44,22,-56
46:40.1,44,21,-62
46:40.1,44,43,-58
46:40.1,44,60,-72
46:40.1,44,40,-74
46:40.1,44,28,-62
46:40.1,44,27,-61
46:40.1,44,29,-65
46:40.1,44,46,-58
46:40.1,44,23,-49
46:40.1,44,26,-58
46:40.1,44,48,-59
46:40.3,44,30,-64
