TIME,Base,Minor,Rssi
42:31.0,43,31,-72
42:31.0,43,53,-79
42:31.0,43,30,-59
42:31.0,43,52,-65
42:31.0,43,33,-64
42:31.0,43,54,-65
42:31.0,43,51,-66
42:31.0,43,38,-67
42:31.0,43,35,-67
42:31.0,43,34,-71
42:31.0,43,36,-78
42:31.0,43,41,-50
42:31.0,43,44,-70
42:31.0,43,22,-55
42:31.0,43,21,-56
42:31.0,43,43,-52
42:31.0,43,60,-70
42:31.0,43,49,-64
42:31.0,43,27,-59
42:31.0,43,24,-60
42:31.0,43,46,-60
42:31.0,43,23,-54
42:31.0,43,45,-60
42:31.0,43,26,-57
42:31.0,43,48,-69
42:31.2,43,53,-77
42:31.2,43,52,-65
42:31.2,43,54,-67
42:31.2,43,51,-67
42:31.2,43,39,-66
42:31.2,43,35,-69
42:31.2,43,57,-63
42:31.2,43,56,-66
42:31.2,43,34,-72
42:31.2,43,59,-69
42:31.2,43,36,-73
42:31.2,43,58,-64
42:31.2,43,41,-51
42:31.2,43,44,-65
42:31.2,43,22,-58
42:31.2,43,21,-56
42:31.2,43,40,-73
42:31.2,43,28,-74
42:31.2,43,49,-64
42:31.2,43,29,-66
42:31.2,43,23,-53
42:31.2,43,25,-58
42:31.2,43,47,-60
42:31.4,43,31,-70
42:31.4,43,30,-60
42:31.4,43,52,-65
42:31.4,43,32,-71
42:31.4,43,50,-65
42:31.4,43,38,-67
42:31.4,43,57,-65
42:31.4,43,56,-66
42:31.4,43,59,-73
42:31.4,43,36,-80
42:31.4,43,42,-54
42:31.4,43,41,-51
42:31.4,43,44,-67
42:31.4,43,22,-57
42:31.4,43,21,-57
42:31.4,43,60,-68
42:31.4,43,46,-61
42:31.4,43,23,-53
42:31.4,43,45,-60
42:31.4,43,26,-57
42:31.4,43,25,-59
42:31.4,43,47,-63
42:31.6,43,30,-61
42:31.6,43,32,-69
42:31.6,43,51,-66
42:31.6,43,50,-68
42:31.6,43,38,-67
42:31.6,43,35,-81
42:31.6,43,56,-65
42:31.6,43,34,-65
42:31.6,43,37,-70
42:31.6,43,42,-53
42:31.6,43,41,-52
42:31.6,43,44,-67
42:31.6,43,22,-55
42:31.6,43,21,-56
42:31.6,43,43,-54
42:31.6,43,49,-64
42:31.6,43,27,-60
42:31.6,43,23,-55
42:31.6,43,45,-60
42:31.6,43,26,-55
42:31.6,43,48,-65
42:31.6,43,47,-57
