TIME,Base,Minor,Rssi
17:29.1,25,31,-64
17:29.1,25,52,-84
17:29.1,25,30,-57
17:29.1,25,55,-66
17:29.1,25,33,-66
17:29.1,25,54,-67
17:29.1,25,51,-68
17:29.1,25,50,-67
17:29.1,25,35,-69
17:29.1,25,34,-65
17:29.1,25,56,-68
17:29.1,25,22,-66
17:29.1,25,44,-57
17:29.1,25,21,-60
17:29.1,25,43,-67
17:29.1,25,40,-65
17:29.1,25,49,-69
17:29.1,25,29,-59
17:29.1,25,24,-56
17:29.1,25,46,-64
17:29.1,25,45,-57
17:29.1,25,47,-71
17:29.1,25,25,-47
17:29.3,25,31,-64
17:29.3,25,52,-85
17:29.3,25,33,-66
17:29.3,25,32,-64
17:29.3,25,54,-67
17:29.3,25,51,-69
17:29.3,25,50,-65
17:29.3,25,35,-68
17:29.3,25,34,-66
17:29.3,25,36,-69
17:29.3,25,58,-70
17:29.3,25,41,-72
17:29.3,25,22,-66
17:29.3,25,21,-59
17:29.3,25,40,-68
17:29.3,25,28,-49
17:29.3,25,49,-69
17:29.3,25,24,-55
17:29.3,25,46,-64
17:29.3,25,45,-56
17:29.3,25,26,-55
17:29.3,25,48,-60
17:29.3,25,47,-74
17:29.3,25,25,-47
17:29.5,25,52,-81
17:29.5,25,55,-68
17:29.5,25,32,-64
17:29.5,25,54,-67
17:29.5,25,50,-65
17:29.5,25,39,-79
17:29.5,25,57,-68
17:29.5,25,35,-69
17:29.5,25,34,-66
17:29.5,25,42,-61
17:29.5,25,44,-56
17:29.5,25,21,-59
17:29.5,25,43,-68
17:29.5,25,40,-67
17:29.5,25,27,-56
17:29.5,25,29,-60
17:29.5,25,24,-55
17:29.5,25,23,-59
17:29.5,25,26,-55
17:29.5,25,48,-60
17:29.5,25,25,-46
17:29.7,25,53,-67
17:29.7,25,52,-74
17:29.7,25,30,-58
17:29.7,25,51,-67
17:29.7,25,50,-79
17:29.7,25,38,-75
17:29.7,25,57,-65
17:29.7,25,34,-67
17:29.7,25,56,-69
17:29.7,25,37,-67
17:29.7,25,58,-67
17:29.7,25,42,-59
17:29.7,25,22,-67
17:29.7,25,44,-56
17:29.7,25,21,-60
17:29.7,25,43,-65
17:29.7,25,60,-69
17:29.7,25,28,-50
17:29.7,25,49,-71
17:29.7,25,27,-58
17:29.7,25,29,-59
17:29.7,25,24,-56
17:29.7,25,23,-58
17:29.7,25,45,-55
17:29.7,25,26,-56
17:29.7,25,47,-68
17:29.9,25,31,-66
17:29.9,25,30,-57
17:29.9,25,33,-68
17:29.9,25,32,-65
17:29.9,25,54,-68
17:29.9,25,39,-76
17:29.9,25,38,-75
17:29.9,25,34,-67
17:29.9,25,56,-65
17:29.9,25,36,-65
17:29.9,25,58,-72
17:29.9,25,42,-60
17:29.9,25,41,-66
17:29.9,25,44,-56
17:29.9,25,21,-60
17:29.9,25,43,-68
17:29.9,25,60,-69
17:29.9,25,28,-51
17:29.9,25,49,-70
17:29.9,25,29,-64
17:29.9,25,24,-66
17:29.9,25,48,-62
17:29.9,25,47,-67
17:30.1,25,31,-64
17:30.1,25,53,-70
17:30.1,25,33,-66
17:30.1,25,32,-69
17:30.1,25,51,-69
17:30.1,25,39,-76
17:30.1,25,38,-65
17:30.1,25,34,-67
17:30.1,25,56,-66
17:30.1,25,59,-66
17:30.1,25,36,-65
17:30.1,25,58,-66
17:30.1,25,42,-64
17:30.1,25,41,-73
17:30.1,25,22,-64
17:30.1,25,44,-57
17:30.1,25,60,-73
17:30.1,25,40,-66
17:30.1,25,28,-51
17:30.1,25,27,-55
17:30.1,25,29,-63
17:30.1,25,24,-62
17:30.1,25,46,-63
17:30.1,25,23,-62
17:30.1,25,45,-57
17:30.1,25,48,-62
17:30.1,25,25,-46
17:30.3,25,31,-66
17:30.3,25,53,-70
17:30.3,25,52,-80
17:30.3,25,30,-58
17:30.3,25,55,-65
17:30.3,25,33,-68
17:30.3,25,32,-67
17:30.3,25,39,-87
17:30.3,25,38,-69
17:30.3,25,57,-67
17:30.3,25,35,-66
17:30.3,25,34,-66
17:30.3,25,56,-69
17:30.3,25,36,-68
17:30.3,25,41,-65
17:30.3,25,44,-55
17:30.3,25,40,-71
17:30.3,25,49,-66
17:30.3,25,29,-60
17:30.3,25,46,-64
17:30.3,25,45,-59
17:30.3,25,26,-58
17:30.5,25,31,-65
17:30.5,25,53,-68
17:30.5,25,30,-57
17:30.5,25,55,-66
17:30.5,25,33,-67
17:30.5,25,54,-71
17:30.5,25,51,-70
17:30.5,25,50,-65
17:30.5,25,39,-71
17:30.5,25,38,-68
17:30.5,25,57,-66
17:30.5,25,34,-68
17:30.5,25,36,-65
17:30.5,25,41,-71
17:30.5,25,22,-75
17:30.5,25,21,-58
17:30.5,25,43,-67
17:30.5,25,40,-69
17:30.5,25,28,-51
17:30.5,25,29,-62
17:30.5,25,46,-61
17:30.5,25,45,-62
17:30.5,25,26,-57
17:30.5,25,47,-67
17:30.7,25,31,-66
17:30.7,25,53,-66
17:30.7,25,30,-58
17:30.7,25,55,-75
17:30.7,25,33,-68
17:30.7,25,32,-66
17:30.7,25,57,-67
17:30.7,25,35,-66
17:30.7,25,34,-69
17:30.7,25,59,-70
17:30.7,25,36,-65
17:30.7,25,58,-67
17:30.7,25,21,-60
17:30.7,25,43,-65
17:30.7,25,28,-51
17:30.7,25,27,-56
17:30.7,25,29,-61
17:30.7,25,24,-57
17:30.7,25,46,-64
17:30.9,25,31,-67
17:30.9,25,53,-73
17:30.9,25,55,-76
17:30.9,25,32,-59
17:30.9,25,54,-66
17:30.9,25,38,-74
17:30.9,25,57,-75
17:30.9,25,35,-74
17:30.9,25,34,-72
17:30.9,25,59,-67
17:30.9,25,37,-66
17:30.9,25,36,-68
17:30.9,25,58,-67
17:30.9,25,42,-66
17:30.9,25,22,-64
17:30.9,25,44,-65
17:30.9,25,21,-71
17:30.9,25,28,-49
17:30.9,25,27,-52
17:30.9,25,29,-52
17:30.9,25,24,-58
17:30.9,25,46,-64
17:30.9,25,23,-60
17:30.9,25,26,-53
17:30.9,25,25,-41
17:31.1,25,31,-67
17:31.1,25,53,-76
17:31.1,25,30,-68
17:31.1,25,55,-76
17:31.1,25,32,-58
17:31.1,25,39,-78
17:31.1,25,57,-73
17:31.1,25,34,-70
17:31.1,25,59,-68
17:31.1,25,37,-65
17:31.1,25,58,-69
17:31.1,25,42,-67
17:31.1,25,44,-66
17:31.1,25,43,-69
17:31.1,25,40,-72
17:31.1,25,28,-49
17:31.1,25,49,-59
17:31.1,25,27,-52
17:31.1,25,29,-53
17:31.1,25,24,-56
17:31.1,25,46,-64
17:31.1,25,26,-55
17:31.1,25,48,-55
17:31.3,25,31,-67
17:31.3,25,33,-69
17:31.3,25,32,-57
17:31.3,25,54,-67
17:31.3,25,50,-75
17:31.3,25,38,-79
17:31.3,25,57,-80
17:31.3,25,35,-75
