TIME,Base,Minor,Rssi
27:16.7,27,30,-48
27:16.7,27,52,-64
27:16.7,27,33,-59
27:16.7,27,55,-70
27:16.7,27,32,-57
27:16.7,27,50,-58
27:16.7,27,38,-63
27:16.7,27,35,-57
27:16.7,27,56,-63
27:16.7,27,37,-77
27:16.7,27,41,-57
27:16.7,27,44,-59
27:16.7,27,21,-59
27:16.7,27,60,-68
27:16.7,27,40,-65
27:16.7,27,49,-53
27:16.7,27,29,-53
27:16.7,27,46,-56
27:16.7,27,24,-66
27:16.7,27,45,-55
27:16.7,27,23,-56
27:16.7,27,26,-53
27:16.7,27,47,-59
27:16.9,27,53,-62
27:16.9,27,31,-58
27:16.9,27,30,-48
27:16.9,27,33,-57
27:16.9,27,32,-55
27:16.9,27,51,-66
27:16.9,27,50,-57
27:16.9,27,39,-74
27:16.9,27,38,-64
27:16.9,27,57,-68
27:16.9,27,56,-60
27:16.9,27,37,-69
27:16.9,27,58,-64
27:16.9,27,36,-67
27:16.9,27,42,-62
27:16.9,27,41,-56
27:16.9,27,21,-58
27:16.9,27,60,-69
27:16.9,27,28,-81
27:16.9,27,27,-45
27:16.9,27,45,-54
27:16.9,27,23,-61
27:16.9,27,48,-66
27:16.9,27,25,-55
27:16.9,27,47,-61
27:17.1,27,31,-58
27:17.1,27,30,-51
27:17.1,27,52,-58
27:17.1,27,33,-59
27:17.1,27,54,-62
27:17.1,27,32,-55
27:17.1,27,50,-57
27:17.1,27,38,-63
27:17.1,27,56,-60
27:17.1,27,59,-64
27:17.1,27,58,-66
27:17.1,27,41,-57
27:17.1,27,22,-64
27:17.1,27,40,-66
27:17.1,27,49,-55
27:17.1,27,27,-43
27:17.1,27,46,-56
27:17.1,27,23,-57
27:17.1,27,26,-51
27:17.1,27,48,-66
27:17.1,27,25,-53
27:17.1,27,47,-61
27:17.3,27,30,-49
27:17.3,27,52,-60
27:17.3,27,55,-66
27:17.3,27,51,-68
27:17.3,27,50,-57
27:17.3,27,39,-74
27:17.3,27,38,-64
27:17.3,27,35,-58
27:17.3,27,37,-73
27:17.3,27,59,-62
27:17.3,27,22,-63
27:17.3,27,21,-62
27:17.3,27,28,-60
27:17.3,27,49,-53
27:17.3,27,27,-44
27:17.3,27,29,-54
27:17.3,27,46,-55
27:17.3,27,45,-54
27:17.3,27,23,-60
27:17.3,27,26,-52
27:17.3,27,25,-52
27:17.5,27,30,-49
27:17.5,27,52,-62
27:17.5,27,55,-70
27:17.5,27,51,-75
27:17.5,27,39,-75
27:17.5,27,38,-63
27:17.5,27,35,-59
27:17.5,27,34,-68
27:17.5,27,58,-66
27:17.5,27,22,-60
27:17.5,27,44,-59
27:17.5,27,21,-81
27:17.5,27,28,-60
27:17.5,27,27,-45
27:17.5,27,46,-58
27:17.5,27,24,-69
27:17.5,27,26,-52
27:17.5,27,47,-57
27:17.7,27,53,-63
27:17.7,27,52,-59
27:17.7,27,33,-62
27:17.7,27,55,-66
27:17.7,27,54,-61
27:17.7,27,51,-69
27:17.7,27,50,-57
27:17.7,27,38,-65
27:17.7,27,56,-62
27:17.7,27,58,-66
27:17.7,27,22,-60
27:17.7,27,40,-64
27:17.7,27,28,-56
27:17.7,27,27,-44
27:17.7,27,46,-56
27:17.7,27,23,-55
27:17.7,27,48,-63
27:17.9,27,30,-49
27:17.9,27,52,-57
27:17.9,27,55,-68
27:17.9,27,54,-59
27:17.9,27,32,-56
27:17.9,27,51,-71
27:17.9,27,50,-57
27:17.9,27,39,-73
27:17.9,27,38,-63
27:17.9,27,35,-59
27:17.9,27,56,-64
27:17.9,27,58,-66
27:17.9,27,36,-68
27:17.9,27,42,-64
27:17.9,27,41,-58
27:17.9,27,22,-60
27:17.9,27,44,-58
27:17.9,27,40,-64
27:17.9,27,29,-57
27:17.9,27,46,-55
27:17.9,27,24,-68
27:17.9,27,45,-54
27:17.9,27,26,-53
27:17.9,27,25,-51
27:18.1,27,30,-49
27:18.1,27,52,-61
27:18.1,27,33,-60
27:18.1,27,54,-59
27:18.1,27,50,-57
27:18.1,27,34,-67
27:18.1,27,42,-64
27:18.1,27,41,-59
27:18.1,27,43,-69
27:18.1,27,49,-53
27:18.1,27,27,-45
27:18.1,27,29,-55
27:18.1,27,46,-56
27:18.1,27,24,-69
27:18.1,27,45,-54
27:18.1,27,23,-58
27:18.1,27,26,-53
27:18.1,27,48,-68
27:18.1,27,25,-53
27:18.1,27,47,-60
27:18.3,27,31,-61
27:18.3,27,30,-49
27:18.3,27,33,-61
27:18.3,27,54,-59
27:18.3,27,32,-57
27:18.3,27,50,-57
27:18.3,27,39,-78
27:18.3,27,38,-63
27:18.3,27,59,-65
27:18.3,27,58,-66
27:18.3,27,36,-67
27:18.3,27,41,-60
27:18.3,27,22,-61
27:18.3,27,28,-63
27:18.3,27,49,-52
27:18.3,27,46,-56
27:18.3,27,45,-55
27:18.3,27,47,-58
27:18.5,27,31,-61
27:18.5,27,30,-49
27:18.5,27,52,-59
27:18.5,27,33,-60
27:18.5,27,55,-70
27:18.5,27,54,-59
27:18.5,27,38,-63
27:18.5,27,56,-62
27:18.5,27,34,-70
27:18.5,27,37,-67
27:18.5,27,59,-64
27:18.5,27,58,-65
27:18.5,27,42,-64
27:18.5,27,22,-60
27:18.5,27,44,-60
27:18.5,27,60,-66
27:18.5,27,40,-65
27:18.5,27,28,-70
27:18.5,27,49,-52
27:18.5,27,27,-45
27:18.5,27,46,-56
27:18.5,27,24,-68
27:18.5,27,26,-54
27:18.5,27,25,-58
27:18.7,27,53,-63
27:18.7,27,30,-49
27:18.7,27,52,-59
27:18.7,27,54,-60
27:18.7,27,32,-57
27:18.7,27,51,-67
27:18.7,27,50,-57
27:18.7,27,37,-71
27:18.7,27,59,-66
27:18.7,27,58,-66
27:18.7,27,36,-66
27:18.7,27,41,-59
27:18.7,27,22,-59
27:18.7,27,21,-66
27:18.7,27,46,-56
27:18.7,27,24,-77
27:18.7,27,23,-58
27:18.7,27,26,-54
27:18.7,27,25,-55
27:18.7,27,47,-60
27:18.9,27,30,-49
27:18.9,27,52,-59
27:18.9,27,55,-72
27:18.9,27,54,-60
27:18.9,27,50,-58
27:18.9,27,35,-61
27:18.9,27,56,-64
27:18.9,27,59,-65
27:18.9,27,58,-64
27:18.9,27,36,-68
27:18.9,27,42,-62
27:18.9,27,41,-60
27:18.9,27,22,-60
27:18.9,27,44,-59
27:18.9,27,60,-68
27:18.9,27,40,-65
27:18.9,27,28,-66
27:18.9,27,49,-53
27:18.9,27,27,-45
27:18.9,27,29,-55
27:18.9,27,46,-56
27:18.9,27,24,-74
27:18.9,27,25,-54
27:18.9,27,47,-58
27:19.1,27,53,-64
27:19.1,27,31,-61
27:19.1,27,30,-49
27:19.1,27,52,-59
27:19.1,27,33,-59
27:19.1,27,54,-58
27:19.1,27,32,-57
27:19.1,27,50,-57
27:19.1,27,39,-71
27:19.1,27,57,-79
27:19.1,27,35,-58
27:19.1,27,56,-64
27:19.1,27,34,-69
27:19.1,27,37,-68
27:19.1,27,59,-64
27:19.1,27,36,-69
27:19.1,27,42,-63
27:19.1,27,41,-59
27:19.1,27,22,-60
27:19.1,27,44,-58
27:19.1,27,21,-64
27:19.1,27,43,-71
27:19.1,27,60,-68
27:19.1,27,49,-53
27:19.1,27,23,-56
27:19.1,27,26,-53
27:19.1,27,25,-57
27:19.3,27,53,-64
27:19.3,27,31,-61
27:19.3,27,30,-49
27:19.3,27,33,-60
27:19.3,27,55,-67
27:19.3,27,54,-59
27:19.3,27,50,-58
27:19.3,27,39,-74
27:19.3,27,38,-63
