Base Minor,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,"
"
21,-53.61669243,-56.42857143,-56.03220859,-58.41314554,-48.75218659,-56.10323575,-65.23104693,-65.74300699,-66.62062257,-69.48394004,-73.24578313,-69.14003945,-70.21681416,-69.61333333,-73.47894737,-78.64456233,-65.06508876,-72.06756757,-72.17249417,-67.18036072,-57.29473684,-65.0164271,-61.91171477,-64.90267176,-65.25289575,-67.23709369,-66.08007449,-74.24827586,-69.28215768,-72.97411765,-68.59753593,-68.79520697,-72.3700565,-69.37701613,-70.16594828,-70.09421842,-68.5268595,-68.69010989,-73.40384615,-68.22678186,"
"
22,-53.71230769,-60.44816054,-57.10930576,-57.27697262,-55.55981595,-56.68273717,-62.98710866,-57.41384615,-67.10526316,-69.66666667,-67.46080306,-73.14782609,-72.0547619,-73.15367483,-70.52016985,-73.90428212,-68.06361829,-71.90909091,-72.35743802,-68.394,-50.02463768,-62.59585492,-61.4672,-63.60243056,-59.01589825,-65.1259542,-63.93638171,-67.93666027,-66.6587156,-70.68240343,-69.60160966,-70.0480167,-71.10886076,-73.13270142,-70.33484163,-69.08316832,-72.29587156,-69.56837607,-71.277666,-68.94455067,"
"
23,-50.01374046,-52.71103896,-62.36672968,-56.31208054,-50.41048035,-55.36287625,-57.44353519,-54.53172205,-65.56576577,-63.52895753,-66.81620553,-64.18647541,-69.39667458,-70.27345309,-68.28370221,-71.56503198,-68.75055679,-71.19955654,-69.47093023,-69.02155172,-54.99174917,-65.24070022,-56.40443686,-53.7154213,-54.84602649,-61.57826888,-61.80524345,-57.65397351,-66.48988764,-64.6252354,-68.59236948,-66.62781186,-73.33333333,-64.6809816,-67.34901961,-68.16864608,-69.18362832,-68.97149123,-75.08706468,-74.35752688,"
"
24,-54.65054602,-62.49197861,-54.67286822,-53.36574074,-48.34520548,-50.53206997,-57.33639144,-64.99385246,-59.1039604,-64.3957115,-68.72495088,-72.11898734,-68.32618026,-72.25635104,-68.36666667,-69.92278719,-68.38116592,-71.85301205,-69.38064516,-71.00643777,-60.8115942,-64.31494662,-63.0210325,-64.39279279,-57.72798742,-66.36550308,-58.09951846,-63.920434,-62.29444444,-70.46478873,-68.48148148,-70.87635575,-69.7602459,-70.69844789,-67.24493927,-67.60162602,-70.32731959,-69.91067538,-71.62441315,-68.49087221,"
"
25,-60.53550864,-64.60925926,-61.93439716,-57.19261637,-43.56054422,-55.7007874,-52.98159509,-49.59384164,-56.92294807,-61.84587156,-65.26119403,-62.24048443,-68.74358974,-68.82581967,-69.7589852,-67.3499006,-67.33404255,-72.62264151,-74.25326371,-70.68647541,-62.84115523,-63.37275986,-67.82536383,-62.35544218,-54.77302632,-66.06477733,-62.33913043,-57.69305331,-65.38461538,-67.54616896,-71.01066098,-73.28045326,-70.57684631,-69.53626374,-65.69702602,-67.25416667,-70.70974576,-68.70576132,-69.41717791,-68.62669246,"
"
26,-61.21212121,-58.95065789,-55.96585366,-53.22580645,-59.21588946,-48.47877013,-52.26935484,-55.22316865,-57.30337079,-66.25093633,-65.43782837,-66.11028037,-67.80422265,-67.59119497,-72.24675325,-69.1812749,-72.43879908,-68.38554217,-74.81991525,-73.57276995,-58.79899497,-65.71062271,-60.55338078,-56.71567044,-47.77363897,-56.93739968,-58.46931408,-51.83165468,-57.3538206,-67.62431942,-70.26428571,-66.77777778,-69.09770115,-69.816,-70,-67.61283644,-67.04230769,-69.94509804,-67.9781746,-70.6882494,"
"
27,-64.29445507,-61.20512821,-59.49433962,-66.27682403,-55.8704918,-53.04836193,-46.65885798,-63.08171206,-55.80110497,-49.94426752,-60.39705882,-57.92631579,-64.57429719,-68.16016427,-64.41666667,-68.51416122,-65.61133603,-68.28674699,-78.08847185,-71.25512528,-60.96108949,-63.08176101,-67.6746507,-59.40856031,-55.32627866,-57.92424242,-57.29433272,-62.84274194,-54.22483221,-60.86527514,-67.31501057,-60.03090909,-68.43224299,-63.51136364,-65.04149378,-64.46003899,-73.22811671,-69.99040767,-66.4625,-69.64693446,"
"
28,-70.05285412,-63.07456979,-61.79816514,-60.13518519,-50.35793872,-56.57859532,-45.99158485,-59.01830283,-51.4587156,-56.21775544,-63.06741573,-56.40826446,-64.79087452,-68.48387097,-67.33916849,-69.12237094,-65.21535581,-70.95217391,-67.78744939,-72.57017544,-63.42857143,-65.71320755,-64.05672269,-65.43902439,-57.97993311,-62.4877193,-63.26810176,-55.97615262,-57.99125874,-63.878,-67.18737271,-64.65882353,-65.30813953,-66.45873321,-67.99393939,-69.10121457,-65.21703854,-65.66856061,-67.68958333,-68.09190372,"
"
29,-68.49553571,-63.60903733,-60.64902998,-62.33464567,-55.43371522,-58.99827586,-52.30722892,-48.11516035,-45.65068493,-50.06534954,-53.91455696,-61.67577413,-65.25847458,-72.28606965,-63.67863555,-65.41231343,-64.6970297,-67.69653768,-66.16129032,-68.812,-61.05160142,-68.20661157,-66.60405157,-70.27853881,-68.78163265,-65.38942308,-60.14535902,-61.39032815,-55.35048232,-66.74901186,-62.14495413,-54.72281776,-65.8245614,-67.42581888,-62.66897747,-63.0929432,-64.38504673,-70.0955414,-70.31390135,-68.09533469,"
"
