"board_id","block_id","reg_dt","major","minor","lc1","lc2","lc3","lc4","etc"
"K001","4","2021-06-28 16:03:03.334000","1","4","0","0","0","55",\N
"K001","4","2021-06-28 16:03:03.034000","1","4","0","0","0","70",\N
"K001","4","2021-06-28 16:03:02.090000","1","4","0","0","0","110",\N
"K001","4","2021-06-28 16:03:01.856000","1","4","0","0","0","127",\N
"K001","4","2021-06-28 16:03:01.843000","1","4","0","0","0","166",\N
"K001","4","2021-06-28 16:03:01.802000","1","4","0","58","735","999",\N
"K001","4","2021-06-28 16:03:01.563000","1","4","435","88","999","999",\N
"K001","4","2021-06-28 16:03:01.437000","1","4","999","78","925","999",\N
"K001","4","2021-06-28 16:03:00.252000","1","4","645","89","93","999",\N
"K001","4","2021-06-28 16:02:59.943000","1","4","651","89","86","999",\N
"K001","4","2021-06-28 16:02:59.632000","1","4","661","89","96","999",\N
"K001","4","2021-06-28 16:02:59.433000","1","4","582","89","99","999",\N
"K001","4","2021-06-28 16:02:59.097000","1","4","804","90","95","999",\N
"K001","4","2021-06-28 16:02:58.723000","1","4","999","87","581","999",\N
"K001","4","2021-06-28 16:02:58.412000","1","4","999","79","999","999",\N
"K001","4","2021-06-28 16:02:58.133000","1","4","999","72","999","999",\N
"K001","4","2021-06-28 16:02:57.741000","1","4","999","78","999","999",\N
"K001","4","2021-06-28 16:02:57.450000","1","4","999","77","999","999",\N
"K001","4","2021-06-28 16:02:57.133000","1","4","999","70","861","999",\N
"K001","4","2021-06-28 16:02:56.833000","1","4","999","65","580","999",\N
"K001","4","2021-06-28 16:02:56.513000","1","4","999","67","628","999",\N
"K001","4","2021-06-28 16:02:56.213000","1","4","999","72","812","999",\N
"K001","4","2021-06-28 16:02:55.920000","1","4","999","74","877","999",\N
"K001","4","2021-06-28 16:02:55.610000","1","4","999","74","928","999",\N
"K001","4","2021-06-28 16:02:55.311000","1","4","999","78","999","999",\N
"K001","4","2021-06-28 16:02:55.011000","1","4","999","79","999","999",\N
"K001","4","2021-06-28 16:02:54.701000","1","4","943","82","999","999",\N
"K001","4","2021-06-28 16:02:54.403000","1","4","935","83","999","999",\N
"K001","4","2021-06-28 16:02:54.013000","1","4","999","79","999","999",\N
"K001","4","2021-06-28 16:02:53.724000","1","4","999","81","999","999",\N
"K001","4","2021-06-28 16:02:53.414000","1","4","999","77","963","999",\N
"K001","4","2021-06-28 16:02:53.114000","1","4","999","77","949","999",\N
"K001","4","2021-06-28 16:02:52.784000","1","4","999","78","996","999",\N
"K001","4","2021-06-28 16:02:52.484000","1","4","999","78","999","999",\N
"K001","4","2021-06-28 16:02:52.254000","1","4","753","84","999","999",\N
"K001","4","2021-06-28 16:02:51.882000","1","4","748","85","999","999",\N
"K001","4","2021-06-28 16:02:51.574000","1","4","879","83","999","999",\N
"K001","4","2021-06-28 16:02:51.254000","1","4","999","77","952","999",\N
"K001","4","2021-06-28 16:02:50.964000","1","4","999","77","909","999",\N
"K001","4","2021-06-28 16:02:50.655000","1","4","999","76","934","999",\N
"K001","4","2021-06-28 16:02:50.335000","1","4","999","78","999","999",\N
"K001","4","2021-06-28 16:02:50.043000","1","4","795","85","999","999",\N
"K001","4","2021-06-28 16:02:49.742000","1","4","589","86","999","999",\N
"K001","4","2021-06-28 16:02:49.433000","1","4","568","87","999","999",\N
"K001","4","2021-06-28 16:02:49.123000","1","4","741","86","999","999",\N
"K001","4","2021-06-28 16:02:48.824000","1","4","999","83","999","999",\N
"K001","4","2021-06-28 16:02:48.513000","1","4","999","80","999","999",\N
"K001","4","2021-06-28 16:02:48.233000","1","4","999","79","999","999",\N
"K001","4","2021-06-28 16:02:47.922000","1","4","999","82","999","999",\N
"K001","4","2021-06-28 16:02:47.544000","1","4","883","84","999","999",\N
"K001","4","2021-06-28 16:02:47.234000","1","4","617","86","999","999",\N
"K001","4","2021-06-28 16:02:46.954000","1","4","600","86","999","999",\N
"K001","4","2021-06-28 16:02:46.583000","1","4","820","84","999","999",\N
"K001","4","2021-06-28 16:02:46.282000","1","4","892","84","999","999",\N
"K001","4","2021-06-28 16:02:45.970000","1","4","999","80","999","999",\N
"K001","4","2021-06-28 16:02:45.664000","1","4","999","76","937","999",\N
"K001","4","2021-06-28 16:02:45.371000","1","4","999","75","923","999",\N
"K001","4","2021-06-28 16:02:45.043000","1","4","999","77","999","999",\N
"K001","4","2021-06-28 16:02:44.760000","1","4","989","81","999","999",\N
"K001","4","2021-06-28 16:02:44.444000","1","4","681","85","999","999",\N
"K001","4","2021-06-28 16:02:44.160000","1","4","515","86","999","999",\N
"K001","4","2021-06-28 16:02:43.833000","1","4","577","86","999","999",\N
"K001","4","2021-06-28 16:02:43.504000","1","4","738","85","999","999",\N
"K001","4","2021-06-28 16:02:43.194000","1","4","904","83","999","999",\N
"K001","4","2021-06-28 16:02:42.893000","1","4","999","80","999","999",\N
"K001","4","2021-06-28 16:02:42.585000","1","4","999","80","886","999",\N
"K001","4","2021-06-28 16:02:42.287000","1","4","999","78","999","999",\N
"K001","4","2021-06-28 16:02:41.974000","1","4","999","79","999","999",\N
"K001","4","2021-06-28 16:02:41.673000","1","4","962","84","999","999",\N
"K001","4","2021-06-28 16:02:41.362000","1","4","670","85","999","999",\N
"K001","4","2021-06-28 16:02:41.082000","1","4","603","86","999","999",\N
"K001","4","2021-06-28 16:02:40.870000","1","4","554","87","999","999",\N
"K001","4","2021-06-28 16:02:40.443000","1","4","579","86","999","999",\N
"K001","4","2021-06-28 16:02:40.144000","1","4","385","87","999","999",\N
"K001","4","2021-06-28 16:02:39.842000","1","4","249","87","999","999",\N
"K001","4","2021-06-28 16:02:39.541000","1","4","406","87","999","999",\N
"K001","4","2021-06-28 16:02:39.223000","1","4","999","85","999","999",\N
"K001","4","2021-06-28 16:02:38.923000","1","4","903","86","999","999",\N
"K001","4","2021-06-28 16:02:38.613000","1","4","782","85","999","999",\N
"K001","4","2021-06-28 16:02:38.313000","1","4","813","84","999","999",\N
"K001","4","2021-06-28 16:02:38.010000","1","4","963","83","999","999",\N
"K001","4","2021-06-28 16:02:37.704000","1","4","963","82","999","999",\N
"K001","4","2021-06-28 16:02:37.394000","1","4","880","84","999","999",\N
"K001","4","2021-06-28 16:02:37.093000","1","4","621","86","999","999",\N
"K001","4","2021-06-28 16:02:36.783000","1","4","848","85","999","999",\N
"K001","4","2021-06-28 16:02:36.484000","1","4","929","84","999","999",\N
"K001","4","2021-06-28 16:02:36.177000","1","4","625","85","999","999",\N
"K001","4","2021-06-28 16:02:35.875000","1","4","426","86","999","999",\N
"K001","4","2021-06-28 16:02:35.573000","1","4","452","86","999","999",\N
"K001","4","2021-06-28 16:02:35.266000","1","4","663","86","999","999",\N
"K001","4","2021-06-28 16:02:34.962000","1","4","902","85","999","999",\N
"K001","4","2021-06-28 16:02:34.653000","1","4","751","84","999","999",\N
"K001","4","2021-06-28 16:02:34.344000","1","4","324","85","999","999",\N
"K001","4","2021-06-28 16:02:34.043000","1","4","95","87","999","999",\N
"K001","4","2021-06-28 16:02:33.744000","1","4","0","88","999","999",\N
"K001","4","2021-06-28 16:02:33.434000","1","4","58","89","999","999",\N
"K001","4","2021-06-28 16:02:33.126000","1","4","0","89","999","999",\N
"K001","4","2021-06-28 16:02:32.823000","1","4","123","87","999","999",\N
"K001","4","2021-06-28 16:02:32.530000","1","4","448","86","999","999",\N
"K001","4","2021-06-28 16:02:32.221000","1","4","277","87","999","999",\N
"K001","4","2021-06-28 16:02:31.921000","1","4","275","87","999","999",\N
"K001","4","2021-06-28 16:02:31.611000","1","4","366","85","999","999",\N
"K001","4","2021-06-28 16:02:31.304000","1","4","186","85","999","999",\N
"K001","4","2021-06-28 16:02:30.994000","1","4","113","85","999","999",\N
"K001","4","2021-06-28 16:02:30.701000","1","4","0","88","999","999",\N
"K001","4","2021-06-28 16:02:30.384000","1","4","63","89","999","999",\N
"K001","4","2021-06-28 16:02:30.070000","1","4","67","89","999","999",\N
