board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4
K001,1,22:19.9,1,1,999,999,115,53
K001,1,22:19.6,1,1,999,999,115,53
K001,1,22:19.3,1,1,999,999,115,53
K001,1,22:19.0,1,1,999,961,115,52
K001,1,22:18.7,1,1,999,848,115,52
K001,1,22:18.4,1,1,999,999,115,52
K001,1,22:18.1,1,1,999,999,115,53
K001,1,22:17.8,1,1,999,999,115,53
K001,1,22:17.5,1,1,999,999,115,53
K001,1,22:17.2,1,1,999,999,115,53
K001,1,22:16.9,1,1,999,999,115,53
K001,1,22:16.5,1,1,999,999,115,53
K001,1,22:16.2,1,1,999,999,115,53
K001,1,22:15.9,1,1,999,999,115,52
K001,1,22:15.6,1,1,999,999,115,0
K001,1,22:15.3,1,1,999,999,115,0
K001,1,22:14.9,1,1,999,683,114,360
K001,1,22:14.6,1,1,999,481,115,304
K001,1,22:14.3,1,1,999,999,114,0
K001,1,22:14.0,1,1,999,999,115,0
K001,1,22:13.7,1,1,999,118,114,621
K001,1,22:13.5,1,1,999,112,115,999
K001,1,22:13.3,1,1,999,783,115,407
K001,1,22:13.0,1,1,999,627,115,414
K001,1,22:12.7,1,1,999,534,115,399
K001,1,22:12.3,1,1,999,280,115,455
K001,1,22:12.0,1,1,999,364,115,590
K001,1,22:11.7,1,1,999,616,114,437
K001,1,22:11.4,1,1,999,759,115,342
K001,1,22:10.9,1,1,999,676,115,385
K001,1,22:10.6,1,1,999,594,115,470
K001,1,22:10.4,1,1,999,272,115,338
K001,1,22:10.0,1,1,999,348,115,441
K001,1,22:09.7,1,1,999,472,115,471
K001,1,22:09.3,1,1,999,565,114,581
K001,1,22:09.1,1,1,999,535,115,541
K001,1,22:08.7,1,1,999,541,114,798
K001,1,22:08.4,1,1,999,290,114,780
K001,1,22:08.1,1,1,999,474,114,784
K001,1,22:07.8,1,1,999,463,114,731
K001,1,22:07.5,1,1,999,588,114,842
K001,1,22:07.3,1,1,999,346,114,837
K001,1,22:07.2,1,1,999,250,114,994
K001,1,22:06.9,1,1,999,185,114,999
K001,1,22:06.3,1,1,999,262,113,999
K001,1,22:06.0,1,1,999,148,114,999
K001,1,22:05.7,1,1,999,309,115,817
K001,1,22:05.4,1,1,999,539,113,991
K001,1,22:05.0,1,1,999,499,113,958
K001,1,22:04.7,1,1,999,573,113,936
K001,1,22:04.4,1,1,999,437,114,883
K001,1,22:04.1,1,1,999,687,112,999
