board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc
K001,2,38:51.6,1,2,53,0,0,0,\N
K001,2,38:51.2,1,2,55,0,0,0,\N
K001,2,38:50.9,1,2,74,0,0,0,\N
K001,2,38:50.6,1,2,91,0,0,0,\N
K001,2,38:50.3,1,2,105,0,0,0,\N
K001,2,38:50.0,1,2,131,0,0,0,\N
K001,2,38:49.7,1,2,164,0,0,0,\N
K001,2,38:49.3,1,2,209,0,0,0,\N
K001,2,38:49.0,1,2,292,0,0,0,\N
K001,2,38:48.7,1,2,999,61,80,952,\N
K001,1,38:48.7,1,1,70,88,0,86,\N
K001,2,38:48.4,1,2,999,0,77,380,\N
K001,2,38:48.1,1,2,999,0,75,372,\N
K001,2,38:47.8,1,2,999,421,68,349,\N
K001,2,38:47.5,1,2,999,522,71,220,\N
K001,2,38:47.2,1,2,999,547,68,251,\N
K001,2,38:46.9,1,2,999,562,68,241,\N
K001,2,38:46.6,1,2,999,565,70,214,\N
K001,2,38:46.2,1,2,999,613,71,149,\N
K001,2,38:45.9,1,2,999,615,72,137,\N
K001,2,38:45.6,1,2,999,618,72,129,\N
K001,2,38:45.3,1,2,999,620,72,139,\N
K001,2,38:45.0,1,2,999,621,72,133,\N
K001,2,38:44.6,1,2,999,622,72,135,\N
K001,2,38:44.4,1,2,999,634,72,134,\N
K001,2,38:44.0,1,2,999,658,71,144,\N
K001,2,38:43.7,1,2,999,659,71,157,\N
K001,2,38:43.4,1,2,999,626,72,116,\N
K001,2,38:43.1,1,2,999,620,73,104,\N
K001,2,38:42.8,1,2,999,636,73,93,\N
K001,2,38:42.6,1,2,999,608,72,134,\N
K001,2,38:42.2,1,2,999,505,72,174,\N
K001,2,38:41.9,1,2,999,467,71,202,\N
K001,2,38:41.6,1,2,999,501,70,231,\N
K001,2,38:41.3,1,2,999,449,67,325,\N
K001,2,38:41.0,1,2,999,464,65,348,\N
K001,2,38:40.7,1,2,999,469,65,345,\N
K001,2,38:40.4,1,2,999,402,66,374,\N
K001,2,38:40.0,1,2,999,376,65,417,\N
K001,2,38:39.7,1,2,999,423,62,443,\N
K001,2,38:39.5,1,2,999,514,57,457,\N
K001,2,38:39.1,1,2,999,584,53,472,\N
K001,2,38:38.8,1,2,999,654,54,430,\N
K001,2,38:38.5,1,2,999,754,64,188,\N
K001,2,38:38.2,1,2,999,725,68,176,\N
K001,2,38:37.9,1,2,999,709,69,161,\N
K001,2,38:37.6,1,2,999,745,69,151,\N
K001,2,38:37.3,1,2,999,764,69,132,\N
K001,2,38:37.0,1,2,999,774,70,113,\N
K001,2,38:36.7,1,2,999,819,69,115,\N
K001,2,38:36.4,1,2,999,841,69,109,\N
K001,2,38:36.1,1,2,999,847,69,95,\N
K001,2,38:35.8,1,2,999,823,70,98,\N
K001,2,38:35.5,1,2,999,762,69,132,\N
K001,2,38:35.2,1,2,999,726,70,104,\N
K001,2,38:34.9,1,2,999,729,71,95,\N
K001,2,38:34.6,1,2,999,739,71,87,\N
K001,2,38:34.3,1,2,999,786,71,80,\N
K001,2,38:34.0,1,2,999,906,70,66,\N
K001,2,38:33.7,1,2,999,908,70,65,\N
K001,2,38:33.3,1,2,999,847,70,80,\N
K001,2,38:33.0,1,2,999,813,69,120,\N
K001,2,38:32.7,1,2,999,709,70,119,\N
K001,2,38:32.4,1,2,999,650,70,141,\N
K001,2,38:32.4,1,2,999,714,70,107,\N
K001,2,38:31.7,1,2,999,754,71,78,\N
K001,2,38:31.4,1,2,999,748,71,79,\N
K001,2,38:31.1,1,2,999,719,72,65,\N
K001,2,38:30.8,1,2,999,704,72,67,\N
K001,2,38:30.5,1,2,999,644,72,76,\N
K001,2,38:30.2,1,2,999,658,72,79,\N
K001,2,38:29.9,1,2,999,774,72,0,\N
K001,2,38:29.6,1,2,999,823,71,0,\N
K001,2,38:29.3,1,2,999,783,71,68,\N
K001,2,38:28.9,1,2,999,773,71,79,\N
K001,2,38:28.6,1,2,999,713,70,106,\N
K001,2,38:28.3,1,2,999,675,71,101,\N
K001,2,38:28.0,1,2,999,628,72,100,\N
K001,2,38:27.7,1,2,999,617,72,98,\N
K001,2,38:27.4,1,2,999,617,72,95,\N
K001,2,38:27.1,1,2,999,633,72,89,\N
K001,2,38:26.8,1,2,999,657,72,86,\N
K001,2,38:26.5,1,2,999,657,71,99,\N
K001,2,38:26.3,1,2,999,631,70,155,\N
K001,2,38:26.0,1,2,999,638,70,161,\N
K001,2,38:25.7,1,2,999,703,71,90,\N
K001,2,38:25.2,1,2,999,714,71,82,\N
K001,2,38:24.9,1,2,999,820,72,0,\N
K001,2,38:24.6,1,2,999,847,72,0,\N
K001,2,38:24.3,1,2,999,778,73,0,\N
K001,2,38:24.0,1,2,999,685,73,0,\N
K001,2,38:23.7,1,2,999,720,72,0,\N
K001,2,38:23.4,1,2,999,756,71,73,\N
K001,2,38:23.1,1,2,999,771,70,90,\N
K001,2,38:22.7,1,2,999,707,71,104,\N
K001,2,38:22.5,1,2,999,709,71,103,\N
K001,2,38:22.1,1,2,999,656,71,105,\N
K001,2,38:21.8,1,2,999,631,71,117,\N
