TIME,Base,Minor,Rssi
32:38.4,36,53,-78
32:38.4,36,31,-63
32:38.4,36,33,-59
32:38.4,36,35,-55
32:38.4,36,57,-67
32:38.4,36,34,-61
32:38.4,36,56,-60
32:38.4,36,59,-68
32:38.4,36,37,-49
32:38.4,36,36,-66
32:38.4,36,22,-66
32:38.4,36,21,-70
32:38.4,36,49,-67
32:38.4,36,27,-67
32:38.4,36,24,-64
32:38.4,36,23,-69
32:38.4,36,45,-68
32:38.4,36,26,-64
32:38.4,36,47,-64
32:38.5,36,30,-64
32:38.5,36,55,-73
32:38.5,36,32,-58
32:38.5,36,39,-66
32:38.5,36,38,-62
32:38.5,36,57,-66
32:38.5,36,56,-60
32:38.5,36,37,-49
32:38.5,36,58,-62
32:38.5,36,52,-65
32:38.5,36,22,-65
32:38.5,36,60,-63
32:38.5,36,50,-70
32:38.5,36,49,-68
32:38.5,36,27,-67
32:38.5,36,29,-58
32:38.5,36,24,-64
32:38.5,36,45,-67
32:38.5,36,26,-64
32:38.6,36,53,-75
32:38.6,36,31,-64
32:38.6,36,30,-65
32:38.6,36,55,-70
32:38.6,36,54,-63
32:38.6,36,38,-62
32:38.6,36,35,-55
32:38.6,36,57,-66
32:38.6,36,37,-50
32:38.6,36,52,-66
32:38.6,36,44,-78
32:38.6,36,43,-79
32:38.6,36,21,-76
32:38.6,36,60,-62
32:38.6,36,50,-69
32:38.6,36,49,-67
32:38.6,36,27,-68
32:38.6,36,45,-68
32:38.6,36,26,-64
32:38.7,36,31,-64
32:38.7,36,55,-68
32:38.7,36,33,-58
32:38.7,36,38,-62
32:38.7,36,35,-55
32:38.7,36,56,-62
32:38.7,36,37,-50
32:38.7,36,36,-68
32:38.7,36,42,-68
32:38.7,36,52,-66
32:38.7,36,41,-61
32:38.7,36,22,-65
32:38.7,36,21,-78
32:38.7,36,50,-69
32:38.7,36,28,-61
32:38.7,36,29,-58
32:38.7,36,46,-71
32:38.7,36,26,-64
32:38.7,36,25,-68
32:38.8,36,30,-64
32:38.8,36,55,-68
32:38.8,36,38,-63
32:38.8,36,35,-56
32:38.8,36,57,-65
32:38.8,36,56,-61
32:38.8,36,37,-51
32:38.8,36,42,-67
32:38.8,36,51,-64
32:38.8,36,43,-80
32:38.8,36,21,-79
32:38.8,36,60,-63
32:38.8,36,49,-67
32:38.8,36,29,-58
32:38.8,36,46,-70
32:38.9,36,31,-64
32:38.9,36,55,-69
32:38.9,36,54,-62
32:38.9,36,32,-57
32:38.9,36,39,-66
32:38.9,36,35,-55
32:38.9,36,57,-65
32:38.9,36,52,-65
32:38.9,36,41,-62
32:38.9,36,21,-79
32:38.9,36,40,-68
32:38.9,36,27,-66
32:38.9,36,48,-60
32:39.0,36,30,-65
32:39.0,36,33,-60
32:39.0,36,54,-64
32:39.0,36,32,-57
32:39.0,36,39,-66
32:39.0,36,37,-50
32:39.0,36,58,-62
32:39.0,36,51,-66
32:39.0,36,21,-75
32:39.0,36,60,-62
32:39.0,36,40,-67
32:39.0,36,28,-62
32:39.0,36,27,-66
32:39.0,36,29,-58
32:39.0,36,24,-65
32:39.0,36,46,-71
32:39.0,36,26,-64
32:39.1,36,31,-65
32:39.1,36,32,-57
32:39.1,36,39,-66
32:39.1,36,57,-62
32:39.1,36,58,-62
32:39.1,36,50,-67
32:39.1,36,49,-66
32:39.1,36,23,-68
32:39.1,36,45,-70
32:39.2,36,53,-82
32:39.2,36,30,-65
32:39.2,36,32,-57
32:39.2,36,38,-63
32:39.2,36,35,-55
32:39.2,36,56,-59
32:39.2,36,37,-52
32:39.2,36,36,-71
32:39.2,36,43,-83
32:39.2,36,21,-71
32:39.2,36,40,-68
32:39.2,36,49,-66
32:39.2,36,29,-58
32:39.3,36,33,-60
32:39.3,36,54,-66
32:39.3,36,35,-55
32:39.3,36,34,-63
32:39.3,36,58,-62
32:39.3,36,36,-73
32:39.3,36,42,-66
32:39.3,36,52,-65
32:39.3,36,44,-75
32:39.3,36,22,-65
32:39.3,36,27,-67
32:39.3,36,46,-73
32:39.3,36,23,-67
32:39.3,36,45,-71
32:39.3,36,26,-64
32:39.3,36,25,-67
32:39.4,36,31,-64
32:39.4,36,30,-66
32:39.4,36,33,-60
32:39.4,36,38,-63
32:39.4,36,56,-59
32:39.4,36,58,-62
32:39.4,36,36,-75
32:39.4,36,42,-66
32:39.4,36,52,-66
32:39.4,36,41,-63
32:39.4,36,26,-64
32:39.5,36,31,-64
32:39.5,36,55,-73
32:39.5,36,54,-66
32:39.5,36,35,-55
32:39.5,36,57,-62
32:39.5,36,56,-59
32:39.5,36,59,-69
32:39.5,36,37,-50
32:39.5,36,58,-62
32:39.5,36,42,-66
32:39.5,36,43,-79
32:39.5,36,60,-63
32:39.5,36,40,-70
32:39.5,36,25,-67
32:39.5,36,47,-69
32:39.6,36,33,-60
32:39.6,36,32,-57
32:39.6,36,39,-65
32:39.6,36,35,-55
32:39.6,36,57,-62
32:39.6,36,37,-50
32:39.6,36,42,-66
32:39.6,36,52,-64
32:39.6,36,51,-64
32:39.6,36,44,-74
32:39.6,36,50,-69
32:39.6,36,48,-60
32:39.7,36,54,-68
32:39.7,36,32,-57
32:39.7,36,39,-65
32:39.7,36,35,-55
32:39.7,36,34,-62
32:39.7,36,56,-60
32:39.7,36,58,-62
32:39.7,36,42,-66
32:39.7,36,51,-64
32:39.7,36,44,-74
32:39.7,36,43,-79
32:39.7,36,60,-63
32:39.7,36,28,-63
32:39.7,36,24,-66
32:39.7,36,46,-73
32:39.7,36,23,-68
32:39.7,36,25,-67
32:39.8,36,33,-58
32:39.8,36,32,-57
32:39.8,36,57,-61
32:39.8,36,56,-77
32:39.8,36,37,-50
32:39.8,36,42,-66
32:39.8,36,41,-64
32:39.8,36,44,-74
32:39.8,36,50,-68
32:39.8,36,49,-67
32:39.8,36,29,-57
32:39.8,36,24,-67
32:39.8,36,45,-73
32:39.9,36,32,-62
32:39.9,36,39,-62
32:39.9,36,34,-58
32:39.9,36,56,-76
32:39.9,36,59,-67
32:39.9,36,58,-64
32:39.9,36,42,-66
32:39.9,36,52,-63
32:39.9,36,51,-66
32:39.9,36,44,-71
32:39.9,36,22,-71
32:39.9,36,21,-62
32:39.9,36,60,-61
32:39.9,36,46,-69
32:39.9,36,45,-69
32:40.0,36,31,-62
32:40.0,36,32,-62
32:40.0,36,35,-58
32:40.0,36,34,-58
32:40.0,36,37,-51
32:40.0,36,52,-63
32:40.0,36,51,-66
32:40.0,36,44,-73
32:40.0,36,60,-59
32:40.0,36,29,-54
32:40.0,36,24,-67
32:40.0,36,26,-68
32:40.1,36,53,-66
32:40.1,36,31,-61
32:40.1,36,33,-56
32:40.1,36,54,-69
32:40.1,36,39,-62
32:40.1,36,56,-76
32:40.1,36,37,-52
32:40.1,36,44,-72
32:40.1,36,60,-59
32:40.1,36,24,-69
32:40.2,36,30,-68
32:40.2,36,32,-61
32:40.2,36,39,-62
32:40.2,36,35,-57
32:40.2,36,57,-77
32:40.2,36,34,-58
32:40.2,36,37,-52
32:40.2,36,58,-64
32:40.2,36,42,-66
32:40.2,36,51,-66
32:40.2,36,21,-62
32:40.2,36,28,-58
32:40.2,36,27,-78
32:40.2,36,29,-53
32:40.2,36,24,-69
32:40.2,36,45,-68
32:40.3,36,33,-56
32:40.3,36,54,-68
32:40.3,36,38,-70
32:40.3,36,35,-58
32:40.3,36,42,-66
32:40.3,36,52,-64
32:40.3,36,44,-73
32:40.3,36,21,-62
32:40.3,36,40,-67
32:40.3,36,27,-73
32:40.3,36,24,-68
32:40.4,36,39,-62
32:40.4,36,38,-69
32:40.4,36,34,-58
32:40.4,36,51,-66
32:40.4,36,44,-72
32:40.4,36,21,-62
32:40.4,36,60,-60
32:40.4,36,50,-69
32:40.4,36,28,-58
32:40.4,36,29,-54
32:40.4,36,46,-71
32:40.4,36,45,-65
32:40.4,36,25,-64
32:40.5,36,31,-62
32:40.5,36,30,-67
32:40.5,36,39,-62
32:40.5,36,38,-67
32:40.5,36,34,-58
32:40.5,36,59,-67
32:40.5,36,44,-73
32:40.5,36,22,-70
32:40.5,36,21,-62
32:40.5,36,50,-69
32:40.5,36,28,-58
32:40.5,36,29,-54
32:40.5,36,46,-72
32:40.5,36,45,-66
32:40.5,36,47,-67
32:40.6,36,53,-66
32:40.6,36,31,-62
32:40.6,36,38,-68
32:40.6,36,57,-75
32:40.6,36,34,-58
32:40.6,36,56,-73
32:40.6,36,58,-65
32:40.6,36,36,-73
32:40.6,36,51,-63
32:40.6,36,44,-75
32:40.6,36,43,-66
32:40.6,36,21,-62
32:40.6,36,50,-69
32:40.6,36,28,-58
32:40.6,36,29,-54
32:40.6,36,46,-71
32:40.6,36,48,-68
32:40.7,36,31,-64
32:40.7,36,38,-66
32:40.7,36,35,-58
32:40.7,36,34,-59
32:40.7,36,37,-52
32:40.7,36,58,-67
32:40.7,36,42,-67
32:40.7,36,51,-64
32:40.7,36,22,-69
32:40.7,36,43,-68
32:40.7,36,21,-63
32:40.7,36,60,-62
32:40.7,36,50,-70
32:40.7,36,49,-75
32:40.7,36,28,-59
32:40.9,36,31,-65
32:40.9,36,30,-66
32:40.9,36,32,-60
32:40.9,36,57,-73
32:40.9,36,59,-68
32:40.9,36,37,-52
32:40.9,36,58,-66
32:40.9,36,52,-66
32:40.9,36,44,-75
32:40.9,36,21,-61
32:40.9,36,49,-76
32:40.9,36,28,-59
32:40.9,36,23,-74
32:41.0,36,30,-66
32:41.0,36,38,-65
32:41.0,36,56,-67
32:41.0,36,58,-69
32:41.0,36,51,-67
32:41.0,36,22,-69
32:41.0,36,40,-69
32:41.0,36,24,-67
32:41.0,36,25,-64
32:41.1,36,53,-69
32:41.1,36,32,-59
32:41.1,36,39,-63
32:41.1,36,35,-59
32:41.1,36,34,-61
32:41.1,36,56,-68
32:41.1,36,37,-52
32:41.1,36,58,-68
32:41.1,36,51,-67
32:41.1,36,44,-74
32:41.1,36,43,-69
32:41.1,36,21,-63
32:41.1,36,49,-77
32:41.1,36,27,-75
32:41.1,36,24,-67
32:41.1,36,46,-71
32:41.1,36,25,-64
32:41.2,36,32,-59
32:41.2,36,35,-58
32:41.2,36,57,-75
32:41.2,36,56,-70
32:41.2,36,37,-52
32:41.2,36,58,-68
32:41.2,36,36,-74
32:41.2,36,44,-72
32:41.2,36,21,-64
32:41.2,36,50,-69
32:41.2,36,40,-68
32:41.2,36,28,-58
32:41.2,36,29,-54
32:41.2,36,24,-69
32:41.2,36,45,-68
32:41.2,36,25,-64
32:41.3,36,31,-63
32:41.3,36,30,-65
32:41.3,36,33,-54
32:41.3,36,32,-59
32:41.3,36,39,-62
32:41.3,36,35,-59
32:41.3,36,57,-77
32:41.3,36,37,-52
32:41.3,36,41,-78
32:41.3,36,51,-66
32:41.3,36,21,-61
32:41.3,36,60,-60
32:41.3,36,27,-73
32:41.3,36,24,-69
32:41.3,36,46,-71
32:41.3,36,23,-75
32:41.3,36,25,-63
32:41.4,36,30,-65
32:41.4,36,39,-64
32:41.4,36,37,-53
32:41.4,36,58,-66
32:41.4,36,42,-68
32:41.4,36,52,-65
32:41.4,36,40,-67
32:41.4,36,24,-69
32:41.4,36,23,-73
32:41.4,36,26,-71
32:41.5,36,31,-63
32:41.5,36,55,-72
32:41.5,36,33,-55
32:41.5,36,34,-60
32:41.5,36,59,-67
32:41.5,36,37,-52
32:41.5,36,58,-66
32:41.5,36,51,-65
32:41.5,36,60,-61
32:41.5,36,40,-69
32:41.5,36,28,-58
32:41.5,36,29,-54
32:41.5,36,24,-68
32:41.5,36,45,-68
32:41.5,36,26,-71
32:41.5,36,25,-63
32:41.6,36,53,-68
32:41.6,36,55,-71
32:41.6,36,39,-64
32:41.6,36,38,-66
32:41.6,36,36,-76
32:41.6,36,60,-60
32:41.6,36,49,-75
32:41.6,36,29,-54
32:41.6,36,24,-69
32:41.6,36,26,-69
32:41.7,36,30,-65
32:41.7,36,55,-72
32:41.7,36,54,-71
