TIME,Base,Minor,Rssi
34:36.2,57,53,-60
34:36.2,57,55,-64
34:36.2,57,33,-60
34:36.2,57,34,-53
34:36.2,57,56,-55
34:36.2,57,36,-60
34:36.2,57,51,-62
34:36.2,57,21,-81
34:36.2,57,40,-62
34:36.2,57,23,-69
34:36.3,57,31,-63
34:36.3,57,55,-64
34:36.3,57,32,-68
34:36.3,57,35,-50
34:36.3,57,57,-69
34:36.3,57,58,-73
34:36.3,57,41,-66
34:36.3,57,51,-63
34:36.3,57,22,-91
34:36.3,57,21,-86
34:36.3,57,23,-69
34:36.3,57,25,-68
34:36.3,57,47,-66
34:36.4,57,33,-60
34:36.4,57,32,-65
34:36.4,57,39,-56
34:36.4,57,35,-51
34:36.4,57,57,-73
34:36.4,57,59,-64
34:36.4,57,42,-78
34:36.4,57,52,-71
34:36.4,57,44,-75
34:36.4,57,50,-69
34:36.4,57,40,-62
34:36.4,57,49,-71
34:36.4,57,45,-67
34:36.4,57,25,-66
34:36.5,57,31,-67
34:36.5,57,54,-67
34:36.5,57,32,-66
34:36.5,57,39,-58
34:36.5,57,38,-53
34:36.5,57,57,-69
34:36.5,57,34,-56
34:36.5,57,22,-69
34:36.5,57,43,-69
34:36.5,57,50,-72
34:36.5,57,27,-68
34:36.5,57,29,-73
34:36.5,57,46,-66
34:36.5,57,26,-75
34:36.6,57,31,-66
34:36.6,57,39,-59
34:36.6,57,38,-56
34:36.6,57,56,-55
34:36.6,57,37,-66
34:36.6,57,44,-70
34:36.6,57,22,-70
34:36.6,57,21,-75
34:36.6,57,60,-67
34:36.6,57,50,-70
34:36.6,57,24,-71
34:36.6,57,48,-65
34:36.6,57,26,-68
34:36.7,57,30,-64
34:36.7,57,55,-69
34:36.7,57,32,-66
34:36.7,57,35,-52
34:36.7,57,34,-55
34:36.7,57,42,-75
34:36.7,57,41,-67
34:36.7,57,51,-60
34:36.7,57,21,-76
34:36.7,57,29,-68
34:36.7,57,46,-67
34:36.7,57,45,-71
34:36.7,57,48,-65
34:36.7,57,26,-70
34:36.8,57,31,-64
34:36.8,57,30,-64
34:36.8,57,54,-64
34:36.8,57,32,-68
34:36.8,57,35,-52
34:36.8,57,59,-60
34:36.8,57,42,-73
34:36.8,57,51,-59
34:36.8,57,40,-61
34:36.8,57,45,-75
34:36.8,57,26,-69
34:36.9,57,31,-63
34:36.9,57,33,-63
34:36.9,57,32,-66
34:36.9,57,39,-56
34:36.9,57,35,-53
34:36.9,57,57,-57
34:36.9,57,34,-55
34:36.9,57,56,-63
34:36.9,57,21,-74
34:36.9,57,40,-60
34:36.9,57,28,-68
34:36.9,57,29,-71
34:36.9,57,45,-75
34:36.9,57,26,-69
34:37.1,57,31,-62
34:37.1,57,30,-66
34:37.1,57,33,-63
34:37.1,57,32,-67
34:37.1,57,57,-55
34:37.1,57,34,-55
34:37.1,57,59,-62
34:37.1,57,52,-62
34:37.1,57,51,-59
34:37.1,57,21,-73
34:37.1,57,60,-63
34:37.1,57,50,-68
34:37.1,57,24,-69
34:37.1,57,45,-71
34:37.1,57,25,-69
34:37.1,57,47,-62
34:37.2,57,55,-67
34:37.2,57,32,-68
34:37.2,57,57,-56
34:37.2,57,34,-54
34:37.2,57,59,-61
34:37.2,57,37,-63
34:37.2,57,42,-86
