TIME,Base,Minor,Rssi
32:23.6,35,53,-66
32:23.6,35,31,-52
32:23.6,35,30,-62
32:23.6,35,57,-57
32:23.6,35,37,-66
32:23.6,35,36,-62
32:23.6,35,42,-75
32:23.6,35,51,-74
32:23.6,35,22,-67
32:23.6,35,24,-76
32:23.6,35,25,-62
32:23.6,35,47,-68
32:23.7,35,53,-66
32:23.7,35,31,-51
32:23.7,35,55,-63
32:23.7,35,38,-68
32:23.7,35,35,-49
32:23.7,35,57,-56
32:23.7,35,34,-55
32:23.7,35,41,-60
32:23.7,35,51,-72
32:23.7,35,21,-65
32:23.7,35,28,-67
32:23.7,35,46,-67
32:23.7,35,23,-68
32:23.7,35,45,-65
32:23.7,35,48,-68
32:23.7,35,26,-68
32:23.8,35,30,-66
32:23.8,35,55,-62
32:23.8,35,33,-55
32:23.8,35,39,-68
32:23.8,35,38,-67
32:23.8,35,57,-55
32:23.8,35,56,-50
32:23.8,35,59,-68
32:23.8,35,44,-77
32:23.8,35,21,-66
32:23.8,35,50,-68
32:23.8,35,40,-72
32:23.8,35,23,-68
32:23.8,35,25,-63
32:23.8,35,47,-71
32:23.9,35,31,-52
32:23.9,35,30,-68
32:23.9,35,55,-61
32:23.9,35,54,-73
32:23.9,35,39,-69
32:23.9,35,38,-68
32:23.9,35,35,-49
32:23.9,35,57,-54
32:23.9,35,37,-64
32:23.9,35,58,-57
32:23.9,35,44,-79
32:23.9,35,21,-67
32:23.9,35,49,-70
32:23.9,35,28,-68
32:23.9,35,27,-68
32:23.9,35,48,-67
32:24.0,35,53,-62
32:24.0,35,31,-52
32:24.0,35,55,-62
32:24.0,35,33,-55
32:24.0,35,54,-70
32:24.0,35,39,-69
32:24.0,35,38,-69
32:24.0,35,57,-54
32:24.0,35,56,-50
32:24.0,35,37,-63
32:24.0,35,58,-57
32:24.0,35,51,-69
32:24.0,35,44,-80
32:24.0,35,21,-69
32:24.0,35,28,-69
32:24.0,35,29,-58
32:24.0,35,46,-68
32:24.0,35,25,-68
32:24.1,35,53,-62
32:24.1,35,31,-51
32:24.1,35,30,-67
32:24.1,35,55,-61
32:24.1,35,33,-55
32:24.1,35,54,-71
32:24.1,35,39,-69
32:24.1,35,35,-49
32:24.1,35,56,-50
32:24.1,35,52,-69
32:24.1,35,41,-68
32:24.1,35,49,-67
32:24.1,35,28,-73
32:24.1,35,27,-67
32:24.1,35,45,-68
32:24.1,35,48,-65
32:24.2,35,53,-59
32:24.2,35,55,-60
32:24.2,35,33,-55
32:24.2,35,38,-72
32:24.2,35,35,-49
32:24.2,35,57,-55
32:24.2,35,34,-55
32:24.2,35,56,-49
32:24.2,35,37,-62
32:24.2,35,58,-56
32:24.2,35,36,-59
32:24.2,35,42,-73
32:24.2,35,51,-69
32:24.2,35,22,-69
32:24.2,35,60,-60
32:24.2,35,28,-69
32:24.2,35,29,-55
32:24.2,35,46,-68
32:24.3,35,53,-60
32:24.3,35,31,-53
32:24.3,35,30,-69
32:24.3,35,55,-60
32:24.3,35,33,-54
32:24.3,35,32,-61
32:24.3,35,38,-71
32:24.3,35,34,-54
32:24.3,35,56,-49
32:24.3,35,37,-62
32:24.3,35,51,-67
32:24.3,35,44,-75
32:24.3,35,22,-73
32:24.3,35,43,-65
32:24.3,35,60,-61
32:24.3,35,28,-69
32:24.3,35,46,-71
32:24.4,35,53,-59
32:24.4,35,55,-58
32:24.4,35,54,-63
32:24.4,35,57,-55
32:24.4,35,34,-55
32:24.4,35,37,-61
32:24.4,35,58,-55
32:24.4,35,52,-68
32:24.4,35,51,-66
32:24.4,35,44,-78
32:24.4,35,22,-74
32:24.4,35,43,-66
32:24.4,35,21,-76
32:24.4,35,46,-75
32:24.4,35,45,-70
32:24.4,35,48,-62
32:24.4,35,47,-74
32:24.5,35,53,-59
32:24.5,35,55,-57
32:24.5,35,33,-53
32:24.5,35,38,-69
32:24.5,35,56,-49
32:24.5,35,58,-55
32:24.5,35,52,-68
32:24.5,35,44,-77
32:24.5,35,49,-68
32:24.5,35,28,-67
32:24.5,35,23,-68
32:24.5,35,25,-67
32:24.6,35,53,-59
32:24.6,35,31,-51
32:24.6,35,55,-57
32:24.6,35,33,-54
32:24.6,35,32,-62
32:24.6,35,35,-48
32:24.6,35,37,-61
32:24.6,35,58,-54
32:24.6,35,52,-67
32:24.6,35,51,-68
32:24.6,35,44,-79
32:24.6,35,22,-79
32:24.6,35,50,-67
32:24.6,35,49,-69
32:24.6,35,46,-77
32:24.8,35,55,-57
32:24.8,35,59,-71
32:24.8,35,46,-77
32:24.8,35,48,-60
32:24.8,35,25,-67
32:24.8,35,47,-80
32:24.9,35,53,-60
32:24.9,35,55,-57
32:24.9,35,32,-63
32:24.9,35,39,-71
32:24.9,35,38,-70
32:24.9,35,35,-49
32:24.9,35,58,-55
32:24.9,35,52,-66
32:24.9,35,44,-77
32:24.9,35,43,-64
32:24.9,35,29,-58
32:24.9,35,24,-73
32:24.9,35,46,-76
32:24.9,35,23,-68
32:24.9,35,26,-65
32:25.0,35,31,-51
32:25.0,35,55,-57
32:25.0,35,33,-53
32:25.0,35,34,-55
32:25.0,35,56,-49
32:25.0,35,59,-71
32:25.0,35,58,-55
32:25.0,35,51,-70
32:25.0,35,44,-77
32:25.0,35,43,-64
32:25.0,35,49,-68
32:25.0,35,27,-67
32:25.0,35,46,-75
32:25.1,35,55,-58
32:25.1,35,33,-53
32:25.1,35,54,-65
32:25.1,35,38,-74
32:25.1,35,57,-56
32:25.1,35,56,-49
32:25.1,35,37,-60
32:25.1,35,58,-55
32:25.1,35,36,-57
32:25.1,35,22,-76
32:25.1,35,43,-63
32:25.1,35,50,-69
32:25.1,35,40,-71
32:25.1,35,24,-71
32:25.1,35,46,-78
32:25.2,35,55,-58
32:25.2,35,33,-53
32:25.2,35,32,-64
32:25.2,35,39,-68
32:25.2,35,38,-75
32:25.2,35,37,-60
32:25.2,35,58,-55
32:25.2,35,36,-58
32:25.2,35,51,-71
32:25.2,35,60,-61
32:25.2,35,27,-69
32:25.2,35,29,-58
32:25.2,35,46,-80
32:25.2,35,45,-71
32:25.3,35,53,-59
32:25.3,35,31,-51
32:25.3,35,55,-58
32:25.3,35,38,-75
32:25.3,35,57,-56
32:25.3,35,34,-55
32:25.3,35,56,-49
32:25.3,35,58,-55
32:25.3,35,44,-76
32:25.3,35,21,-80
32:25.3,35,60,-61
32:25.3,35,40,-72
32:25.3,35,29,-58
32:25.3,35,48,-60
32:25.3,35,26,-65
32:25.3,35,25,-67
32:25.4,35,30,-67
32:25.4,35,57,-56
32:25.4,35,59,-71
32:25.4,35,58,-55
32:25.4,35,36,-58
32:25.4,35,51,-72
32:25.4,35,40,-73
32:25.4,35,27,-68
32:25.4,35,29,-59
32:25.4,35,46,-80
32:25.4,35,26,-65
32:25.4,35,25,-68
32:25.5,35,32,-64
32:25.5,35,38,-75
32:25.5,35,35,-49
32:25.5,35,57,-56
32:25.5,35,56,-49
32:25.5,35,59,-70
32:25.5,35,52,-65
32:25.5,35,41,-65
32:25.5,35,51,-71
32:25.5,35,43,-64
32:25.5,35,60,-61
32:25.5,35,40,-73
32:25.5,35,49,-68
