TIME,Base,Minor,Rssi
29:01.0,24,55,-77
29:01.0,24,38,-71
29:01.0,24,56,-62
29:01.0,24,37,-68
29:01.0,24,36,-72
29:01.0,24,58,-64
29:01.0,24,21,-73
29:01.0,24,29,-64
29:01.0,24,46,-69
29:01.0,24,23,-55
29:01.1,24,55,-75
29:01.1,24,54,-71
29:01.1,24,37,-67
29:01.1,24,36,-71
29:01.1,24,52,-65
29:01.1,24,41,-59
29:01.1,24,22,-58
29:01.1,24,44,-61
29:01.1,24,50,-63
29:01.1,24,29,-65
29:01.1,24,26,-55
29:01.1,24,25,-57
29:01.2,24,55,-70
29:01.2,24,57,-78
29:01.2,24,36,-73
29:01.2,24,22,-60
29:01.2,24,44,-60
29:01.2,24,29,-65
29:01.2,24,24,-51
29:01.2,24,25,-58
29:01.3,24,30,-68
29:01.3,24,39,-68
29:01.3,24,57,-81
29:01.3,24,37,-64
29:01.3,24,58,-66
29:01.3,24,52,-66
29:01.3,24,22,-60
29:01.3,24,44,-60
29:01.3,24,43,-70
29:01.3,24,28,-56
29:01.3,24,27,-71
29:01.3,24,29,-67
29:01.3,24,46,-68
29:01.3,24,45,-68
29:01.4,24,53,-69
29:01.4,24,31,-68
29:01.4,24,55,-68
29:01.4,24,57,-77
29:01.4,24,59,-70
29:01.4,24,37,-64
29:01.4,24,42,-61
29:01.4,24,51,-67
29:01.4,24,43,-69
29:01.4,24,50,-65
29:01.4,24,40,-80
29:01.4,24,24,-49
29:01.4,24,23,-64
29:01.4,24,47,-66
29:01.5,24,53,-70
29:01.5,24,30,-69
29:01.5,24,32,-78
29:01.5,24,57,-76
29:01.5,24,34,-73
29:01.5,24,59,-72
29:01.5,24,52,-66
29:01.5,24,22,-58
29:01.5,24,44,-60
29:01.5,24,43,-68
29:01.5,24,28,-57
29:01.5,24,24,-48
29:01.5,24,45,-61
29:01.5,24,48,-69
29:01.5,24,25,-53
29:01.6,24,30,-70
29:01.6,24,55,-68
29:01.6,24,33,-74
29:01.6,24,32,-77
29:01.6,24,54,-79
29:01.6,24,39,-67
29:01.6,24,56,-64
29:01.6,24,59,-71
29:01.6,24,42,-60
29:01.6,24,52,-68
29:01.6,24,51,-66
29:01.6,24,43,-67
29:01.6,24,49,-77
29:01.6,24,27,-69
29:01.6,24,23,-62
29:01.6,24,25,-52
29:01.7,24,33,-76
29:01.7,24,57,-75
29:01.7,24,37,-64
29:01.7,24,58,-68
29:01.7,24,41,-64
29:01.7,24,22,-58
29:01.7,24,44,-59
29:01.7,24,40,-79
29:01.7,24,29,-68
29:01.7,24,46,-66
29:01.7,24,23,-60
29:01.7,24,45,-61
29:01.7,24,48,-67
29:01.7,24,25,-52
29:01.8,24,55,-66
29:01.8,24,54,-76
29:01.8,24,56,-64
29:01.8,24,59,-70
29:01.8,24,37,-65
29:01.8,24,36,-87
29:01.8,24,58,-67
29:01.8,24,42,-61
29:01.8,24,52,-68
29:01.8,24,41,-65
29:01.8,24,44,-59
29:01.8,24,50,-68
29:01.8,24,40,-77
29:01.8,24,49,-80
29:01.8,24,24,-48
29:01.8,24,46,-67
29:01.8,24,45,-61
29:01.8,24,47,-67
29:01.8,24,25,-53
29:01.9,24,53,-72
29:01.9,24,54,-77
29:01.9,24,34,-73
29:01.9,24,36,-82
29:01.9,24,22,-59
29:01.9,24,50,-64
29:01.9,24,28,-57
29:01.9,24,24,-47
29:01.9,24,46,-68
29:02.0,24,33,-73
29:02.0,24,54,-72
29:02.0,24,38,-69
29:02.0,24,34,-72
29:02.0,24,59,-72
29:02.0,24,58,-67
29:02.0,24,52,-67
29:02.0,24,51,-66
29:02.0,24,22,-58
29:02.0,24,44,-59
29:02.0,24,21,-62
29:02.0,24,27,-67
29:02.0,24,24,-48
29:02.0,24,46,-68
29:02.0,24,23,-61
29:02.1,24,55,-66
29:02.1,24,54,-73
29:02.1,24,39,-68
29:02.1,24,56,-64
29:02.1,24,59,-71
29:02.1,24,37,-65
29:02.1,24,36,-77
29:02.1,24,22,-58
29:02.1,24,21,-63
29:02.1,24,49,-79
29:02.1,24,24,-47
29:02.1,24,46,-67
29:02.1,24,45,-61
29:02.1,24,25,-53
29:02.2,24,31,-69
29:02.2,24,54,-72
29:02.2,24,58,-67
29:02.2,24,42,-61
29:02.2,24,52,-67
29:02.2,24,43,-66
29:02.2,24,40,-80
29:02.2,24,49,-77
29:02.2,24,28,-58
29:02.2,24,27,-67
29:02.2,24,24,-48
