board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc,insert_dt
K015,1,12:21.8,1,57,76,0,0,59,\N,12:21.9
K015,4,12:21.8,1,60,0,0,70,0,\N,12:21.9
K010,1,12:21.8,1,37,89,77,85,61,\N,12:21.9
K010,2,12:21.8,1,38,0,0,120,57,\N,12:21.9
K010,3,12:21.8,1,39,72,0,0,118,\N,12:21.9
K014,4,12:21.9,1,56,999,999,890,999,\N,12:21.9
K009,3,12:22.0,1,35,999,999,999,999,\N,12:22.3
K015,1,12:22.1,1,57,67,0,0,60,\N,12:22.3
K015,4,12:22.1,1,60,0,0,70,0,\N,12:22.3
K010,1,12:22.1,1,37,88,76,85,61,\N,12:22.3
K010,2,12:22.1,1,38,0,0,121,59,\N,12:22.3
K010,3,12:22.1,1,39,72,0,0,118,\N,12:22.3
K014,4,12:22.3,1,56,999,999,999,999,\N,12:22.3
K009,3,12:22.3,1,35,904,993,970,817,\N,12:22.3
K015,1,12:22.4,1,57,69,0,0,58,\N,12:22.8
K015,4,12:22.4,1,60,0,0,70,0,\N,12:22.8
K010,1,12:22.4,1,37,90,81,88,58,\N,12:22.8
K010,2,12:22.4,1,38,0,0,118,60,\N,12:22.8
K010,3,12:22.4,1,39,75,0,0,118,\N,12:22.8
K014,4,12:22.6,1,56,114,420,0,199,\N,12:22.8
K009,3,12:22.6,1,35,999,999,999,999,\N,12:22.8
K009,4,12:22.6,1,36,0,0,54,0,\N,12:22.8
K015,1,12:22.7,1,57,73,0,0,60,\N,12:22.8
K015,4,12:22.7,1,60,0,0,70,0,\N,12:22.8
K010,1,12:22.7,1,37,89,84,91,0,\N,12:22.8
K010,2,12:22.7,1,38,0,0,118,68,\N,12:22.8
K010,3,12:22.7,1,39,73,0,0,117,\N,12:22.8
K014,4,12:22.9,1,56,999,999,999,999,\N,12:23.2
K009,3,12:22.9,1,35,68,236,375,86,\N,12:23.2
K015,1,12:23.0,1,57,65,0,0,57,\N,12:23.2
K015,4,12:23.0,1,60,0,0,71,0,\N,12:23.2
K010,1,12:23.1,1,37,87,74,83,65,\N,12:23.2
K010,2,12:23.1,1,38,0,0,119,0,\N,12:23.2
K010,3,12:23.1,1,39,69,0,0,119,\N,12:23.2
K014,4,12:23.2,1,56,999,999,914,999,\N,12:23.7
K009,3,12:23.2,1,35,999,999,999,797,\N,12:23.7
K015,1,12:23.3,1,57,74,0,0,55,\N,12:23.7
K015,4,12:23.3,1,60,0,0,70,0,\N,12:23.7
K010,1,12:23.4,1,37,89,74,85,65,\N,12:23.7
K010,2,12:23.4,1,38,0,0,117,0,\N,12:23.7
K010,3,12:23.4,1,39,73,0,0,119,\N,12:23.7
K014,4,12:23.5,1,56,999,999,726,999,\N,12:23.7
K009,3,12:23.5,1,35,999,999,999,999,\N,12:23.7
K015,1,12:23.6,1,57,67,0,0,56,\N,12:23.7
K015,4,12:23.6,1,60,0,0,70,0,\N,12:23.7
K010,1,12:23.7,1,37,88,74,84,64,\N,12:24.1
K010,2,12:23.7,1,38,0,0,116,0,\N,12:24.1
K010,3,12:23.7,1,39,72,0,0,119,\N,12:24.1
K014,4,12:23.8,1,56,999,999,797,999,\N,12:24.1
K009,3,12:23.8,1,35,999,999,999,999,\N,12:24.1
K015,1,12:23.9,1,57,59,0,0,56,\N,12:24.1
K015,4,12:23.9,1,60,0,0,71,0,\N,12:24.1
K010,1,12:24.0,1,37,88,74,84,64,\N,12:24.1
K010,2,12:24.0,1,38,0,0,115,51,\N,12:24.1
K010,3,12:24.0,1,39,73,0,0,118,\N,12:24.1
K009,3,12:24.1,1,35,999,999,999,999,\N,12:24.5
K014,4,12:24.2,1,56,999,999,939,999,\N,12:24.5
K015,1,12:24.3,1,57,59,0,0,56,\N,12:24.5
K015,4,12:24.3,1,60,0,0,72,0,\N,12:24.5
K010,1,12:24.3,1,37,88,73,84,64,\N,12:24.5
K010,2,12:24.3,1,38,0,0,116,0,\N,12:24.5
K010,3,12:24.3,1,39,72,0,0,118,\N,12:24.5
K009,3,12:24.5,1,35,999,999,999,999,\N,12:24.5
K014,4,12:24.5,1,56,999,999,999,999,\N,12:24.5
K015,1,12:24.6,1,57,58,0,0,56,\N,12:25.0
K015,4,12:24.6,1,60,0,0,72,0,\N,12:25.0
K010,1,12:24.6,1,37,88,74,84,63,\N,12:25.0
K010,2,12:24.6,1,38,0,0,115,0,\N,12:25.0
K010,3,12:24.6,1,39,72,0,0,118,\N,12:25.0
K014,4,12:24.8,1,56,999,999,999,999,\N,12:25.0
K009,3,12:24.8,1,35,999,999,999,999,\N,12:25.0
K015,1,12:24.9,1,57,59,0,0,57,\N,12:25.0
K015,4,12:24.9,1,60,0,0,71,0,\N,12:25.0
K010,1,12:24.9,1,37,88,74,84,63,\N,12:25.0
K010,2,12:24.9,1,38,0,0,115,0,\N,12:25.0
K010,3,12:24.9,1,39,72,0,0,118,\N,12:25.0
K014,4,12:25.1,1,56,999,999,976,999,\N,12:25.4
K009,3,12:25.1,1,35,999,999,999,999,\N,12:25.4
K015,1,12:25.2,1,57,60,0,0,57,\N,12:25.4
K015,4,12:25.2,1,60,0,0,71,0,\N,12:25.4
K010,1,12:25.2,1,37,88,74,84,64,\N,12:25.4
K010,2,12:25.2,1,38,0,0,116,0,\N,12:25.4
K010,3,12:25.2,1,39,72,0,0,118,\N,12:25.4
K009,3,12:25.4,1,35,999,999,999,999,\N,12:25.4
K014,4,12:25.4,1,56,999,999,978,999,\N,12:25.4
K015,1,12:25.5,1,57,57,0,0,57,\N,12:25.8
K015,4,12:25.5,1,60,0,0,72,0,\N,12:25.8
K010,1,12:25.5,1,37,88,74,84,64,\N,12:25.8
K010,2,12:25.5,1,38,0,0,116,0,\N,12:25.8
K010,3,12:25.5,1,39,72,0,0,118,\N,12:25.8
K014,4,12:25.8,1,56,999,999,979,999,\N,12:25.8
K015,1,12:25.8,1,57,57,0,0,57,\N,12:25.8
K015,4,12:25.8,1,60,0,0,72,0,\N,12:25.8
K009,3,12:25.8,1,35,999,999,999,999,\N,12:25.8
K010,1,12:25.8,1,37,88,74,84,64,\N,12:25.8
K010,2,12:25.8,1,38,0,0,116,0,\N,12:25.8
K010,3,12:25.8,1,39,72,0,0,118,\N,12:25.8
K009,3,12:26.0,1,35,999,999,999,999,\N,12:26.2
K014,4,12:26.1,1,56,999,999,981,999,\N,12:26.2
K015,1,12:26.1,1,57,57,0,0,58,\N,12:26.2
K015,4,12:26.1,1,60,0,0,72,0,\N,12:26.2
K010,1,12:26.1,1,37,88,73,84,64,\N,12:26.2
K010,2,12:26.1,1,38,0,0,116,0,\N,12:26.2
K010,3,12:26.1,1,39,72,0,0,118,\N,12:26.2
K009,3,12:26.3,1,35,999,999,999,999,\N,12:26.7
K014,4,12:26.4,1,56,999,999,978,999,\N,12:26.7
K015,1,12:26.4,1,57,57,0,0,58,\N,12:26.7
K015,4,12:26.4,1,60,0,0,72,0,\N,12:26.7
K010,1,12:26.4,1,37,88,74,84,64,\N,12:26.7
K010,2,12:26.4,1,38,0,0,116,0,\N,12:26.7
K010,3,12:26.4,1,39,72,0,0,118,\N,12:26.7
K009,3,12:26.6,1,35,999,999,999,999,\N,12:26.7
K014,4,12:26.7,1,56,999,999,984,999,\N,12:26.7
K015,1,12:26.7,1,57,57,0,0,58,\N,12:26.7
K015,4,12:26.7,1,60,0,0,72,0,\N,12:26.7
K010,1,12:26.7,1,37,88,73,84,64,\N,12:27.1
K010,2,12:26.7,1,38,0,0,116,0,\N,12:27.1
K010,3,12:26.7,1,39,72,0,0,118,\N,12:27.1
K009,3,12:26.9,1,35,999,999,999,999,\N,12:27.1
K014,4,12:27.0,1,56,999,999,985,999,\N,12:27.1
K015,1,12:27.0,1,57,57,0,0,58,\N,12:27.1
K015,4,12:27.0,1,60,0,0,72,0,\N,12:27.1
K010,1,12:27.0,1,37,88,73,84,64,\N,12:27.1
K010,2,12:27.0,1,38,0,0,117,0,\N,12:27.1
K010,3,12:27.0,1,39,72,0,0,118,\N,12:27.1
K009,3,12:27.2,1,35,999,999,999,999,\N,12:27.6
K015,1,12:27.3,1,57,57,0,0,58,\N,12:27.6
K015,4,12:27.3,1,60,0,0,72,0,\N,12:27.6
K010,1,12:27.3,1,37,88,73,83,64,\N,12:27.6
K010,2,12:27.3,1,38,0,0,116,0,\N,12:27.6
K010,3,12:27.3,1,39,72,0,0,118,\N,12:27.6
K014,4,12:27.4,1,56,999,999,977,999,\N,12:27.6
K009,3,12:27.5,1,35,999,999,999,999,\N,12:27.6
K015,1,12:27.6,1,57,56,0,0,58,\N,12:27.6
K015,4,12:27.6,1,60,0,0,72,0,\N,12:27.6
K014,4,12:27.6,1,56,999,999,966,999,\N,12:28.1
K010,1,12:27.7,1,37,88,73,84,64,\N,12:28.1
K010,2,12:27.7,1,38,0,0,116,0,\N,12:28.1
K010,3,12:27.7,1,39,72,0,0,118,\N,12:28.1
K015,1,12:27.9,1,57,56,0,0,58,\N,12:28.1
K015,4,12:27.9,1,60,0,0,72,0,\N,12:28.1
K009,3,12:27.9,1,35,999,999,999,999,\N,12:28.1
K014,4,12:27.9,1,56,999,999,969,999,\N,12:28.1
K010,1,12:28.0,1,37,88,73,83,64,\N,12:28.1
K010,2,12:28.0,1,38,0,0,116,0,\N,12:28.1
K010,3,12:28.0,1,39,72,0,0,118,\N,12:28.1
K009,3,12:28.2,1,35,999,999,999,999,\N,12:28.4
K015,1,12:28.2,1,57,56,0,0,58,\N,12:28.4
K015,4,12:28.2,1,60,0,0,72,0,\N,12:28.4
K014,4,12:28.3,1,56,999,999,971,999,\N,12:28.4
K010,1,12:28.3,1,37,88,73,83,64,\N,12:28.4
K010,2,12:28.3,1,38,0,0,116,0,\N,12:28.4
K010,3,12:28.3,1,39,72,0,0,118,\N,12:28.4
K009,3,12:28.5,1,35,999,999,999,999,\N,12:28.9
K015,1,12:28.5,1,57,56,0,0,58,\N,12:28.9
K015,4,12:28.5,1,60,0,0,72,0,\N,12:28.9
K014,4,12:28.6,1,56,999,999,969,999,\N,12:28.9
K010,1,12:28.6,1,37,88,73,84,64,\N,12:28.9
K010,2,12:28.6,1,38,0,0,117,0,\N,12:28.9
K010,3,12:28.6,1,39,72,0,0,118,\N,12:28.9
K009,3,12:28.8,1,35,999,999,999,999,\N,12:28.9
K015,1,12:28.8,1,57,55,0,0,58,\N,12:28.9
K015,4,12:28.8,1,60,0,0,72,0,\N,12:28.9
K014,4,12:28.9,1,56,999,999,980,999,\N,12:28.9
K010,1,12:28.9,1,37,88,73,83,64,\N,12:29.3
K010,2,12:28.9,1,38,0,0,117,0,\N,12:29.3
K010,3,12:28.9,1,39,72,0,0,118,\N,12:29.3
K009,3,12:29.1,1,35,999,999,999,999,\N,12:29.3
K015,1,12:29.1,1,57,52,0,0,57,\N,12:29.3
K015,4,12:29.1,1,60,0,0,74,0,\N,12:29.3
K010,1,12:29.2,1,37,88,73,83,64,\N,12:29.3
K010,2,12:29.2,1,38,0,0,116,0,\N,12:29.3
K010,3,12:29.2,1,39,72,0,0,118,\N,12:29.3
K014,4,12:29.2,1,56,998,999,999,999,\N,12:29.3
K009,3,12:29.4,1,35,999,999,999,999,\N,12:29.7
K015,1,12:29.4,1,57,51,0,0,58,\N,12:29.7
K015,4,12:29.4,1,60,0,0,75,0,\N,12:29.7
K014,4,12:29.5,1,56,741,974,347,881,\N,12:29.7
K010,1,12:29.5,1,37,89,76,85,58,\N,12:29.7
K010,2,12:29.5,1,38,0,60,113,55,\N,12:29.7
K010,3,12:29.5,1,39,75,0,0,117,\N,12:29.7
K009,3,12:29.7,1,35,999,999,999,999,\N,12:29.7
K009,4,12:29.7,1,36,0,0,59,0,\N,12:29.7
K015,1,12:29.7,1,57,78,0,0,59,\N,12:29.7
K015,4,12:29.7,1,60,0,0,72,0,\N,12:29.7
K010,1,12:29.8,1,37,86,83,92,57,\N,12:30.2
K010,2,12:29.8,1,38,0,65,112,73,\N,12:30.2
K010,3,12:29.8,1,39,74,0,0,116,\N,12:30.2
K014,4,12:29.8,1,56,999,999,185,999,\N,12:30.2
K009,3,12:30.0,1,35,87,0,0,0,\N,12:30.2
K015,1,12:30.0,1,57,82,0,0,60,\N,12:30.2
K015,4,12:30.0,1,60,0,0,71,0,\N,12:30.2
K010,1,12:30.1,1,37,83,75,82,67,\N,12:30.2
K010,2,12:30.1,1,38,0,0,125,0,\N,12:30.2
K010,3,12:30.1,1,39,66,0,0,119,\N,12:30.2
K014,4,12:30.1,1,56,999,999,999,999,\N,12:30.2
K009,3,12:30.3,1,35,88,0,0,0,\N,12:30.5
K015,1,12:30.3,1,57,69,0,0,61,\N,12:30.5
K015,4,12:30.3,1,60,0,0,71,0,\N,12:30.5
K010,1,12:30.4,1,37,84,75,83,67,\N,12:30.5
K010,2,12:30.4,1,38,0,0,127,0,\N,12:30.5
K010,3,12:30.4,1,39,68,0,0,120,\N,12:30.5
K014,4,12:30.5,1,56,999,999,999,999,\N,12:30.5
K009,3,12:30.6,1,35,85,0,0,0,\N,12:31.0
K015,1,12:30.7,1,57,69,0,0,57,\N,12:31.0
K015,4,12:30.7,1,60,0,0,72,0,\N,12:31.0
K010,1,12:30.7,1,37,84,75,83,67,\N,12:31.0
K010,2,12:30.7,1,38,0,0,129,0,\N,12:31.0
K010,3,12:30.7,1,39,67,0,0,121,\N,12:31.0
K014,4,12:30.7,1,56,101,199,0,0,\N,12:31.0
K009,3,12:30.9,1,35,83,0,0,0,\N,12:31.0
Break,,,,,,,,,,
K010,1,12:35.6,1,37,85,71,86,70,\N,12:35.7
K010,2,12:35.6,1,38,0,0,126,0,\N,12:35.7
K010,3,12:35.6,1,39,74,0,0,123,\N,12:35.7
K014,4,12:35.6,1,56,87,192,0,0,\N,12:35.7
K009,3,12:35.8,1,35,999,999,999,999,\N,12:36.2
K015,1,12:35.8,1,57,72,0,0,61,\N,12:36.2
K015,4,12:35.8,1,60,0,0,71,0,\N,12:36.2
K010,1,12:35.9,1,37,84,59,100,73,\N,12:36.2
K010,2,12:35.9,1,38,0,70,110,69,\N,12:36.2
K010,3,12:35.9,1,39,81,0,0,120,\N,12:36.2
K014,4,12:35.9,1,56,91,195,0,0,\N,12:36.2
K009,4,12:35.8,1,36,0,0,95,0,\N,12:36.2
K015,1,12:36.1,1,57,73,0,0,58,\N,12:36.2
K015,4,12:36.1,1,60,0,0,71,0,\N,12:36.2
K009,3,12:36.2,1,35,999,999,999,999,\N,12:36.2
K010,1,12:36.2,1,37,85,59,91,73,\N,12:36.6
K010,2,12:36.2,1,38,109,88,149,188,\N,12:36.6
K010,3,12:36.2,1,39,69,0,0,126,\N,12:36.6
K014,4,12:36.2,1,56,93,194,0,0,\N,12:36.6
K015,1,12:36.4,1,57,83,53,0,69,\N,12:36.6
K015,4,12:36.4,1,60,0,0,70,0,\N,12:36.6
K009,3,12:36.4,1,35,489,224,234,449,\N,12:36.6
K010,1,12:36.5,1,37,86,62,91,65,\N,12:36.6
K010,2,12:36.5,1,38,999,999,999,999,\N,12:36.6
K014,4,12:36.5,1,56,92,195,0,0,\N,12:36.6
K010,3,12:36.5,1,39,132,0,0,62,\N,12:37.1
K015,1,12:36.7,1,57,84,0,0,71,\N,12:37.1
K015,4,12:36.7,1,60,0,0,72,0,\N,12:37.1
K009,3,12:36.7,1,35,999,999,999,849,\N,12:37.1
K010,1,12:36.8,1,37,84,71,102,68,\N,12:37.1
K010,2,12:36.8,1,38,999,999,999,999,\N,12:37.1
K014,4,12:36.8,1,56,92,195,0,0,\N,12:37.1
K010,3,12:36.8,1,39,70,0,0,119,\N,12:37.1
