board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc,insert_dt
K010,1,19:14.1,1,37,81,0,95,126,\N,19:14.1
K010,2,19:14.1,1,38,0,59,196,0,\N,19:14.1
K010,3,19:14.1,1,39,106,0,0,168,\N,19:14.1
K010,4,19:14.1,1,40,0,0,59,54,\N,19:14.1
K014,4,19:14.2,1,56,231,999,999,999,\N,19:14.6
K015,1,19:14.2,1,57,466,315,54,130,\N,19:14.6
K009,3,19:14.3,1,35,108,74,81,0,\N,19:14.6
K009,4,19:14.3,1,36,0,0,54,0,\N,19:14.6
K010,1,19:14.4,1,37,82,0,95,125,\N,19:14.6
K010,2,19:14.4,1,38,0,77,196,0,\N,19:14.6
K010,3,19:14.4,1,39,105,0,0,168,\N,19:14.6
K010,4,19:14.4,1,40,0,0,59,54,\N,19:14.6
K015,4,19:14.2,1,60,65,0,156,0,\N,19:14.6
K015,1,19:14.5,1,57,999,999,65,0,\N,19:14.6
K015,4,19:14.5,1,60,59,0,151,0,\N,19:14.6
K014,4,19:14.6,1,56,0,999,999,999,\N,19:15.0
K009,3,19:14.7,1,35,0,0,999,999,\N,19:15.0
K010,1,19:14.7,1,37,107,0,128,118,\N,19:15.0
K010,2,19:14.7,1,38,999,999,287,95,\N,19:15.0
K009,4,19:14.7,1,36,0,0,56,0,\N,19:15.0
K014,4,19:14.9,1,56,170,320,482,573,\N,19:15.0
K010,3,19:14.7,1,39,88,0,0,188,\N,19:15.0
K010,4,19:14.7,1,40,0,0,59,0,\N,19:15.0
K015,1,19:15.0,1,57,394,233,0,100,\N,19:15.0
K015,4,19:15.0,1,60,76,0,127,55,\N,19:15.0
K009,3,19:15.0,1,35,134,112,999,999,\N,19:15.3
K010,1,19:15.0,1,37,87,0,97,136,\N,19:15.3
K010,2,19:15.0,1,38,999,999,214,0,\N,19:15.3
K010,3,19:15.0,1,39,80,0,0,198,\N,19:15.3
K010,4,19:15.0,1,40,0,0,59,0,\N,19:15.3
K009,4,19:15.0,1,36,51,0,60,0,\N,19:15.3
K014,4,19:15.1,1,56,173,668,999,999,\N,19:15.3
K015,1,19:15.1,1,57,757,609,0,115,\N,19:15.3
K015,4,19:15.1,1,60,75,0,122,54,\N,19:15.3
K010,1,19:15.3,1,37,82,0,101,119,\N,19:15.3
K010,2,19:15.3,1,38,999,999,182,0,\N,19:15.3
K009,3,19:15.3,1,35,75,0,999,999,\N,19:15.3
K009,4,19:15.3,1,36,0,0,57,0,\N,19:15.3
K010,3,19:15.3,1,39,91,0,0,190,\N,19:15.3
K010,4,19:15.3,1,40,0,0,59,0,\N,19:15.3
K014,4,19:15.4,1,56,0,984,999,999,\N,19:15.7
K015,1,19:15.4,1,57,900,782,0,136,\N,19:15.7
K015,4,19:15.4,1,60,73,0,123,57,\N,19:15.7
K009,3,19:15.6,1,35,0,0,999,999,\N,19:15.7
K009,4,19:15.6,1,36,0,0,59,0,\N,19:15.7
K010,1,19:15.6,1,37,75,64,110,106,\N,19:15.7
K010,2,19:15.6,1,38,733,995,158,0,\N,19:15.7
K010,3,19:15.6,1,39,103,0,0,178,\N,19:15.7
K010,4,19:15.6,1,40,0,0,58,0,\N,19:15.7
K014,4,19:15.7,1,56,75,770,999,999,\N,19:15.7
K015,1,19:15.7,1,57,834,677,0,103,\N,19:16.2
K015,4,19:15.7,1,60,77,0,123,56,\N,19:16.2
K009,3,19:15.9,1,35,0,273,999,999,\N,19:16.2
K009,4,19:15.9,1,36,0,0,59,0,\N,19:16.2
K010,1,19:15.9,1,37,75,66,118,101,\N,19:16.2
K010,2,19:15.9,1,38,717,962,149,0,\N,19:16.2
K010,3,19:15.9,1,39,111,0,0,177,\N,19:16.2
K010,4,19:15.9,1,40,0,0,57,0,\N,19:16.2
K014,4,19:16.0,1,56,85,711,999,999,\N,19:16.2
K015,1,19:16.1,1,57,898,766,0,95,\N,19:16.2
K015,4,19:16.1,1,60,77,0,123,55,\N,19:16.2
K009,3,19:16.3,1,35,0,203,999,999,\N,19:16.6
K009,4,19:16.3,1,36,0,0,59,0,\N,19:16.6
K010,1,19:16.3,1,37,74,62,114,104,\N,19:16.6
K010,2,19:16.3,1,38,718,945,157,0,\N,19:16.6
K010,3,19:16.3,1,39,109,0,0,176,\N,19:16.6
K010,4,19:16.3,1,40,0,0,57,0,\N,19:16.6
K014,4,19:16.4,1,56,78,718,999,999,\N,19:16.6
K015,1,19:16.4,1,57,999,959,0,99,\N,19:16.6
K015,4,19:16.4,1,60,78,0,122,55,\N,19:16.6
K010,1,19:16.6,1,37,75,57,114,108,\N,19:16.6
K010,2,19:16.6,1,38,771,999,163,0,\N,19:16.6
K010,3,19:16.6,1,39,108,0,0,176,\N,19:16.6
K010,4,19:16.6,1,40,0,0,57,0,\N,19:16.6
K009,3,19:16.6,1,35,0,159,999,999,\N,19:16.9
K009,4,19:16.6,1,36,0,0,59,0,\N,19:16.9
K014,4,19:16.6,1,56,95,684,999,999,\N,19:16.9
K015,1,19:16.7,1,57,999,999,0,100,\N,19:16.9
K015,4,19:16.7,1,60,78,0,121,55,\N,19:16.9
K010,1,19:16.9,1,37,76,55,114,109,\N,19:16.9
K010,2,19:16.9,1,38,792,999,165,0,\N,19:16.9
K010,3,19:16.9,1,39,107,0,0,176,\N,19:16.9
K010,4,19:16.9,1,40,0,0,57,0,\N,19:16.9
K009,3,19:16.9,1,35,0,179,999,999,\N,19:16.9
K009,4,19:16.9,1,36,0,0,59,0,\N,19:17.5
K014,4,19:17.0,1,56,103,675,999,999,\N,19:17.5
K015,1,19:17.1,1,57,999,999,0,97,\N,19:17.5
K015,4,19:17.1,1,60,78,0,121,55,\N,19:17.5
K010,1,19:17.2,1,37,76,55,114,109,\N,19:17.5
K010,2,19:17.2,1,38,785,999,162,0,\N,19:17.5
K010,3,19:17.2,1,39,107,0,0,176,\N,19:17.5
K010,4,19:17.2,1,40,0,0,57,0,\N,19:17.5
K009,3,19:17.3,1,35,0,193,999,999,\N,19:17.5
K014,4,19:17.3,1,56,109,666,999,999,\N,19:17.5
K009,4,19:17.3,1,36,0,0,59,0,\N,19:17.5
K015,1,19:17.4,1,57,999,999,0,100,\N,19:17.5
K010,1,19:17.5,1,37,77,51,116,111,\N,19:17.8
K010,2,19:17.5,1,38,843,999,164,0,\N,19:17.8
K010,3,19:17.5,1,39,107,0,0,175,\N,19:17.8
K010,4,19:17.5,1,40,0,0,57,0,\N,19:17.8
K009,3,19:17.6,1,35,0,167,999,999,\N,19:17.8
K015,4,19:17.4,1,60,78,0,120,55,\N,19:17.8
K009,4,19:17.6,1,36,0,0,59,0,\N,19:17.8
K014,4,19:17.8,1,56,120,650,999,999,\N,19:17.8
K015,1,19:17.8,1,57,999,999,0,100,\N,19:17.8
K015,4,19:17.8,1,60,78,0,120,55,\N,19:17.8
K010,1,19:17.8,1,37,79,0,117,114,\N,19:18.2
K010,2,19:17.8,1,38,897,999,169,0,\N,19:18.2
K009,3,19:17.9,1,35,55,136,999,999,\N,19:18.2
K014,4,19:17.9,1,56,134,629,999,999,\N,19:18.2
K010,3,19:17.8,1,39,107,0,0,175,\N,19:18.2
K010,4,19:17.8,1,40,0,0,57,0,\N,19:18.2
K009,4,19:17.9,1,36,0,0,59,0,\N,19:18.2
K015,1,19:18.1,1,57,999,999,0,102,\N,19:18.2
K015,4,19:18.1,1,60,78,0,119,54,\N,19:18.2
K014,4,19:18.2,1,56,151,596,999,999,\N,19:18.2
