board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc,insert_dt
K015,1,27:20.7,1,57,149,67,52,140,\N,27:21.1
K015,4,27:20.7,1,60,82,0,143,98,\N,27:21.1
K010,1,27:20.8,1,37,74,0,158,99,\N,27:21.1
K010,2,27:20.8,1,38,209,999,204,0,\N,27:21.1
K009,3,27:20.8,1,35,398,0,999,145,\N,27:21.1
K010,3,27:20.8,1,39,108,51,0,262,\N,27:21.1
K010,4,27:20.8,1,40,67,0,65,59,\N,27:21.1
K014,4,27:20.9,1,56,380,0,219,999,\N,27:21.1
K015,1,27:21.0,1,57,999,0,193,243,\N,27:21.1
K009,4,27:20.8,1,36,0,0,61,0,\N,27:21.1
K010,1,27:21.1,1,37,124,999,0,120,\N,27:21.5
K015,4,27:21.0,1,60,79,0,143,98,\N,27:21.5
K010,2,27:21.1,1,38,263,999,476,78,\N,27:21.5
K009,3,27:21.3,1,35,401,78,999,461,\N,27:21.5
K010,3,27:21.1,1,39,68,0,0,269,\N,27:21.5
K010,4,27:21.1,1,40,65,0,63,64,\N,27:21.5
K009,4,27:21.3,1,36,0,0,210,0,\N,27:21.5
K014,4,27:21.4,1,56,95,296,0,169,\N,27:21.5
K010,1,27:21.4,1,37,257,999,274,364,\N,27:21.5
K015,1,27:21.4,1,57,252,0,0,137,\N,27:21.5
K015,4,27:21.4,1,60,80,0,139,102,\N,27:21.5
K010,2,27:21.4,1,38,700,484,174,0,\N,27:21.5
K010,3,27:21.4,1,39,130,62,0,239,\N,27:21.5
K010,4,27:21.4,1,40,51,0,58,73,\N,27:21.5
K009,3,27:21.5,1,35,51,150,314,884,\N,27:21.5
K009,4,27:21.5,1,36,178,0,999,203,\N,27:21.5
K014,4,27:21.6,1,56,184,368,0,143,\N,27:21.9
K015,1,27:21.6,1,57,500,0,0,183,\N,27:21.9
K015,4,27:21.6,1,60,74,0,139,101,\N,27:21.9
K010,1,27:21.7,1,37,163,999,113,332,\N,27:21.9
K010,2,27:21.7,1,38,528,999,324,77,\N,27:21.9
K010,3,27:21.7,1,39,80,0,0,253,\N,27:21.9
K010,4,27:21.7,1,40,57,0,60,70,\N,27:21.9
K014,4,27:21.9,1,56,177,372,0,667,\N,27:21.9
K009,3,27:21.9,1,35,217,92,916,999,\N,27:22.3
K015,1,27:21.9,1,57,999,184,123,296,\N,27:22.3
K009,4,27:21.9,1,36,132,0,999,111,\N,27:22.3
K015,4,27:21.9,1,60,70,0,141,103,\N,27:22.3
K010,1,27:22.1,1,37,154,999,0,211,\N,27:22.3
K010,2,27:22.1,1,38,724,999,480,80,\N,27:22.3
K010,3,27:22.1,1,39,51,0,0,267,\N,27:22.3
K010,4,27:22.1,1,40,58,0,59,66,\N,27:22.3
K014,4,27:22.2,1,56,185,363,0,487,\N,27:22.3
K009,3,27:22.3,1,35,0,85,999,999,\N,27:22.3
K015,1,27:22.3,1,57,999,0,123,283,\N,27:22.3
K009,4,27:22.3,1,36,126,0,999,0,\N,27:22.3
K015,4,27:22.3,1,60,68,0,141,101,\N,27:22.3
K010,1,27:22.4,1,37,186,999,0,230,\N,27:22.7
K010,2,27:22.4,1,38,999,999,265,61,\N,27:22.7
K010,3,27:22.4,1,39,82,0,0,261,\N,27:22.7
K010,4,27:22.4,1,40,53,0,59,67,\N,27:22.7
K014,4,27:22.5,1,56,193,364,51,532,\N,27:22.7
K009,3,27:22.5,1,35,0,67,956,650,\N,27:22.7
K015,1,27:22.5,1,57,999,0,58,272,\N,27:22.7
K009,4,27:22.5,1,36,127,0,999,0,\N,27:22.7
K015,4,27:22.5,1,60,66,0,140,100,\N,27:22.7
K010,1,27:22.7,1,37,170,999,0,225,\N,27:22.7
K010,2,27:22.7,1,38,999,999,284,60,\N,27:22.7
K010,3,27:22.7,1,39,87,0,0,258,\N,27:22.7
K010,4,27:22.7,1,40,55,0,59,65,\N,27:22.7
K014,4,27:22.8,1,56,188,380,0,765,\N,27:23.1
K009,3,27:22.8,1,35,55,0,999,999,\N,27:23.1
K009,4,27:22.8,1,36,147,0,999,70,\N,27:23.1
K015,1,27:22.9,1,57,999,62,66,292,\N,27:23.1
K015,4,27:22.9,1,60,67,0,140,101,\N,27:23.1
K010,1,27:23.0,1,37,54,179,168,141,\N,27:23.1
K010,2,27:23.0,1,38,317,999,341,85,\N,27:23.1
K010,3,27:23.0,1,39,73,0,0,257,\N,27:23.1
K010,4,27:23.0,1,40,61,0,58,55,\N,27:23.1
K009,3,27:23.1,1,35,0,743,999,999,\N,27:23.1
K009,4,27:23.1,1,36,79,0,862,0,\N,27:23.1
K014,4,27:23.1,1,56,146,319,59,999,\N,27:23.5
K015,1,27:23.2,1,57,999,0,71,222,\N,27:23.5
K015,4,27:23.2,1,60,69,0,140,98,\N,27:23.5
K010,1,27:23.4,1,37,161,999,63,233,\N,27:23.5
K010,2,27:23.4,1,38,999,561,73,135,\N,27:23.5
K010,3,27:23.4,1,39,160,96,0,215,\N,27:23.5
K010,4,27:23.4,1,40,53,0,55,62,\N,27:23.5
K009,3,27:23.4,1,35,558,89,428,999,\N,27:23.5
K009,4,27:23.4,1,36,208,99,999,90,\N,27:23.5
K014,4,27:23.4,1,56,189,360,0,242,\N,27:23.5
K015,1,27:23.5,1,57,999,0,0,240,\N,27:23.5
K015,4,27:23.5,1,60,72,0,142,98,\N,27:23.5
K009,3,27:23.6,1,35,102,64,999,999,\N,27:23.9
K009,4,27:23.6,1,36,83,0,862,0,\N,27:23.9
K010,1,27:23.7,1,37,90,789,98,211,\N,27:23.9
K010,2,27:23.7,1,38,999,999,345,72,\N,27:23.9
K010,3,27:23.7,1,39,72,0,0,246,\N,27:23.9
K010,4,27:23.7,1,40,58,0,60,62,\N,27:23.9
K014,4,27:23.7,1,56,128,345,81,999,\N,27:23.9
K009,3,27:23.9,1,35,138,250,999,999,\N,27:23.9
K015,1,27:24.0,1,57,999,75,59,260,\N,27:24.4
K015,4,27:24.0,1,60,68,0,142,100,\N,27:24.4
K010,1,27:24.0,1,37,102,999,70,212,\N,27:24.4
K010,2,27:24.0,1,38,999,999,308,0,\N,27:24.4
K014,4,27:24.1,1,56,172,349,52,921,\N,27:24.4
K009,4,27:23.9,1,36,77,0,826,0,\N,27:24.4
K010,3,27:24.0,1,39,92,0,0,237,\N,27:24.4
K010,4,27:24.0,1,40,56,0,58,62,\N,27:24.4
K015,1,27:24.3,1,57,900,0,0,221,\N,27:24.4
K009,3,27:24.4,1,35,112,0,999,999,\N,27:24.4
K009,4,27:24.4,1,36,100,0,999,0,\N,27:24.4
