board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc,insert_dt
K010,4,40:18.1,1,40,75,0,55,86,\N,40:18.1
K014,4,40:18.1,1,56,146,330,0,0,\N,40:18.1
K015,1,40:18.1,1,57,999,271,468,999,\N,40:18.1
K009,3,40:18.2,1,35,131,110,125,62,\N,40:18.6
K009,4,40:18.2,1,36,0,0,86,0,\N,40:18.6
K015,4,40:18.1,1,60,105,117,109,168,\N,40:18.6
K010,1,40:18.4,1,37,90,0,155,137,\N,40:18.6
K010,2,40:18.4,1,38,108,999,999,351,\N,40:18.6
K014,4,40:18.4,1,56,110,341,83,0,\N,40:18.6
K015,1,40:18.5,1,57,999,300,87,999,\N,40:18.6
K015,4,40:18.5,1,60,0,60,75,163,\N,40:18.6
K009,3,40:18.5,1,35,106,182,581,0,\N,40:18.6
K010,3,40:18.4,1,39,89,52,104,307,\N,40:18.6
K010,4,40:18.4,1,40,74,0,58,87,\N,40:18.6
K014,4,40:18.7,1,56,999,396,0,999,\N,40:19.1
K015,1,40:18.7,1,57,422,144,78,506,\N,40:19.1
K015,4,40:18.7,1,60,0,0,137,106,\N,40:19.1
K009,4,40:18.5,1,36,0,0,86,0,\N,40:19.1
K010,1,40:18.8,1,37,95,0,178,130,\N,40:19.1
K010,2,40:18.8,1,38,0,878,770,104,\N,40:19.1
K010,3,40:18.8,1,39,85,0,69,325,\N,40:19.1
K010,4,40:18.8,1,40,77,0,57,85,\N,40:19.1
K015,1,40:19.0,1,57,999,0,252,999,\N,40:19.1
K015,4,40:19.0,1,60,0,63,108,142,\N,40:19.1
K009,3,40:19.4,1,35,178,999,999,0,\N,40:19.9
K010,3,40:19.4,1,39,80,52,94,310,\N,40:19.9
K010,4,40:19.4,1,40,73,0,55,87,\N,40:19.9
K009,4,40:19.4,1,36,0,0,89,0,\N,40:19.9
K009,3,40:19.6,1,35,187,618,684,54,\N,40:19.9
K010,1,40:19.6,1,37,81,0,136,140,\N,40:19.9
K010,2,40:19.6,1,38,0,966,965,106,\N,40:19.9
K014,4,40:19.6,1,56,999,689,0,999,\N,40:19.9
K009,4,40:19.6,1,36,0,0,90,0,\N,40:19.9
K010,3,40:19.6,1,39,79,54,93,310,\N,40:19.9
K010,4,40:19.6,1,40,72,0,55,87,\N,40:19.9
K015,1,40:19.7,1,57,999,119,296,999,\N,40:19.9
K015,4,40:19.7,1,60,0,83,89,153,\N,40:19.9
K009,3,40:19.8,1,35,171,873,881,0,\N,40:19.9
K009,4,40:19.8,1,36,0,0,89,0,\N,40:19.9
K010,1,40:19.9,1,37,81,0,136,140,\N,40:20.2
K010,2,40:19.9,1,38,54,999,999,116,\N,40:20.2
K014,4,40:19.9,1,56,999,653,0,999,\N,40:20.2
K010,3,40:19.9,1,39,79,56,94,309,\N,40:20.2
K010,4,40:19.9,1,40,72,0,55,87,\N,40:20.2
K015,1,40:20.0,1,57,999,0,224,999,\N,40:20.2
K015,4,40:20.0,1,60,0,72,95,147,\N,40:20.2
K010,1,40:20.2,1,37,81,0,136,140,\N,40:20.2
K010,2,40:20.2,1,38,65,999,999,131,\N,40:20.2
K014,4,40:20.2,1,56,999,606,0,999,\N,40:20.2
K010,3,40:20.2,1,39,79,58,96,309,\N,40:20.2
K010,4,40:20.2,1,40,72,0,55,86,\N,40:20.2
K009,3,40:20.2,1,35,164,999,999,0,\N,40:20.6
K009,4,40:20.2,1,36,0,0,89,0,\N,40:20.6
K015,1,40:20.3,1,57,999,0,192,999,\N,40:20.6
K015,4,40:20.3,1,60,0,67,98,145,\N,40:20.6
K009,3,40:20.5,1,35,171,999,999,0,\N,40:20.6
K009,4,40:20.5,1,36,0,0,89,0,\N,40:20.6
K014,4,40:20.5,1,56,999,614,0,999,\N,40:20.6
K010,1,40:20.6,1,37,81,0,136,139,\N,40:20.6
K010,2,40:20.6,1,38,66,999,999,134,\N,40:20.6
K010,3,40:20.6,1,39,78,58,98,309,\N,40:20.6
K010,4,40:20.6,1,40,72,0,55,86,\N,40:20.6
K015,1,40:20.6,1,57,999,0,172,999,\N,40:20.6
K015,4,40:20.6,1,60,0,63,100,143,\N,40:20.6
K009,3,40:20.8,1,35,172,999,999,0,\N,40:21.1
K009,4,40:20.8,1,36,0,0,89,0,\N,40:21.1
K010,1,40:20.8,1,37,81,0,135,139,\N,40:21.1
K010,2,40:20.8,1,38,67,999,999,143,\N,40:21.1
K014,4,40:20.8,1,56,999,620,0,999,\N,40:21.1
K010,3,40:20.8,1,39,77,59,99,310,\N,40:21.1
K010,4,40:20.8,1,40,72,0,55,86,\N,40:21.1
K015,1,40:21.1,1,57,999,70,136,999,\N,40:21.5
K009,3,40:21.1,1,35,171,999,999,0,\N,40:21.5
K009,4,40:21.1,1,36,0,0,89,0,\N,40:21.5
K010,1,40:21.2,1,37,81,0,135,139,\N,40:21.5
K010,2,40:21.2,1,38,68,999,999,129,\N,40:21.5
K014,4,40:21.2,1,56,999,614,0,999,\N,40:21.5
K010,3,40:21.2,1,39,75,60,99,310,\N,40:21.5
K010,4,40:21.2,1,40,71,0,54,86,\N,40:21.5
K015,4,40:21.1,1,60,0,58,103,140,\N,40:21.5
K009,3,40:21.4,1,35,171,999,999,0,\N,40:21.5
K009,4,40:21.4,1,36,0,0,89,0,\N,40:21.5
K010,1,40:21.5,1,37,80,0,136,139,\N,40:21.5
K010,2,40:21.5,1,38,65,999,999,115,\N,40:21.5
K014,4,40:21.5,1,56,999,611,0,999,\N,40:21.5
K015,1,40:21.5,1,57,999,52,147,999,\N,40:21.9
K015,4,40:21.5,1,60,0,61,102,140,\N,40:21.9
K009,3,40:21.8,1,35,171,999,999,0,\N,40:21.9
K010,3,40:21.5,1,39,73,59,99,311,\N,40:21.9
K010,4,40:21.5,1,40,71,0,54,86,\N,40:21.9
K015,1,40:21.8,1,57,999,0,175,999,\N,40:21.9
K015,4,40:21.8,1,60,0,66,99,143,\N,40:21.9
K014,4,40:21.9,1,56,999,606,0,999,\N,40:22.3
K009,4,40:21.8,1,36,0,0,89,0,\N,40:22.3
K010,1,40:22.0,1,37,80,0,136,138,\N,40:22.3
K010,2,40:22.0,1,38,66,999,999,117,\N,40:22.3
K015,1,40:22.0,1,57,999,0,174,999,\N,40:22.3
K010,3,40:22.0,1,39,73,59,99,311,\N,40:22.3
K010,4,40:22.0,1,40,71,0,54,86,\N,40:22.3
K015,4,40:22.0,1,60,0,67,99,142,\N,40:22.3
K009,3,40:22.1,1,35,171,999,999,0,\N,40:22.3
K010,1,40:22.1,1,37,80,0,136,138,\N,40:22.3
K010,2,40:22.1,1,38,63,999,999,111,\N,40:22.3
K015,1,40:22.1,1,57,999,0,174,999,\N,40:22.3
K009,4,40:22.1,1,36,0,0,89,0,\N,40:22.3
K010,3,40:22.1,1,39,73,59,98,311,\N,40:22.3
K010,4,40:22.1,1,40,71,0,54,86,\N,40:22.3
K015,4,40:22.1,1,60,0,67,99,142,\N,40:22.3
K014,4,40:22.4,1,56,999,610,0,999,\N,40:22.7
K009,3,40:22.5,1,35,168,999,999,0,\N,40:22.7
K010,1,40:22.5,1,37,80,0,135,138,\N,40:22.7
K010,2,40:22.5,1,38,65,999,999,116,\N,40:22.7
K015,1,40:22.5,1,57,999,0,174,999,\N,40:22.7
K010,3,40:22.5,1,39,73,60,99,310,\N,40:22.7
K010,4,40:22.5,1,40,71,0,54,86,\N,40:22.7
K009,4,40:22.5,1,36,0,0,89,0,\N,40:22.7
K015,4,40:22.5,1,60,0,67,98,142,\N,40:22.7
K014,4,40:22.6,1,56,999,597,0,999,\N,40:22.7
K009,3,40:22.7,1,35,168,999,999,0,\N,40:23.2
K010,1,40:22.7,1,37,80,0,135,138,\N,40:23.2
K010,2,40:22.7,1,38,67,999,999,124,\N,40:23.2
K009,4,40:22.7,1,36,0,0,89,0,\N,40:23.2
K010,3,40:22.7,1,39,74,61,99,309,\N,40:23.2
K010,4,40:22.7,1,40,71,0,54,85,\N,40:23.2
K015,1,40:22.8,1,57,999,0,159,999,\N,40:23.2
K015,4,40:22.8,1,60,0,64,99,141,\N,40:23.2
K014,4,40:23.0,1,56,999,592,0,999,\N,40:23.2
K009,3,40:23.5,1,35,167,999,999,0,\N,40:23.6
K010,1,40:23.5,1,37,80,0,135,138,\N,40:23.6
K010,2,40:23.5,1,38,66,999,999,137,\N,40:23.6
K015,1,40:23.5,1,57,999,66,143,999,\N,40:23.6
K009,4,40:23.5,1,36,0,0,89,0,\N,40:23.6
K010,3,40:23.5,1,39,75,61,100,308,\N,40:23.6
K010,4,40:23.5,1,40,70,0,54,85,\N,40:23.6
K015,4,40:23.5,1,60,0,62,101,140,\N,40:23.6
K014,4,40:23.5,1,56,999,592,0,999,\N,40:23.6
K009,3,40:23.6,1,35,167,999,999,0,\N,40:23.6
K009,4,40:23.6,1,36,0,0,89,0,\N,40:23.6
K010,1,40:23.7,1,37,80,0,135,138,\N,40:23.9
K010,2,40:23.7,1,38,66,999,999,138,\N,40:23.9
K015,1,40:23.7,1,57,999,62,148,999,\N,40:23.9
K010,3,40:23.7,1,39,74,61,101,308,\N,40:23.9
K010,4,40:23.7,1,40,70,0,54,85,\N,40:23.9
K015,4,40:23.7,1,60,0,62,101,140,\N,40:23.9
K014,4,40:23.8,1,56,999,593,0,999,\N,40:23.9
K010,1,40:23.9,1,37,80,0,135,137,\N,40:23.9
K010,2,40:23.9,1,38,66,999,999,129,\N,40:23.9
K010,3,40:23.9,1,39,73,61,100,309,\N,40:23.9
K010,4,40:23.9,1,40,70,0,54,85,\N,40:23.9
K015,1,40:23.9,1,57,999,0,156,999,\N,40:23.9
K009,3,40:23.9,1,35,169,999,999,0,\N,40:23.9
K014,4,40:23.9,1,56,999,597,0,999,\N,40:23.9
K015,4,40:23.9,1,60,0,64,100,140,\N,40:23.9
K009,4,40:23.9,1,36,0,0,88,0,\N,40:24.4
K010,1,40:24.1,1,37,80,0,135,137,\N,40:24.4
K010,2,40:24.1,1,38,66,999,999,126,\N,40:24.4
